DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ LAD,W 1-0,2,0,0,0,0,0,0,2,1,0,0,.500,.000,.500,.000
Mar 30,@ LAD,W 1-0,4,0,0,0,0,0,0,0,0,0,0,.250,.000,.250,.000
Mar 31,@ LAD,L 5-0,3,0,2,1,0,0,0,0,1,0,0,.364,.333,.697,.222
Apr 1,@ LAD,L 9-0,4,0,2,1,0,0,0,0,0,1,0,.400,.462,.862,.308
Apr 3,vs SEA,L 6-4,4,1,1,0,0,0,0,0,0,0,0,.368,.412,.780,.294
Apr 4,vs SEA,W 10-1,3,2,1,0,0,0,0,1,0,0,0,.391,.400,.791,.300
Apr 7,vs LAD,W 7-5,5,1,1,0,0,1,2,1,1,0,1,.379,.480,.859,.280
Apr 8,vs LAD,L 2-1,1,0,1,0,0,0,1,0,0,0,0,.400,.500,.900,.308
Apr 9,vs ARI,L 2-1,3,0,2,0,0,0,0,0,0,0,0,.424,.517,.941,.345
Apr 10,vs ARI,W 5-4,3,0,2,0,0,0,1,0,1,1,0,.432,.531,.963,.375
Apr 11,vs ARI,L 7-3,4,1,2,0,0,1,2,0,0,0,0,.439,.611,1.050,.389
Apr 12,@ SD,W 7-0,4,0,1,1,0,0,2,1,0,0,0,.435,.600,1.035,.375
Apr 13,@ SD,L 5-1,4,0,0,0,0,0,0,0,0,0,0,.400,.545,.945,.341
Apr 14,@ SD,L 5-4,4,0,0,0,0,0,0,0,1,0,0,.370,.500,.870,.313
Apr 15,@ SD,L 10-1,Did not play
Apr 17,@ ARI,L 1-0,3,0,0,0,0,0,0,0,0,0,0,.351,.471,.822,.294
Apr 18,@ ARI,W 4-3,4,1,1,0,0,0,0,1,3,0,0,.355,.455,.810,.291
Apr 19,@ ARI,L 3-1,4,0,1,0,0,0,0,0,1,0,0,.348,.441,.789,.288
Apr 20,@ LAA,W 8-1,4,0,0,0,0,0,0,0,0,0,0,.329,.413,.742,.270
Apr 21,@ LAA,L 4-3,0,0,0,0,0,0,0,0,0,0,0,.329,.413,.742,.270
Apr 22,@ LAA,W 4-2,5,0,1,0,0,0,0,0,0,0,0,.320,.397,.717,.265
Apr 23,vs WSH,W 4-2,3,0,2,1,0,0,1,1,0,0,0,.342,.423,.765,.282
Apr 24,vs WSH,W 4-3,4,0,1,0,0,0,0,0,0,0,0,.337,.413,.750,.280
Apr 25,vs WSH,L 15-2,Did not play
Apr 27,vs LAD,W 6-4,4,0,1,0,0,0,0,0,1,0,0,.333,.405,.738,.278
Apr 28,vs LAD,L 15-6,Did not play
Apr 28,vs LAD,W 8-3,3,1,0,0,0,0,0,1,1,0,0,.330,.390,.720,.268
Apr 29,vs LAD,W 4-2,3,2,1,1,0,0,0,1,1,0,0,.337,.400,.737,.271
Apr 30,vs SD,W 6-5,3,2,1,1,0,0,1,2,0,0,0,.350,.409,.759,.273
May 1,vs SD,L 3-2,3,0,2,1,0,0,1,1,0,0,0,.365,.429,.794,.286
May 2,vs SD,W 9-4,Did not play
May 4,@ ATL,W 9-4,5,1,2,0,0,0,1,0,0,0,0,.367,.427,.794,.292
May 5,@ ATL,W 11-2,5,2,3,0,0,0,2,0,0,0,0,.377,.436,.813,.307
May 6,@ ATL,W 4-3,Did not play
May 7,@ PHI,L 11-0,3,0,2,0,0,0,0,0,1,0,0,.385,.442,.827,.317
May 8,@ PHI,L 4-2,4,0,0,0,0,0,0,0,2,0,0,.372,.426,.798,.306
May 9,@ PHI,L 11-3,4,0,1,0,0,0,0,0,0,0,0,.368,.420,.788,.304
May 10,@ PHI,L 6-3,Did not play
May 11,@ PIT,L 11-2,5,1,2,1,0,0,0,0,2,0,0,.369,.427,.796,.308
May 12,@ PIT,L 6-5,4,0,1,1,0,0,0,1,0,0,0,.370,.430,.800,.306
May 13,@ PIT,W 5-0,Did not play
May 14,vs CIN,W 10-7,4,2,2,1,0,0,1,1,1,0,0,.379,.440,.819,.312
May 15,vs CIN,W 5-3,4,0,1,0,0,0,0,0,0,0,0,.375,.434,.809,.310
May 16,vs CIN,L 6-3,Did not play
May 17,vs COL,L 5-3,4,1,0,0,0,0,0,1,0,0,0,.369,.421,.790,.301
May 18,vs COL,L 6-1,3,0,1,0,0,0,0,1,0,0,0,.373,.419,.792,.301
May 19,vs COL,W 9-4,4,1,2,0,0,0,0,1,0,0,0,.380,.421,.801,.307
May 20,vs COL,W 9-5,4,1,1,0,1,0,0,1,0,0,0,.380,.431,.811,.306
May 22,@ HOU,L 11-2,4,0,1,0,0,0,0,0,2,0,0,.377,.426,.803,.304
May 23,@ HOU,L 4-1,3,0,1,1,0,0,1,0,0,0,0,.374,.430,.804,.305
May 25,@ CHC,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.366,.419,.785,.297
May 26,@ CHC,W 5-4,Did not play
May 27,@ CHC,L 8-3,Did not play
May 28,@ COL,L 6-5,4,1,1,0,0,0,0,0,0,0,0,.367,.415,.782,.296
May 29,@ COL,L 11-4,4,1,1,0,0,1,1,0,1,0,0,.364,.429,.793,.294
May 30,@ COL,W 7-4,4,0,2,0,0,0,2,1,1,0,0,.370,.431,.801,.299
Jun 1,vs PHI,W 4-0,4,0,1,0,0,0,0,0,1,0,0,.371,.427,.798,.298
Jun 2,vs PHI,W 2-0,Did not play
Jun 3,vs PHI,W 6-1,4,2,2,0,0,1,2,0,1,0,0,.374,.446,.820,.303
Jun 4,vs ARI,W 10-3,5,0,2,1,0,0,2,0,1,0,0,.374,.450,.824,.306
Jun 5,vs ARI,L 3-2,5,0,1,0,0,0,1,0,1,0,0,.370,.443,.813,.303
Jun 6,vs ARI,W 5-4,Did not play
Jun 8,@ WSH,W 9-5,5,1,1,0,0,0,0,0,0,0,0,.366,.437,.803,.300
Jun 9,@ WSH,L 7-5,3,1,1,1,0,0,0,2,0,0,0,.372,.440,.812,.301
Jun 10,@ WSH,W 2-0,4,0,0,0,0,0,0,0,0,0,0,.365,.431,.796,.294
Jun 11,@ MIA,L 7-5,5,1,2,0,0,0,0,0,0,0,0,.366,.431,.797,.297
Jun 12,@ MIA,L 3-1,3,0,0,0,0,0,0,1,0,0,0,.364,.424,.788,.293
Jun 13,@ MIA,L 5-4,4,2,3,1,0,0,0,1,0,1,0,.373,.435,.808,.301
Jun 14,@ MIA,W 6-3,6,1,0,0,0,0,0,1,2,0,0,.366,.423,.789,.293
Jun 15,@ LAD,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.365,.421,.786,.292
Jun 16,@ LAD,L 3-1,4,0,0,0,0,0,0,0,0,0,0,.359,.414,.773,.286
Jun 17,@ LAD,W 4-1,Did not play
Jun 18,vs MIA,L 5-4,4,1,2,1,0,0,0,0,0,0,0,.361,.420,.781,.290
Jun 19,vs MIA,W 6-3,4,1,1,0,0,1,1,0,1,0,0,.362,.430,.792,.289
Jun 20,vs MIA,W 6-5,Did not play
Jun 21,vs SD,W 3-0,3,1,1,0,0,0,1,1,0,0,0,.364,.429,.793,.290
Jun 22,vs SD,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.358,.421,.779,.285
Jun 23,vs SD,W 5-3,Did not play
Jun 24,vs SD,W 3-2,4,1,2,1,0,0,0,1,1,0,0,.363,.427,.790,.289
Jun 26,vs COL,W 3-2,3,0,0,0,0,0,0,2,0,0,0,.364,.421,.785,.285
Jun 27,vs COL,W 1-0,3,0,0,0,0,0,0,1,0,0,0,.362,.416,.778,.282
Jun 28,vs COL,L 9-8,1,0,1,0,0,0,0,0,0,0,0,.364,.419,.783,.285
Jun 29,@ ARI,W 2-1,4,1,1,0,0,0,0,0,0,0,0,.363,.416,.779,.284
Jun 30,@ ARI,W 7-0,5,1,3,0,0,0,0,0,1,0,0,.367,.420,.787,.290
Jul 1,@ ARI,W 9-6,Did not play
Jul 2,@ COL,L 5-2,3,0,2,2,0,0,1,1,1,0,0,.372,.430,.802,.295
Jul 3,@ COL,L 8-1,3,0,0,0,0,0,0,0,0,0,0,.368,.425,.793,.291
Jul 4,@ COL,L 1-0,2,0,0,0,0,0,0,2,0,0,0,.370,.422,.792,.289
Jul 5,vs STL,L 11-2,3,0,0,0,0,0,0,0,0,0,0,.366,.417,.783,.286
Jul 6,vs STL,W 3-2,3,0,2,0,0,0,0,1,0,0,0,.371,.420,.791,.290
Jul 7,vs STL,L 3-2,Did not play
Jul 8,vs STL,W 13-8,5,2,1,0,0,0,1,1,0,0,0,.371,.416,.787,.288
Jul 9,vs CHC,W 2-1,5,0,0,0,0,0,0,0,1,0,0,.365,.409,.774,.283
Jul 10,vs CHC,L 2-0,1,0,0,0,0,0,0,0,0,0,0,.364,.407,.771,.282
Jul 11,vs CHC,W 5-4,7,0,3,0,0,0,1,0,2,0,1,.365,.408,.773,.286
Jul 13,vs OAK,W 7-1,4,0,2,1,0,0,2,0,0,0,0,.367,.412,.779,.289
Jul 14,vs OAK,L 4-3,4,0,2,0,0,0,0,1,1,0,0,.370,.414,.784,.292
Jul 15,vs OAK,L 6-2,4,0,0,0,0,0,0,0,2,0,0,.366,.408,.774,.288
Jul 20,@ OAK,W 5-1,4,0,1,0,0,0,1,0,0,0,0,.364,.406,.770,.287
Jul 21,@ OAK,L 4-3,5,1,1,0,0,0,0,0,1,0,0,.362,.403,.765,.286
Jul 22,@ OAK,L 6-5,3,0,0,0,0,0,0,1,0,0,0,.361,.399,.760,.283
Jul 24,@ SEA,W 4-3,4,0,1,0,0,0,0,0,2,0,0,.360,.397,.757,.283
Jul 25,@ SEA,L 3-2,4,0,0,0,0,0,0,0,1,0,0,.356,.392,.748,.279
