DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs BOS,W 6-4,3,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000
Mar 30,vs BOS,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.143,.143,.286,.143
Mar 31,vs BOS,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.125,.125,.250,.125
Apr 1,vs BOS,L 2-1,Did not play
Apr 3,@ NYY,L 11-4,4,1,1,1,0,0,0,0,2,0,0,.167,.250,.417,.167
Apr 4,@ NYY,L 7-2,4,0,1,1,0,0,1,0,2,0,0,.188,.313,.501,.188
Apr 5,@ BOS,L 3-2,5,0,1,0,0,0,0,0,2,0,0,.190,.286,.476,.190
Apr 7,@ BOS,L 10-3,3,0,0,0,0,0,0,0,1,0,0,.167,.250,.417,.167
Apr 8,@ BOS,L 8-7,4,1,1,0,0,1,1,1,2,0,0,.207,.357,.564,.179
Apr 9,@ CHW,W 5-4,4,0,0,0,0,0,0,1,0,0,0,.206,.313,.519,.156
Apr 10,@ CHW,W 6-5,4,0,1,0,0,0,0,0,1,0,1,.231,.306,.537,.167
Apr 11,@ CHW,L 2-1,4,0,1,1,0,0,1,0,1,0,0,.233,.325,.558,.175
Apr 13,vs PHI,L 2-1,4,1,2,0,0,0,0,0,0,0,0,.255,.341,.596,.205
Apr 14,vs PHI,L 9-4,3,0,1,0,0,0,2,0,1,0,0,.255,.340,.595,.213
Apr 15,vs PHI,L 10-4,4,1,1,0,0,0,0,0,1,0,0,.268,.333,.601,.216
Apr 16,vs TEX,W 8-4,5,1,2,0,0,1,1,0,2,0,0,.279,.393,.672,.232
Apr 17,vs TEX,L 7-2,3,0,2,0,0,0,0,0,0,0,0,.308,.407,.715,.254
Apr 18,vs TEX,W 4-2,4,0,2,0,0,0,1,0,0,0,0,.319,.413,.732,.270
Apr 20,vs MIN,W 8-7,5,0,0,0,0,0,0,0,3,0,0,.297,.382,.679,.250
Apr 21,vs MIN,W 10-1,4,2,2,0,0,2,4,0,1,0,0,.316,.472,.788,.264
Apr 22,vs MIN,W 8-6,5,1,2,0,0,1,2,0,1,0,0,.321,.506,.827,.273
Apr 25,@ BAL,W 8-4,5,1,1,1,0,0,2,0,0,0,0,.315,.500,.815,.268
Apr 26,@ BAL,W 9-5,5,1,1,0,0,1,2,0,1,0,0,.309,.517,.826,.264
Apr 27,@ BOS,W 4-3,3,1,2,0,0,0,0,1,0,0,0,.327,.522,.849,.278
Apr 28,@ BOS,W 12-6,6,2,1,1,0,0,0,0,1,0,0,.317,.510,.827,.271
Apr 29,@ BOS,L 4-3,4,0,1,0,0,0,0,0,1,0,0,.315,.500,.815,.270
Apr 30,@ DET,W 3-2,4,1,1,0,0,1,2,0,1,0,0,.313,.519,.832,.269
May 1,@ DET,L 2-1,4,0,1,0,0,0,0,0,1,0,0,.310,.509,.819,.269
May 2,@ DET,L 3-2,5,0,1,0,0,0,0,0,2,0,0,.306,.496,.802,.265
May 4,vs TOR,W 6-2,2,1,0,0,0,0,0,2,1,0,0,.312,.487,.799,.261
May 5,vs TOR,W 5-3,4,1,1,0,0,0,1,0,0,0,0,.308,.479,.787,.261
May 6,vs TOR,L 2-1,2,0,0,0,0,0,0,2,1,0,0,.313,.471,.784,.256
May 8,vs ATL,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.312,.464,.776,.256
May 9,vs ATL,L 5-2,4,1,2,0,0,0,0,0,1,0,0,.317,.465,.782,.264
May 11,@ BAL,L 9-4,5,0,2,0,0,0,1,0,0,0,0,.320,.463,.783,.269
May 12,@ BAL,L 6-3,4,1,2,0,0,0,0,0,0,0,0,.325,.464,.789,.275
May 12,@ BAL,W 10-3,4,1,2,0,0,1,2,1,0,0,0,.333,.486,.819,.282
May 13,@ BAL,L 17-1,4,0,1,1,0,0,0,0,1,0,0,.331,.486,.817,.281
May 14,@ KC,W 2-1,4,1,1,1,0,0,0,0,1,0,0,.329,.487,.816,.280
May 15,@ KC,W 6-5,5,1,2,0,0,1,2,0,2,0,0,.331,.503,.834,.284
May 16,@ KC,W 5-3,4,3,2,0,0,1,1,0,1,0,0,.339,.522,.861,.289
May 17,@ LAA,W 7-1,5,2,2,0,0,1,1,0,3,1,0,.341,.537,.878,.293
May 18,@ LAA,W 8-3,4,1,0,0,0,0,0,1,2,0,0,.337,.524,.861,.286
May 19,@ LAA,W 5-3,4,0,1,0,0,0,0,1,2,0,0,.339,.517,.856,.285
May 20,@ LAA,L 5-2,4,0,0,0,0,0,0,0,2,0,0,.332,.506,.838,.278
May 22,vs BOS,L 4-2,4,0,0,0,0,0,0,0,2,0,0,.325,.494,.819,.272
May 23,vs BOS,L 4-1,4,0,1,1,0,0,1,0,2,0,0,.323,.495,.818,.272
May 24,vs BOS,W 6-3,4,1,1,0,0,0,0,1,2,0,0,.325,.489,.814,.271
May 25,vs BAL,L 2-0,4,0,0,0,0,0,0,0,0,0,0,.319,.479,.798,.266
May 26,vs BAL,W 5-1,4,1,2,1,0,0,2,1,1,0,0,.326,.485,.811,.270
May 27,vs BAL,W 8-3,3,0,0,0,0,0,0,0,1,0,0,.327,.477,.804,.266
May 28,@ OAK,W 1-0,6,0,1,0,0,0,0,0,1,0,0,.323,.468,.791,.263
May 29,@ OAK,W 4-3,4,1,2,0,0,1,1,0,0,0,0,.326,.483,.809,.268
May 30,@ OAK,W 6-0,3,1,1,1,0,0,1,1,0,0,0,.332,.486,.818,.269
May 31,@ OAK,L 7-3,3,1,1,0,0,0,0,1,0,0,0,.335,.484,.819,.270
Jun 1,@ SEA,L 4-3,6,0,2,0,0,0,0,0,1,0,0,.335,.480,.815,.271
Jun 2,@ SEA,L 3-1,4,0,0,0,0,0,0,0,2,0,0,.329,.471,.800,.267
Jun 3,@ SEA,L 2-1,2,0,0,0,0,0,0,0,0,0,0,.329,.467,.796,.264
Jun 5,@ WSH,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.324,.459,.783,.260
Jun 6,@ WSH,L 11-2,4,1,1,0,0,1,1,0,0,0,0,.323,.468,.791,.260
