DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ PHI,L 7-3,2.0,0,0,0,0,0,4,1,1,28,6,-,-,-,3.45
Jul 22,@ MIL,W 11-2,3.0,1,0,0,0,1,4,5,1,50,11,-,-,Sv(2),3.71
Jul 13,vs LAA,W 3-2,2.0,0,0,0,0,0,3,2,1,21,6,-,W(2-1),-,4.18
Jul 9,@ SD,W 8-2,2.0,3,2,1,1,0,3,2,5,35,10,-,-,-,4.57
Jul 2,vs PIT,W 17-1,3.0,3,0,0,0,0,1,7,3,52,11,-,-,Sv(1),4.58
Jun 28,vs CHC,L 11-5,2.0,2,1,1,0,0,3,3,2,34,9,-,-,-,5.40
Jun 23,@ NYM,W 8-3,4.0,3,0,0,0,1,6,4,5,65,16,-,W(1-1),-,5.52
Jun 17,vs SF,L 4-1,5.0,2,4,3,2,1,6,5,7,84,19,-,L(0-1),-,7.59
Jun 12,vs TEX,W 12-5,4.0,5,2,2,0,2,3,6,7,65,18,45,-,-,9.53
Jun 6,@ PIT,L 11-9,1.2,2,4,4,0,3,3,2,1,57,11,35,-,-,21.60
