DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs MIN,W 3-2,3,0,1,0,1,0,2,0,1,0,0,.333,1.000,1.333,.333
Mar 31,vs MIN,L 6-2,2,0,0,0,0,0,0,0,0,0,0,.200,.600,.800,.200
Apr 1,vs MIN,L 7-0,Did not play
Apr 2,@ HOU,L 6-1,3,0,0,0,0,0,0,0,2,0,0,.125,.375,.500,.125
Apr 3,@ HOU,L 10-6,Did not play
Apr 4,@ HOU,L 3-2,4,0,1,0,0,0,0,0,2,0,0,.167,.333,.500,.167
Apr 5,@ NYY,W 5-2,Did not play
Apr 6,@ NYY,W 7-3,6,0,0,0,0,0,0,0,3,0,0,.111,.222,.333,.111
Apr 7,@ NYY,L 8-3,Did not play
Apr 8,@ NYY,W 8-7,5,0,0,0,0,0,0,1,3,0,0,.125,.174,.299,.087
Apr 9,vs TOR,L 7-1,3,0,1,0,0,0,0,0,2,0,0,.148,.192,.340,.115
Apr 10,vs TOR,L 2-1,Did not play
Apr 11,vs TOR,W 5-3,Did not play
Apr 13,@ BOS,L 7-3,3,0,0,0,0,0,0,0,1,0,0,.133,.172,.305,.103
Apr 14,@ BOS,L 10-3,Did not play
Apr 15,@ BOS,L 3-1,2,0,0,0,0,0,0,0,1,0,0,.125,.161,.286,.097
Apr 17,@ DET,L 4-2,3,0,0,0,0,0,0,0,1,0,0,.114,.147,.261,.088
Apr 18,@ DET,L 6-5,3,0,0,0,0,0,0,0,1,0,0,.105,.135,.240,.081
Apr 19,@ DET,L 13-8,Did not play
Apr 20,vs CLE,W 3-1,Did not play
Apr 21,vs CLE,L 4-0,Did not play
Apr 22,vs CLE,L 7-3,3,0,1,0,0,0,0,0,0,0,0,.122,.150,.272,.100
Apr 23,vs CLE,L 2-1,Did not play
Apr 25,vs TB,L 8-4,Did not play
Apr 26,vs TB,L 9-5,3,1,1,0,0,0,0,0,0,0,0,.136,.163,.299,.116
Apr 27,vs DET,W 6-0,3,1,1,1,0,0,0,0,0,0,0,.149,.196,.345,.130
Apr 28,vs DET,L 9-5,2,0,0,0,0,0,0,0,0,0,0,.143,.188,.331,.125
Apr 29,vs DET,W 5-3,3,0,1,1,0,0,0,0,1,0,1,.170,.216,.386,.137
May 1,@ LAA,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.167,.212,.379,.135
May 2,@ LAA,L 10-7,3,0,1,0,0,0,0,0,1,0,0,.175,.218,.393,.145
May 3,@ LAA,L 12-3,Did not play
May 4,@ OAK,L 6-4,3,0,1,1,0,0,0,0,1,0,0,.183,.241,.424,.155
May 5,@ OAK,L 2-0,0,0,0,0,0,0,0,0,0,0,0,.183,.241,.424,.155
May 6,@ OAK,L 2-1,3,0,0,0,0,0,0,0,0,0,0,.175,.230,.405,.148
May 8,vs KC,L 15-7,5,1,2,0,0,1,1,0,2,0,0,.191,.288,.479,.167
May 9,vs KC,W 5-3,3,0,1,0,0,0,0,0,0,0,0,.197,.290,.487,.174
May 10,vs KC,W 11-6,Did not play
May 11,vs TB,W 9-4,Did not play
May 12,vs TB,W 6-3,Did not play
May 12,vs TB,L 10-3,3,1,1,1,0,0,0,0,0,0,0,.203,.306,.509,.181
May 13,vs TB,W 17-1,5,1,1,0,1,0,0,0,2,0,0,.203,.325,.528,.182
May 16,vs PHI,L 4-1,Did not play
Jun 19,@ WSH,L 9-7,3,0,1,1,0,0,0,1,0,0,0,.217,.338,.555,.188
Jun 20,@ WSH,W 3-0,4,0,0,0,0,0,0,0,0,0,0,.207,.321,.528,.179
Jun 21,@ WSH,L 4-2,3,0,0,0,0,0,0,0,0,0,0,.200,.310,.510,.172
Jun 22,@ ATL,W 10-7,5,1,2,1,0,0,1,0,0,0,0,.211,.326,.537,.185
Jun 23,@ ATL,W 7-5,4,0,0,0,0,0,0,0,3,0,0,.202,.313,.515,.177
Jun 24,@ ATL,L 7-3,Did not play
Jun 25,vs SEA,L 5-3,3,0,0,0,0,0,0,0,0,0,0,.196,.303,.499,.172
Jun 26,vs SEA,L 3-2,2,1,1,0,0,0,0,0,1,0,0,.202,.307,.509,.178
Jun 27,vs SEA,L 8-7,4,0,1,1,0,0,0,0,1,0,0,.204,.314,.518,.181
Jun 28,vs SEA,L 4-2,Did not play
Jun 29,vs LAA,L 7-1,Did not play
Jun 30,vs LAA,L 6-2,3,0,0,0,0,0,0,0,1,0,0,.198,.306,.504,.176
Jul 1,vs LAA,W 8-2,Did not play
Jul 3,@ PHI,L 3-2,Did not play
Jul 4,@ PHI,L 4-1,Did not play
Jul 5,@ MIN,L 5-2,2,0,0,0,0,0,0,0,0,0,0,.195,.300,.495,.173
Jul 6,@ MIN,L 6-2,4,1,3,0,0,0,0,0,1,0,0,.214,.316,.530,.193
Jul 7,@ MIN,L 5-4,Did not play
Jul 8,@ MIN,L 10-1,3,0,0,0,0,0,0,0,1,0,0,.208,.308,.516,.188
Jul 9,vs NYY,W 5-4,3,0,1,1,0,0,0,1,1,0,0,.218,.317,.535,.192
Jul 9,vs NYY,L 10-2,Did not play
Jul 10,vs NYY,W 6-5,3,1,0,0,0,0,0,0,1,0,0,.219,.309,.528,.187
Jul 11,vs NYY,L 9-0,3,0,2,0,0,0,0,0,0,0,0,.229,.317,.546,.198
Jul 12,vs PHI,L 5-4,Did not play
Jul 13,vs TEX,L 5-4,4,0,2,1,0,0,3,0,1,0,0,.237,.331,.568,.208
Jul 14,vs TEX,W 1-0,2,1,0,0,0,0,0,1,0,0,0,.239,.326,.565,.205
Jul 15,vs TEX,W 6-5,2,1,1,1,0,0,1,1,0,1,0,.248,.336,.584,.209
Jul 20,@ TOR,L 8-7,4,1,1,0,0,1,1,0,1,0,0,.248,.355,.603,.210
Jul 21,@ TOR,L 4-1,Did not play
Jul 22,@ TOR,L 5-4,4,0,1,1,0,0,0,0,3,0,0,.248,.359,.607,.211
Jul 23,vs BOS,L 5-3,4,0,2,0,0,0,1,0,1,0,0,.255,.363,.618,.219
Jul 24,vs BOS,W 7-6,3,3,2,0,0,0,0,1,0,0,0,.268,.369,.637,.228
