DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs HOU,W 14-5,0.2,2,2,2,0,1,0,0,4,16,5,-,-,-,3.71
Jul 20,vs HOU,L 3-1,1.0,0,0,0,0,0,2,1,0,10,3,-,-,-,3.35
Jul 13,@ LAD,L 3-2,0.1,3,2,2,0,0,0,3,1,18,4,-,L(3-2),BlSv(5),3.43
Jul 11,vs SEA,L 3-0,1.0,0,0,0,0,0,0,2,0,8,2,-,-,-,3.02
Jul 10,vs SEA,W 9-3,1.1,0,0,0,0,0,1,1,2,14,4,-,-,-,3.10
Jul 7,vs LAD,L 3-1,1.0,0,0,0,0,1,2,0,1,20,4,-,-,-,3.20
Jul 5,@ SEA,L 4-1,0.1,2,0,0,0,1,1,1,1,19,4,-,-,-,3.29
Jul 4,@ SEA,W 7-4,0.2,1,0,0,0,0,2,0,1,16,3,-,-,H(6),3.32
Jun 29,@ BAL,W 7-1,0.2,0,0,0,0,0,0,1,0,5,1,-,-,-,3.38
Jun 27,@ BOS,L 9-6,1.0,1,0,0,0,0,1,2,1,21,4,-,-,-,3.44
Jun 23,vs TOR,L 4-1,1.2,1,0,0,0,1,1,4,0,16,6,-,-,-,3.53
Jun 22,vs TOR,W 2-1,1.0,0,0,0,0,0,0,1,2,14,3,-,-,H(5),3.71
Jun 19,vs ARI,W 5-4,1.2,0,0,0,0,1,2,2,1,23,6,-,-,H(4),3.82
Jun 17,@ OAK,L 6-5,1.1,1,0,0,0,1,0,2,3,21,6,-,-,BlSv(4),4.02
Jun 15,@ OAK,W 8-4,1.0,1,1,0,0,1,2,1,1,24,5,-,-,-,4.20
Jun 12,@ SEA,L 6-3,1.0,2,1,1,1,0,2,1,2,21,5,-,-,-,4.34
Jun 11,@ SEA,L 5-3,1.0,0,0,0,0,0,1,2,0,9,3,-,-,-,4.18
Jun 10,@ MIN,L 7-5,0.2,1,0,0,0,0,1,1,1,7,3,-,-,-,4.33
Jun 6,vs KC,W 4-3,1.0,1,0,0,0,0,2,2,0,17,4,-,W(3-1),-,4.44
Jun 4,vs KC,W 9-6,1.0,0,0,0,0,0,0,2,1,17,3,-,W(2-1),-,4.62
Jun 1,vs TEX,W 6-0,1.0,2,0,0,0,0,0,3,1,17,4,-,-,-,4.81
May 30,@ DET,L 6-1,0.1,2,4,4,0,1,1,0,2,15,5,-,L(1-1),-,5.01
May 28,@ DET,L 9-3,1.0,1,0,0,0,0,1,1,2,14,4,-,-,-,3.52
May 26,@ NYY,W 11-4,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,3.68
May 25,@ NYY,L 2-1,0.2,0,0,0,0,1,1,0,1,17,3,-,-,-,3.86
May 22,@ TOR,L 5-3,1.0,0,0,0,0,1,0,1,1,11,3,-,-,-,3.98
May 18,vs TB,L 8-3,0.2,3,2,2,1,2,1,3,1,30,7,-,-,-,4.19
May 15,vs HOU,L 5-3,0.2,0,0,0,0,0,0,1,1,8,2,-,-,-,3.38
May 13,vs MIN,W 2-1,0.2,2,0,0,0,0,1,1,2,17,4,-,-,BlSv(3),3.50
May 12,vs MIN,L 5-3,1.0,1,0,0,0,0,0,2,1,11,3,-,-,-,3.63
May 10,vs MIN,W 7-4,0.2,1,0,0,0,0,0,1,1,4,2,-,-,H(3),3.86
May 6,@ SEA,W 8-2,0.1,0,0,0,0,3,0,0,1,18,4,-,-,-,4.02
May 5,@ SEA,L 9-8,0.2,0,0,0,0,0,1,0,1,6,2,-,-,H(2),4.11
May 1,vs BAL,W 3-2,1.0,3,2,2,0,0,0,1,5,17,6,-,W(1-0),BlSv(2),4.30
Apr 29,vs NYY,L 2-1,1.0,1,0,0,0,0,2,0,2,16,4,-,-,-,3.29
Apr 27,vs NYY,L 4-3,1.0,0,0,0,0,0,0,0,3,7,3,-,-,-,3.55
Apr 24,@ HOU,W 8-7,1.1,0,0,0,0,1,2,1,1,23,5,-,-,Sv(1),3.86
Apr 22,vs SF,L 4-2,1.0,2,0,0,0,0,2,3,0,22,5,-,-,-,4.35
Apr 20,vs SF,L 8-1,1.2,0,0,0,0,0,0,4,1,14,5,-,-,-,4.82
Apr 18,vs BOS,L 9-0,1.0,1,0,0,0,1,2,0,2,21,5,-,-,-,5.87
Apr 17,vs BOS,L 10-1,1.0,1,1,1,1,1,1,2,1,14,5,-,-,-,6.75
Apr 13,@ KC,W 5-4,1.0,1,0,0,0,0,0,2,2,15,4,-,-,H(1),6.35
Apr 9,@ TEX,W 8-3,1.0,1,1,1,1,0,1,2,1,18,4,-,-,-,7.71
Apr 6,vs OAK,W 13-9,1.0,2,2,2,1,0,1,1,3,25,5,-,-,-,7.36
Apr 4,vs CLE,W 3-2,1.0,1,0,0,0,0,0,2,2,15,4,-,-,-,3.38
Apr 1,@ OAK,W 7-4,1.0,0,0,0,0,1,0,2,0,15,3,-,-,-,5.40
Mar 31,@ OAK,W 8-3,0.1,1,0,0,0,0,1,0,1,7,2,-,-,-,13.50
Mar 29,@ OAK,L 6-5,0.1,3,1,1,0,0,0,2,2,16,4,-,-,BlSv(1),27.00
