DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHC,L 8-4,1,0,1,1,0,0,0,0,0,0,0,1.000,2.000,3.000,1.000
Mar 30,vs CHC,W 2-1,3,0,1,0,0,0,0,3,0,0,1,.714,.750,1.464,.500
Mar 31,vs CHC,L 10-6,5,0,0,0,0,0,0,0,1,0,0,.417,.333,.750,.222
Apr 1,vs CHC,W 6-0,4,1,1,1,0,0,0,0,1,0,0,.375,.385,.760,.231
Apr 2,vs BOS,L 7-3,4,0,2,0,0,0,1,0,0,0,0,.400,.412,.812,.294
Apr 3,vs BOS,L 4-2,5,0,3,1,0,0,1,0,1,1,0,.440,.500,.940,.364
Apr 5,@ PHI,L 5-0,3,0,0,0,0,0,0,0,2,0,0,.393,.440,.833,.320
Apr 7,@ PHI,L 20-1,3,0,1,0,0,0,0,0,2,0,0,.387,.429,.816,.321
Apr 8,@ PHI,W 6-3,0,0,0,0,0,0,0,1,0,0,0,.406,.429,.835,.321
Apr 9,vs NYM,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.361,.375,.736,.281
Apr 10,vs NYM,L 8-6,1,0,0,0,0,0,0,0,0,0,0,.351,.364,.715,.273
Apr 11,vs NYM,L 4-1,3,0,0,0,0,0,0,0,1,0,0,.325,.333,.658,.250
Apr 13,vs PIT,W 7-2,0,0,0,0,0,0,0,1,0,0,0,.341,.333,.674,.250
Apr 14,vs PIT,L 1-0,1,0,0,0,0,0,0,0,0,0,0,.333,.324,.657,.243
Apr 15,vs PIT,L 7-3,4,1,1,1,0,0,0,0,3,0,0,.326,.341,.667,.244
Apr 16,@ NYY,L 12-1,3,0,0,0,0,0,0,1,3,0,0,.320,.318,.638,.227
Apr 17,@ NYY,W 9-1,3,1,0,0,0,0,1,0,1,0,0,.296,.298,.594,.213
Apr 19,@ MIL,L 12-3,2,1,0,0,0,0,0,2,0,0,0,.310,.286,.596,.204
Apr 20,@ MIL,L 8-0,3,0,0,0,0,0,0,0,2,0,0,.295,.269,.564,.192
Apr 21,@ MIL,L 6-5,4,1,1,0,0,0,0,0,1,0,0,.292,.268,.560,.196
Apr 22,@ MIL,L 4-2,1,0,0,0,0,0,0,0,0,0,0,.288,.263,.551,.193
Apr 23,@ LAD,L 2-1,2,0,1,0,0,0,0,2,0,0,1,.314,.271,.585,.203
Apr 24,@ LAD,W 3-2,4,0,2,1,0,0,1,0,1,0,0,.324,.302,.626,.222
Apr 25,@ LAD,W 8-6,4,1,1,1,0,0,0,1,1,0,0,.329,.313,.642,.224
Apr 27,vs COL,L 1-0,2,0,0,0,0,0,0,1,1,0,0,.329,.304,.633,.217
Apr 28,vs COL,W 4-1,0,0,0,0,0,0,0,0,0,0,0,.329,.304,.633,.217
Apr 29,vs COL,W 3-0,2,0,0,0,0,0,0,1,0,0,1,.329,.296,.625,.211
Apr 30,vs PHI,W 8-4,4,1,1,0,0,0,0,0,0,0,0,.326,.293,.619,.213
May 1,vs PHI,W 2-1,4,1,1,0,1,0,0,0,1,0,0,.323,.316,.639,.215
May 2,vs PHI,L 6-0,4,0,1,0,0,0,0,0,0,0,0,.320,.313,.633,.217
May 4,@ CIN,L 4-1,Did not play
May 5,@ CIN,W 6-0,1,0,0,0,0,0,0,0,0,0,0,.316,.310,.626,.214
May 6,@ CIN,W 8-5,4,0,2,1,0,0,2,0,1,0,0,.330,.330,.660,.227
May 7,@ CHC,L 14-2,3,0,2,0,0,0,1,0,1,0,0,.340,.341,.681,.242
May 8,@ CHC,L 4-3,4,0,0,0,0,0,0,0,1,0,0,.327,.326,.653,.232
May 9,@ CHC,L 13-4,2,0,0,0,0,0,0,1,0,0,0,.327,.320,.647,.227
May 10,vs ATL,L 9-2,2,0,1,0,0,0,0,0,0,0,0,.330,.323,.653,.232
May 11,vs ATL,W 6-3,1,0,1,1,0,0,0,0,0,0,0,.336,.340,.676,.240
