DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
May 14,vs OAK,L 6-5,1.0,1,1,1,1,0,0,1,3,11,4,-,-,-,3.77
May 12,@ TOR,W 5-2,0.2,0,0,0,0,0,1,2,0,12,3,-,-,H(5),3.38
May 11,@ TOR,L 5-3,1.0,1,0,0,0,0,2,1,1,20,4,-,-,-,3.55
May 9,@ NYY,L 9-6,0.2,1,0,0,0,0,1,1,1,12,3,-,-,H(4),3.86
May 8,@ NYY,L 3-2,0.1,0,0,0,0,0,1,0,0,4,1,-,-,-,4.09
May 6,@ TEX,W 6-1,1.0,1,0,0,0,0,2,2,0,15,4,-,-,-,4.22
May 1,vs KC,L 7-6,1.0,2,0,0,0,0,1,2,2,19,5,-,-,-,4.66
Apr 30,vs KC,W 10-6,1.0,1,0,0,0,0,2,1,1,20,4,-,-,H(3),5.19
Apr 26,@ TOR,W 5-4,0.2,2,1,1,0,0,0,3,1,14,4,-,-,H(2),5.87
Apr 22,@ OAK,L 4-1,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,5.14
Apr 19,@ LAA,W 8-2,1.0,0,0,0,0,0,1,0,2,11,3,-,-,-,5.40
Apr 18,@ LAA,W 9-0,1.0,0,0,0,0,1,1,0,2,12,4,-,-,-,6.35
Apr 11,vs NYY,L 10-7,1.0,0,0,0,0,1,1,2,0,18,4,-,-,-,7.71
Apr 8,vs TB,W 8-7,1.0,1,0,0,0,2,1,3,0,25,6,-,W(1-1),-,9.82
Apr 5,vs TB,W 3-2,1.0,1,2,2,1,1,1,1,2,30,5,-,-,-,13.50
Apr 3,@ MIA,W 4-2,0.1,0,0,0,0,0,1,0,0,5,1,-,-,-,10.80
Mar 31,@ TB,W 3-2,0.2,1,0,0,0,0,1,1,1,13,3,-,-,H(1),13.50
Mar 29,@ TB,L 6-4,0.2,2,2,2,0,1,1,2,1,20,5,-,L(0-1),BlSv(1),27.00
