DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs SF,L 4-3,2.0,1,1,1,1,0,2,3,2,26,7,-,-,-,2.75
Jul 21,vs CHW,L 5-0,1.0,0,0,0,0,0,1,2,0,9,3,-,-,-,2.65
Jul 12,@ LAA,L 11-2,2.1,3,1,1,0,1,0,2,8,39,12,-,-,-,2.72
Jul 7,vs COL,L 5-1,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,2.65
Jul 4,vs LAA,L 7-4,1.0,1,0,0,0,0,0,3,1,16,4,-,-,-,2.73
Jun 27,@ BAL,W 8-7,1.0,0,0,0,0,0,0,1,2,10,3,-,W(5-0),-,2.81
Jun 24,@ BOS,L 5-0,1.0,1,0,0,0,0,2,1,1,23,4,-,-,-,2.90
Jun 21,@ NYY,L 4-3,2.0,1,0,0,0,1,2,1,4,34,8,-,-,-,3.00
Jun 17,vs BOS,L 9-3,0.2,3,3,3,2,0,0,0,5,12,5,-,-,-,3.21
Jun 15,vs BOS,W 7-6,0.2,0,0,0,0,0,0,1,1,8,2,-,-,-,2.30
Jun 13,vs LAA,W 8-6,1.0,2,2,2,2,0,2,1,2,25,5,-,-,-,2.36
Jun 11,vs LAA,W 5-3,1.0,0,0,0,0,0,0,1,2,8,3,-,-,H(2),1.75
Jun 6,@ HOU,L 7-5,1.0,0,0,0,0,1,0,2,0,8,3,-,-,-,1.82
Jun 5,@ HOU,W 7-1,1.0,0,0,0,0,0,0,1,2,10,3,-,-,-,1.90
May 31,vs TEX,W 6-1,2.0,2,0,0,0,0,1,4,2,27,7,-,-,-,1.99
May 30,vs TEX,L 7-6,1.0,3,0,0,0,0,1,1,3,17,5,-,-,-,2.18
May 29,vs TEX,L 9-5,0.2,1,0,0,0,1,2,0,1,21,4,-,-,-,2.29
May 26,vs MIN,W 4-3,1.0,1,0,0,0,0,1,0,2,13,3,-,W(4-0),-,2.37
May 24,@ OAK,L 4-3,0.2,0,0,0,0,0,2,0,0,10,2,-,-,-,2.50
May 17,vs DET,L 3-2,1.1,1,0,0,0,0,0,4,1,15,5,-,-,-,2.60
May 13,@ DET,L 5-4,1.0,1,1,1,0,0,0,1,3,14,5,-,-,-,2.81
May 10,@ TOR,W 9-3,0.0,1,0,0,0,0,0,1,0,1,1,-,-,-,2.40
May 9,@ TOR,L 5-2,0.2,1,0,0,0,1,1,0,2,29,4,-,-,H(1),2.40
May 6,vs LAA,L 8-2,0.1,1,1,1,1,0,1,0,1,7,2,-,-,-,2.51
May 5,vs LAA,W 9-8,1.0,0,0,0,0,0,2,1,1,17,4,-,-,-,1.93
May 3,vs OAK,W 4-1,2.1,1,1,1,1,0,2,3,3,32,8,-,W(3-0),-,2.08
Apr 28,@ CLE,W 12-4,1.0,0,0,0,0,1,2,0,1,19,4,-,-,-,1.69
Apr 21,@ TEX,W 9-7,2.0,2,1,1,0,0,1,5,2,28,9,-,W(2-0),-,1.86
Apr 18,vs HOU,L 7-1,1.0,1,0,0,0,0,0,1,3,24,4,-,-,-,1.17
Apr 17,vs HOU,L 4-1,1.0,2,1,1,0,0,0,3,2,14,5,-,-,-,1.35
Apr 15,vs OAK,L 2-1,1.0,2,0,0,0,0,1,2,2,12,5,-,-,-,0.00
Apr 14,vs OAK,W 10-8,1.2,0,0,0,0,1,1,3,0,23,5,-,W(1-0),-,0.00
Apr 9,@ KC,L 10-0,3.0,0,0,0,0,1,2,4,3,37,10,-,-,-,0.00
