DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs MIA,W 6-4,6.0,8,4,3,0,0,13,8,6,101,28,55,-,-,4.30
Jul 14,@ MIN,W 19-6,4.1,5,2,1,1,1,7,2,10,93,20,-,-,-,4.29
Jul 9,vs DET,W 10-9,3.1,6,3,3,0,2,3,9,4,78,18,37,-,-,4.41
Jun 2,@ SEA,L 3-1,5.0,7,2,2,0,2,6,8,6,92,23,49,L(3-4),-,4.24
May 28,@ OAK,W 1-0,6.0,4,0,0,0,2,7,6,7,88,22,69,-,-,4.29
May 23,vs BOS,L 4-1,6.0,4,1,1,0,3,6,5,8,95,22,-,-,-,4.68
May 17,@ LAA,W 7-1,6.2,2,0,0,0,4,5,9,7,104,26,71,W(3-3),-,5.01
May 12,@ BAL,L 6-3,7.0,7,6,6,3,3,4,11,13,101,31,40,L(2-3),-,5.64
May 6,vs TOR,L 2-1,7.0,5,1,1,0,0,6,6,14,97,26,69,-,-,5.32
May 1,@ DET,L 2-1,6.0,6,2,2,0,1,6,5,12,90,24,57,L(2-2),-,6.05
Apr 26,@ BAL,W 9-5,5.1,11,4,4,1,1,7,9,10,115,27,36,W(2-1),-,6.61
Apr 20,vs MIN,W 8-7,6.2,4,2,2,1,1,5,12,6,92,24,-,-,-,6.59
Apr 14,vs PHI,L 9-4,4.0,8,7,7,1,2,2,6,11,80,21,18,L(1-1),-,7.84
Apr 9,@ CHW,W 5-4,5.2,6,4,3,1,3,8,7,9,102,28,48,W(1-0),-,5.94
Apr 3,@ NYY,L 11-4,5.0,6,4,4,1,3,8,5,7,96,23,44,-,-,6.55
Mar 29,vs BOS,W 6-4,6.0,6,4,4,1,1,6,7,10,81,24,49,-,-,6.00
