DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ LAA,L 14-5,0.0,3,3,3,2,1,0,0,3,22,4,-,-,-,INF
Jul 14,vs DET,W 9-1,2.0,0,0,0,0,0,2,3,2,22,7,-,-,-,2.33
Jul 12,vs OAK,L 6-4,0.1,4,3,3,0,0,0,1,4,25,5,-,L(2-2),BlSv(3),2.45
Jul 10,vs OAK,W 6-5,1.0,0,0,0,0,0,0,0,3,7,3,-,-,H(17),1.73
Jul 5,vs CHW,W 4-3,1.0,1,1,1,1,0,1,0,3,15,5,-,-,-,1.78
Jul 3,@ TEX,W 5-3,0.1,1,1,1,0,2,1,0,1,23,4,-,-,H(16),1.57
Jul 1,@ TB,L 3-2,0.1,1,0,0,0,0,0,0,2,7,2,-,-,BlSv(2),1.32
Jun 28,@ TB,W 1-0,1.0,2,0,0,0,0,0,2,2,15,4,-,-,H(15),1.34
Jun 26,vs TOR,W 7-0,1.0,0,0,0,0,0,1,1,1,10,3,-,-,H(14),1.38
Jun 23,vs KC,W 4-3,2.0,0,0,0,0,0,2,1,3,22,6,-,-,-,1.42
Jun 22,vs KC,L 1-0,1.0,0,0,0,0,0,2,1,0,18,3,-,-,-,1.52
Jun 20,vs TB,W 5-1,1.0,1,0,0,0,0,1,1,1,7,3,-,-,-,1.57
Jun 16,@ KC,W 10-2,1.0,0,0,0,0,0,2,0,1,17,3,-,-,-,1.63
Jun 14,@ OAK,W 7-3,1.0,0,0,0,0,0,1,1,1,9,3,-,-,-,1.69
Jun 9,@ TEX,W 4-3,1.2,0,0,0,0,0,1,2,2,18,6,-,-,H(13),1.75
Jun 7,@ TEX,W 5-2,0.1,0,0,0,0,0,0,0,1,2,1,-,-,H(12),1.88
Jun 6,vs SEA,W 7-5,1.0,1,0,0,0,0,1,0,3,19,4,-,W(2-1),-,1.90
Jun 1,vs BOS,W 7-3,1.0,1,0,0,0,1,1,2,1,15,5,-,-,H(11),1.99
May 29,@ NYY,L 6-5,1.0,3,2,2,1,1,3,2,1,24,7,-,-,BlSv(1),2.08
May 28,@ NYY,W 5-1,1.0,1,0,0,0,0,2,1,1,13,4,-,-,-,1.31
May 27,@ CLE,L 10-9,1.0,0,0,0,0,0,0,2,1,9,3,-,-,-,1.37
May 25,@ CLE,W 11-2,1.0,0,0,0,0,0,2,0,1,17,3,-,-,H(10),1.45
May 20,vs CLE,W 3-1,0.2,1,1,1,0,0,1,0,2,13,3,-,-,H(9),1.53
May 18,vs CLE,W 4-1,1.0,2,0,0,0,1,0,2,3,23,6,-,-,H(8),1.06
May 11,vs TEX,L 1-0,1.0,0,0,0,0,0,2,0,1,12,3,-,-,-,1.13
May 8,@ OAK,W 4-2,1.0,0,0,0,0,0,0,2,1,11,3,-,-,H(7),1.20
May 5,@ ARI,L 4-3,0.2,1,1,1,0,2,1,2,0,27,5,-,L(1-1),-,1.29
May 3,vs NYY,L 6-5,1.0,0,0,0,0,0,3,0,0,12,3,-,-,H(6),0.68
Apr 30,vs NYY,W 2-1,0.1,1,0,0,0,0,1,0,1,4,2,-,-,H(5),0.73
Apr 29,vs OAK,W 8-4,1.0,1,0,0,0,0,1,2,1,14,4,-,-,H(4),0.75
Apr 25,vs LAA,W 5-2,1.0,0,0,0,0,0,1,1,1,13,3,-,-,H(3),0.82
Apr 22,@ CHW,W 7-1,1.0,0,0,0,0,1,0,2,0,16,3,-,-,-,0.90
Apr 17,@ SEA,W 4-1,1.0,1,0,0,0,0,1,0,2,12,3,-,-,Sv(2),1.00
Apr 15,vs TEX,L 3-1,1.0,1,0,0,0,0,0,0,4,19,4,-,-,-,1.13
Apr 13,vs TEX,W 3-2,1.0,1,0,0,0,0,3,0,1,18,5,-,-,Sv(1),1.29
Apr 11,@ MIN,L 9-8,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,1.50
Apr 9,@ MIN,W 2-0,1.1,1,0,0,0,0,0,2,2,14,4,-,-,H(2),1.80
Apr 7,vs SD,W 1-0,1.1,0,0,0,0,0,2,2,0,16,4,-,W(1-0),-,2.45
Apr 3,vs BAL,W 10-6,0.1,0,0,0,0,1,1,0,0,11,2,-,-,-,3.86
Apr 1,@ TEX,W 8-2,1.0,2,1,1,1,0,0,3,2,21,5,-,-,-,4.50
Mar 29,@ TEX,W 4-1,1.0,0,0,0,0,0,2,0,1,12,3,-,-,H(1),0.00
