DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ DET,W 13-10,6,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 1,@ DET,W 1-0,3,0,1,1,0,0,0,0,0,0,0,.111,.222,.333,.111
Apr 1,@ DET,W 8-6,Did not play
Apr 2,vs MIN,W 5-4,3,1,1,0,0,1,4,1,0,0,0,.231,.500,.731,.167
Apr 4,vs MIN,L 7-3,4,0,1,0,0,0,1,0,2,0,0,.235,.438,.673,.188
Apr 5,vs CIN,W 5-2,1,0,0,0,0,0,0,0,0,0,0,.222,.412,.634,.176
Apr 6,vs CIN,W 14-3,5,3,4,1,0,0,3,0,0,0,0,.348,.545,.893,.318
Apr 7,vs CIN,L 7-4,3,1,1,0,0,0,0,1,0,0,1,.370,.520,.890,.320
Apr 8,vs CIN,W 5-0,4,0,2,0,0,0,0,0,1,0,0,.387,.517,.904,.345
Apr 10,@ CHC,W 8-5,3,0,1,0,0,0,0,1,2,0,0,.400,.500,.900,.344
Apr 11,@ CHC,L 13-5,Did not play
Apr 12,@ CHC,W 6-1,3,0,1,0,0,0,0,2,1,0,0,.425,.486,.911,.343
Apr 13,@ MIA,L 7-2,Did not play
Apr 14,@ MIA,W 1-0,3,0,0,0,0,0,0,0,0,0,0,.395,.447,.842,.316
Apr 15,@ MIA,W 7-3,4,0,1,0,0,0,0,0,0,0,0,.383,.429,.812,.310
Apr 16,vs COL,L 6-2,2,0,0,0,0,0,1,0,1,0,0,.360,.409,.769,.295
Apr 17,vs COL,L 2-0,3,0,1,0,0,0,0,0,1,0,0,.358,.404,.762,.298
Apr 18,vs COL,W 10-2,1,1,1,1,0,0,0,0,0,0,0,.370,.438,.808,.313
Apr 19,@ PHI,L 7-0,3,0,0,0,0,0,0,0,1,0,0,.351,.412,.763,.294
Apr 20,@ PHI,L 2-1,4,0,1,1,0,0,0,0,2,0,0,.344,.418,.762,.291
Apr 21,@ PHI,L 6-2,4,0,1,0,0,0,0,0,1,0,0,.338,.407,.745,.288
Apr 22,@ PHI,L 3-2,4,0,0,0,0,0,0,1,2,0,0,.329,.381,.710,.270
Apr 25,vs DET,L 13-10,4,1,2,0,0,1,2,1,0,0,0,.347,.433,.780,.284
Apr 25,vs DET,W 8-3,1,0,1,0,0,0,1,0,0,0,0,.355,.441,.796,.294
Apr 26,vs DET,W 1-0,3,0,1,1,0,0,0,0,1,0,0,.354,.451,.805,.296
Apr 27,vs STL,W 6-5,3,0,0,0,0,0,1,0,1,0,0,.349,.432,.781,.284
Apr 28,vs STL,W 6-2,2,1,0,0,0,0,0,2,0,0,0,.356,.421,.777,.276
Apr 29,vs STL,W 5-0,4,1,2,0,0,0,1,0,1,0,0,.363,.425,.788,.288
Apr 30,@ WSH,L 3-2,2,0,0,0,0,0,0,1,1,0,0,.362,.415,.777,.280
May 1,@ WSH,L 12-4,3,1,2,1,0,0,0,1,0,0,0,.378,.435,.813,.294
May 2,@ WSH,L 9-3,Did not play
May 3,@ WSH,L 3-1,2,1,0,0,0,0,0,0,0,0,0,.376,.425,.801,.287
May 4,@ MIL,W 6-4,4,0,1,0,0,0,0,0,1,0,0,.371,.418,.789,.286
May 5,@ MIL,L 5-3,3,0,0,0,0,0,0,0,0,0,0,.361,.404,.765,.277
May 6,@ MIL,W 9-0,3,2,1,0,0,0,1,2,0,0,0,.372,.402,.774,.278
May 8,@ CHW,W 10-6,5,1,2,1,0,0,2,0,1,0,0,.373,.412,.785,.284
May 9,@ CHW,W 6-5,4,1,1,0,0,1,2,0,0,0,0,.369,.434,.803,.283
