DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs WSH,W 5-4,0.1,0,0,0,0,0,0,0,0,4,0,-,W(4-3),-,3.31
Jul 23,vs WSH,W 6-1,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,3.33
Jul 22,vs LAD,L 11-2,1.0,1,0,0,0,1,0,2,1,14,4,-,-,-,3.35
Jul 15,@ PIT,L 7-6,0.0,2,1,1,0,0,0,0,2,4,2,-,L(3-3),BlSv(1),INF
Jul 14,@ PIT,L 6-2,1.0,1,1,1,1,1,1,0,3,18,5,-,-,-,3.23
Jul 11,@ MIA,L 5-4,1.1,0,0,0,0,1,0,3,1,17,5,-,-,-,3.11
Jul 10,@ MIA,W 8-4,0.1,0,0,0,0,0,0,1,0,2,1,-,-,H(9),3.20
Jul 8,vs ATL,W 10-3,1.0,1,0,0,0,1,2,1,1,25,5,-,-,-,3.22
Jul 6,vs ATL,W 5-4,1.0,0,0,0,0,0,1,2,0,16,3,-,-,H(8),3.30
Jul 5,vs ATL,W 7-2,2.0,0,0,0,0,0,2,3,1,20,6,-,-,Sv(1),3.38
Jul 2,vs MIN,W 6-5,2.0,1,0,0,0,0,2,2,3,24,7,-,-,-,3.54
Jun 29,@ CIN,W 8-2,1.0,3,1,1,0,0,0,1,5,21,6,-,-,-,3.72
Jun 26,vs KC,W 5-1,1.0,1,1,1,1,1,0,0,4,28,5,-,-,-,3.58
Jun 24,vs STL,L 8-2,1.2,1,0,0,0,0,2,2,2,24,6,-,-,-,3.44
Jun 21,vs STL,W 11-3,1.0,3,1,1,0,0,0,3,3,20,6,-,-,-,3.60
Jun 19,@ PIT,W 3-2,0.2,1,1,1,0,1,1,1,1,30,4,-,-,H(7),3.44
Jun 17,vs PHI,L 10-9,0.1,0,0,0,0,0,1,0,0,4,1,-,-,-,3.24
Jun 15,vs PHI,W 13-2,1.0,0,0,0,0,0,0,2,1,15,3,-,-,-,3.27
Jun 10,@ PHI,L 4-3,2.0,3,3,1,0,2,1,7,3,36,13,-,L(3-2),-,3.38
Jun 9,@ PHI,W 12-3,1.0,1,0,0,0,1,1,1,1,13,4,-,-,-,3.30
Jun 5,@ CLE,L 3-2,1.1,0,0,0,0,0,2,2,0,17,4,-,-,-,3.41
Jun 3,@ CHW,L 6-1,1.0,2,2,2,0,2,2,1,2,23,7,-,-,-,3.58
Jun 1,@ CHW,L 8-3,1.0,4,2,2,0,0,1,3,2,26,6,-,-,-,3.04
May 29,vs STL,L 6-1,1.0,1,1,1,1,0,1,1,2,14,4,-,-,-,2.45
May 26,vs NYM,W 17-6,1.1,2,1,1,0,1,1,5,0,27,7,-,W(3-1),-,2.19
May 24,vs NYM,L 5-0,1.0,2,0,0,0,0,0,1,4,21,5,-,-,-,1.93
May 20,@ MIN,L 3-1,2.0,1,0,0,0,0,2,4,0,28,6,-,-,-,2.01
May 19,@ MIN,W 5-4,1.2,2,0,0,0,1,1,2,2,18,6,-,-,-,2.21
May 16,@ ARI,W 8-2,2.0,1,0,0,0,0,3,1,3,29,7,-,-,-,2.41
May 13,@ COL,W 7-3,0.2,3,2,2,1,0,0,2,3,12,5,-,-,-,2.70
May 11,@ COL,W 11-10,1.1,2,0,0,0,0,1,3,1,23,5,-,-,-,1.69
May 8,vs CLE,W 3-2,0.2,0,0,0,0,0,0,2,0,4,2,-,-,H(6),1.84
May 2,@ CIN,W 3-1,1.0,0,0,0,0,1,0,2,1,14,4,-,-,H(5),1.93
Apr 30,@ CIN,W 6-5,0.0,1,1,1,0,1,0,1,0,7,2,-,-,-,INF
Apr 29,@ CHC,L 2-0,0.2,0,0,0,0,0,1,0,1,8,2,-,-,-,1.38
Apr 27,@ CHC,L 3-2,0.1,2,1,0,0,0,0,3,0,10,3,-,L(2-1),-,1.46
Apr 25,@ KC,W 6-2,0.1,0,0,0,0,0,0,1,0,5,1,-,-,H(4),1.50
Apr 24,@ KC,W 5-2,1.0,0,0,0,0,0,1,2,0,13,3,-,-,H(3),1.54
Apr 20,vs MIA,W 8-0,1.0,0,0,0,0,0,1,0,2,15,3,-,-,-,1.69
Apr 18,vs CIN,W 2-0,0.2,0,0,0,0,0,0,1,0,3,1,-,-,H(2),1.86
Apr 17,vs CIN,W 2-0,0.1,1,0,0,0,0,0,1,1,8,2,-,W(2-0),-,2.00
Apr 15,@ NYM,L 3-2,1.0,0,0,0,0,0,2,0,1,17,3,-,-,-,2.08
Apr 13,@ NYM,L 6-5,0.2,1,1,1,0,1,0,0,3,16,4,-,-,-,2.35
Apr 11,@ STL,W 3-2,1.2,0,0,0,0,0,1,4,0,19,5,-,-,H(1),1.29
Apr 7,vs CHC,L 5-2,0.2,0,0,0,0,0,0,0,2,11,2,-,-,-,1.69
Apr 5,vs CHC,L 8-0,1.0,3,1,1,0,0,1,3,2,16,6,-,-,-,1.93
Apr 4,vs STL,L 6-0,1.0,1,0,0,0,1,1,2,0,17,4,-,-,-,0.00
Apr 3,vs STL,W 5-4,1.0,0,0,0,0,0,1,2,0,17,3,-,W(1-0),-,0.00
Mar 30,@ SD,W 8-6,1.2,0,0,0,0,1,0,3,1,15,5,-,-,-,0.00
