DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs BOS,W 6-4,2,1,0,0,0,0,0,1,2,0,0,.333,.000,.333,.000
Mar 30,vs BOS,L 1-0,2,0,0,0,0,0,0,0,0,0,0,.200,.000,.200,.000
Mar 31,vs BOS,L 3-2,Did not play
Apr 1,vs BOS,L 2-1,Did not play
Apr 3,@ NYY,L 11-4,0,0,0,0,0,0,0,2,0,0,0,.429,.000,.429,.000
Apr 4,@ NYY,L 7-2,2,0,1,0,0,0,0,1,0,0,0,.500,.167,.667,.167
Apr 5,@ BOS,L 3-2,2,0,1,1,0,0,0,1,1,0,0,.538,.375,.913,.250
Apr 7,@ BOS,L 10-3,Did not play
Apr 8,@ BOS,L 8-7,4,3,2,0,0,0,0,1,2,1,0,.556,.417,.973,.333
Apr 9,@ CHW,W 5-4,3,1,0,0,0,0,0,1,0,0,0,.500,.333,.833,.267
Apr 10,@ CHW,W 6-5,4,1,2,0,0,0,1,1,1,0,0,.519,.368,.887,.316
Apr 11,@ CHW,L 2-1,Did not play
Apr 13,vs PHI,L 2-1,Did not play
Apr 14,vs PHI,L 9-4,0,0,0,0,0,0,0,1,0,0,0,.536,.368,.904,.316
Apr 15,vs PHI,L 10-4,4,0,0,0,0,0,0,0,1,0,0,.469,.304,.773,.261
Apr 16,vs TEX,W 8-4,3,1,1,0,0,1,1,1,0,0,0,.472,.423,.895,.269
Apr 17,vs TEX,L 7-2,2,1,0,0,0,0,0,2,1,0,0,.475,.393,.868,.250
Apr 18,vs TEX,W 4-2,4,1,1,1,0,0,1,0,1,0,0,.455,.406,.861,.250
Apr 20,vs MIN,W 8-7,4,0,1,0,0,0,1,1,3,0,0,.449,.389,.838,.250
Apr 21,vs MIN,W 10-1,4,1,1,0,0,1,1,0,0,0,0,.434,.450,.884,.250
Apr 22,vs MIN,W 8-6,4,1,4,1,0,0,0,0,0,0,0,.474,.523,.997,.318
Apr 25,@ BAL,W 8-4,3,2,2,2,0,0,0,1,0,0,0,.500,.574,1.074,.340
Apr 26,@ BAL,W 9-5,5,0,2,0,0,0,1,0,3,0,0,.493,.558,1.051,.346
Apr 27,@ BOS,W 4-3,3,1,2,1,0,1,1,0,0,0,0,.507,.636,1.143,.364
Apr 28,@ BOS,W 12-6,3,0,0,0,0,0,1,2,0,0,0,.500,.603,1.103,.345
Apr 29,@ BOS,L 4-3,4,0,2,0,0,0,0,0,1,0,0,.500,.597,1.097,.355
Apr 30,@ DET,W 3-2,4,0,0,0,0,0,0,0,3,0,0,.476,.561,1.037,.333
May 1,@ DET,L 2-1,4,0,0,0,0,0,0,0,1,0,0,.455,.529,.984,.314
May 2,@ DET,L 3-2,1,0,0,0,0,0,0,1,0,0,0,.456,.521,.977,.310
May 4,vs TOR,W 6-2,3,0,0,0,0,0,0,1,3,0,0,.447,.500,.947,.297
May 5,vs TOR,W 5-3,Did not play
May 6,vs TOR,L 2-1,4,0,1,0,0,0,0,0,1,0,0,.439,.487,.926,.295
May 8,vs ATL,L 1-0,1,0,0,0,0,0,0,1,0,0,0,.440,.481,.921,.291
May 9,vs ATL,L 5-2,4,0,1,0,0,0,0,0,1,0,0,.433,.470,.903,.289
May 11,@ BAL,L 9-4,Did not play
May 12,@ BAL,L 6-3,1,0,0,0,0,0,0,0,0,0,0,.429,.464,.893,.286
May 12,@ BAL,W 10-3,2,2,0,0,0,0,1,3,1,0,0,.436,.453,.889,.279
May 13,@ BAL,L 17-1,Did not play
May 14,@ KC,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.421,.433,.854,.267
May 15,@ KC,W 6-5,2,0,0,0,0,0,0,0,1,0,0,.414,.424,.838,.261
May 16,@ KC,W 5-3,4,0,1,1,0,0,0,0,0,0,0,.408,.427,.835,.260
May 17,@ LAA,W 7-1,2,1,2,0,0,0,1,3,0,0,0,.432,.439,.871,.276
May 18,@ LAA,W 8-3,4,2,2,0,0,1,1,1,1,0,0,.438,.471,.909,.284
May 19,@ LAA,W 5-3,4,2,1,0,0,1,4,1,0,0,0,.437,.491,.928,.283
May 20,@ LAA,L 5-2,4,0,0,0,0,0,0,0,2,0,0,.424,.473,.897,.273
May 22,vs BOS,L 4-2,2,0,0,0,0,0,1,0,0,0,0,.420,.464,.884,.268
May 23,vs BOS,L 4-1,4,0,1,0,0,0,0,0,3,0,0,.415,.457,.872,.267
May 24,vs BOS,W 6-3,3,0,1,0,0,0,0,1,0,0,0,.417,.454,.871,.269
May 25,vs BAL,L 2-0,3,0,0,0,0,0,0,1,0,0,0,.413,.443,.856,.262
May 26,vs BAL,W 5-1,4,1,3,1,0,0,0,0,0,0,0,.421,.460,.881,.278
May 27,vs BAL,W 8-3,4,1,0,0,0,0,0,1,0,0,0,.415,.446,.861,.269
May 28,@ OAK,W 1-0,5,0,0,0,0,0,0,0,3,0,0,.402,.430,.832,.259
May 29,@ OAK,W 4-3,3,1,2,0,0,1,1,1,1,0,0,.410,.457,.867,.268
May 30,@ OAK,W 6-0,4,1,1,0,0,0,0,0,0,0,0,.410,.451,.861,.268
May 31,@ OAK,L 7-3,4,0,0,0,0,0,0,0,2,0,0,.401,.438,.839,.260
Jun 1,@ SEA,L 4-3,4,0,1,0,0,0,0,1,1,0,0,.401,.433,.834,.260
Jun 2,@ SEA,L 3-1,4,0,2,0,0,0,0,0,0,0,0,.403,.435,.838,.266
Jun 3,@ SEA,L 2-1,4,1,2,0,0,0,0,0,0,0,0,.405,.437,.842,.272
Jun 5,@ WSH,L 4-2,4,0,0,0,0,0,0,0,3,0,0,.397,.426,.823,.265
Jun 6,@ WSH,L 11-2,Did not play
Jun 7,vs SEA,L 5-4,5,1,1,0,0,1,1,0,1,0,0,.392,.437,.829,.263
Jun 8,vs SEA,L 4-3,4,0,1,0,0,0,0,0,0,0,0,.389,.433,.822,.263
Jun 9,vs SEA,W 7-3,3,1,0,0,0,0,1,1,1,0,0,.387,.425,.812,.259
Jun 10,vs SEA,L 5-4,1,0,0,0,0,0,0,0,0,0,0,.385,.423,.808,.257
Jun 11,vs TOR,W 8-4,Did not play
Jun 12,vs TOR,W 4-1,Did not play
Jun 13,vs TOR,W 1-0,Did not play
Jun 14,@ NYY,L 4-3,Did not play
Jun 15,@ NYY,L 5-0,Did not play
Jun 16,@ NYY,L 4-1,Did not play
Jun 17,@ NYY,W 3-1,Did not play
Jun 18,@ HOU,L 5-4,Did not play
Jun 19,@ HOU,W 2-1,Did not play
Jun 20,@ HOU,L 5-1,Did not play
Jun 22,vs NYY,W 2-1,3,1,1,1,0,0,0,1,1,0,0,.387,.427,.814,.258
Jun 23,vs NYY,W 4-0,4,1,1,1,0,0,1,0,3,0,0,.385,.429,.814,.258
Jun 24,vs NYY,W 7-6,Did not play
Jun 25,vs WSH,W 11-0,5,1,1,0,0,0,0,0,0,0,0,.381,.422,.803,.257
Jun 26,vs WSH,W 1-0,2,0,1,0,0,0,0,1,1,0,0,.384,.423,.807,.259
Jun 28,vs HOU,L 1-0,Did not play
Jun 29,vs HOU,W 3-2,4,1,2,0,0,0,0,0,1,0,0,.386,.425,.811,.264
Jun 30,vs HOU,W 5-2,4,0,1,0,0,0,0,0,2,0,0,.384,.421,.805,.264
Jul 1,vs HOU,W 3-2,3,0,0,0,0,0,0,1,2,0,0,.382,.415,.797,.260
Jul 2,@ MIA,L 3-2,4,1,1,0,0,0,0,0,0,0,0,.380,.412,.792,.260
Jul 3,@ MIA,W 9-6,5,1,3,2,0,0,2,2,2,0,1,.391,.426,.817,.268
Jul 4,@ MIA,L 3-0,3,0,0,0,0,0,0,1,3,0,0,.389,.420,.809,.264
Jul 6,@ NYM,L 5-1,3,0,1,0,0,0,0,0,1,0,1,.391,.419,.810,.265
Jul 7,@ NYM,W 3-0,3,1,0,0,0,0,0,1,1,0,0,.391,.413,.804,.261
Jul 8,@ NYM,W 9-0,4,1,1,0,0,0,2,0,0,0,0,.391,.410,.801,.261
Jul 9,vs DET,W 10-9,6,1,3,0,0,0,1,0,2,0,0,.394,.412,.806,.268
Jul 10,vs DET,W 5-2,3,1,0,0,0,0,0,0,1,0,0,.391,.407,.798,.264
Jul 11,vs DET,W 4-2,Did not play
Jul 12,@ MIN,L 5-1,4,0,0,0,0,0,0,0,4,0,0,.386,.400,.786,.260
Jul 13,@ MIN,L 11-8,5,0,0,0,0,0,0,0,2,0,0,.379,.392,.771,.254
Jul 14,@ MIN,W 19-6,1,1,1,0,0,0,1,0,0,0,0,.381,.394,.775,.257
Jul 15,@ MIN,L 11-7,4,2,1,0,0,0,0,1,0,1,0,.384,.392,.776,.257
Jul 20,vs MIA,L 6-5,5,0,0,0,0,0,0,0,1,0,0,.377,.384,.761,.252
Jul 21,vs MIA,L 3-2,4,0,1,1,0,0,0,0,1,0,0,.376,.386,.762,.252
Jul 22,vs MIA,W 6-4,1,1,1,0,0,1,4,0,0,0,0,.378,.400,.778,.255
Jul 23,vs NYY,W 7-6,4,1,3,0,0,1,1,0,1,0,0,.383,.417,.800,.263
Jul 24,vs NYY,L 4-0,3,0,0,0,0,0,0,0,1,0,0,.379,.412,.791,.260
Jul 25,vs NYY,W 3-2,3,0,1,0,0,0,0,0,0,0,0,.379,.411,.790,.260
