DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CLE,W 2-1,Did not play
Mar 31,vs CLE,L 6-5,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 1,vs CLE,W 5-4,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Apr 3,@ SF,W 6-4,Did not play
Apr 4,@ SF,L 10-1,4,0,2,1,0,0,1,0,0,0,0,.222,.333,.555,.222
Apr 5,@ MIN,L 4-2,3,0,2,0,0,0,1,1,0,0,0,.385,.417,.802,.333
Apr 7,@ MIN,W 11-4,3,0,0,0,0,0,0,0,3,0,0,.313,.333,.646,.267
Apr 9,@ KC,L 10-0,2,0,1,0,0,0,0,0,0,0,0,.368,.353,.721,.294
Apr 10,@ KC,W 8-3,4,1,0,0,0,0,0,0,2,0,0,.333,.286,.619,.238
Apr 11,@ KC,W 4-2,2,0,0,0,0,0,0,0,1,0,0,.308,.261,.569,.217
Apr 13,vs OAK,W 7-4,4,1,1,0,0,1,2,0,2,0,0,.300,.370,.670,.222
Apr 14,vs OAK,W 10-8,4,2,2,1,0,1,1,0,2,0,0,.324,.516,.840,.258
Apr 15,vs OAK,L 2-1,Did not play
Apr 16,vs HOU,W 2-1,Did not play
Apr 17,vs HOU,L 4-1,2,0,0,0,0,0,0,1,2,0,0,.324,.485,.809,.242
Apr 18,vs HOU,L 7-1,2,0,0,0,0,0,0,1,0,0,0,.325,.457,.782,.229
Apr 19,vs HOU,L 9-2,2,0,0,0,0,0,0,0,0,0,0,.310,.432,.742,.216
Apr 20,@ TEX,W 6-2,4,0,1,0,0,0,0,0,1,0,0,.304,.415,.719,.220
Apr 21,@ TEX,W 9-7,2,0,1,0,0,0,0,2,1,0,0,.340,.419,.759,.233
Apr 22,@ TEX,L 7-4,3,0,0,0,0,0,0,0,3,0,0,.321,.391,.712,.217
Apr 23,@ CHW,L 10-4,4,0,1,0,0,0,0,0,1,0,0,.316,.380,.696,.220
Apr 24,@ CHW,W 1-0,2,0,0,0,0,0,0,1,0,0,0,.317,.365,.682,.212
Apr 25,@ CHW,W 4-3,2,1,0,0,0,0,0,1,0,0,0,.317,.352,.669,.204
May 22,@ OAK,W 3-2,2,1,1,0,0,0,0,2,1,0,0,.343,.357,.700,.214
May 23,@ OAK,W 1-0,1,0,0,0,0,0,0,0,0,0,0,.338,.351,.689,.211
May 24,@ OAK,L 4-3,3,0,0,0,0,0,0,1,0,0,0,.333,.333,.666,.200
May 25,vs MIN,W 2-1,Did not play
May 26,vs MIN,W 4-3,Did not play
Jun 8,@ TB,W 4-3,2,0,1,0,0,0,1,1,0,0,0,.347,.339,.686,.210
Jun 9,@ TB,L 7-3,Did not play
Jun 10,@ TB,W 5-4,Did not play
Jun 11,vs LAA,W 5-3,Did not play
Jun 12,vs LAA,W 6-3,Did not play
Jun 13,vs LAA,W 8-6,Did not play
Jul 20,vs CHW,W 3-1,Did not play
Jul 21,vs CHW,L 5-0,3,0,0,0,0,0,0,0,2,0,0,.333,.323,.656,.200
Jul 22,vs CHW,W 8-2,Did not play
Jul 24,vs SF,L 4-3,Did not play
