DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs DET,L 8-4,5.2,9,7,7,1,2,6,6,5,107,28,27,L(6-9),-,4.70
Jul 20,vs MIN,W 6-5,7.0,5,1,1,0,3,4,11,11,114,29,66,W(6-8),-,4.40
Jul 14,@ CHW,W 5-0,7.0,4,0,0,0,3,8,8,9,114,28,74,W(5-8),-,4.59
Jul 9,@ MIN,L 3-1,6.0,6,0,0,0,2,9,6,9,109,26,67,-,-,4.89
Jul 3,vs CLE,L 6-4,6.0,8,6,6,1,2,3,11,12,104,29,33,L(4-8),-,5.19
Jun 27,@ MIL,W 5-4,6.0,5,1,1,1,2,7,6,10,95,25,63,W(4-7),-,4.94
Jun 22,@ HOU,W 1-0,6.0,2,0,0,0,4,7,6,5,104,23,71,-,-,5.18
Jun 16,vs HOU,L 10-2,6.0,7,7,6,1,3,5,4,16,101,28,34,L(3-7),-,5.55
Jun 9,@ OAK,W 2-0,7.0,3,0,0,0,3,10,7,7,98,27,78,W(3-6),-,5.28
Jun 4,@ LAA,L 9-6,5.0,7,4,4,2,3,0,1,21,99,25,34,-,-,5.81
May 29,vs MIN,W 2-1,6.0,4,1,1,0,4,4,6,10,108,24,60,-,-,5.71
May 24,@ TEX,W 8-2,7.2,4,1,1,0,2,5,8,11,113,26,70,W(2-6),-,6.14
May 19,vs NYY,L 8-3,4.0,7,5,5,2,3,4,1,14,95,22,29,L(1-6),-,6.88
May 13,@ CLE,L 11-2,3.1,8,9,9,2,5,2,5,11,87,24,5,L(1-5),-,6.51
May 8,@ BAL,W 15-7,5.1,6,1,1,1,2,5,8,9,101,24,-,W(1-4),-,5.15
May 2,@ BOS,L 5-4,6.2,10,5,5,4,1,6,6,16,111,29,39,L(0-4),-,5.63
Apr 27,vs CHW,L 7-4,6.0,6,4,4,1,1,3,8,13,106,25,46,-,-,5.40
Apr 21,@ DET,L 12-4,4.2,10,6,6,1,2,2,9,14,101,27,20,L(0-3),-,5.26
Apr 17,@ TOR,L 5-4,6.0,2,0,0,0,3,8,5,6,100,22,73,-,-,3.86
Apr 11,vs SEA,L 4-2,5.1,4,2,1,0,3,7,3,10,101,23,-,-,-,5.40
Apr 6,@ CLE,L 3-2,5.2,3,3,3,0,3,3,6,13,99,25,51,L(0-2),-,7.45
Mar 29,vs CHW,L 14-7,4.0,7,5,5,3,2,5,3,10,78,20,31,L(0-1),-,11.25
