DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs NYM,W 7-6,0.2,1,0,0,0,0,2,0,1,15,3,-,-,H(15),3.05
Jul 14,@ CLE,W 5-4,1.1,0,0,0,0,1,3,0,1,28,5,-,W(7-3),-,3.09
Jul 12,@ CLE,W 7-4,1.0,0,0,0,0,0,0,3,0,9,3,-,W(6-3),-,3.19
Jul 10,@ BAL,L 6-5,1.0,0,0,0,0,0,2,1,0,15,3,-,-,-,3.27
Jul 8,@ TOR,W 2-1,1.0,0,0,0,0,0,1,1,1,12,3,-,-,Sv(2),3.35
Jul 7,@ TOR,W 8-5,1.0,1,0,0,0,0,0,0,4,16,4,-,-,H(14),3.43
Jul 2,vs ATL,L 5-3,1.0,1,2,1,1,0,1,3,1,22,5,-,L(5-3),-,3.52
Jul 1,vs BOS,W 11-1,1.0,0,0,0,0,0,2,0,1,11,3,-,-,-,3.38
Jun 25,@ PHI,W 4-2,1.1,1,1,1,0,1,3,1,1,24,6,-,-,H(13),3.47
Jun 24,@ TB,L 7-6,1.0,0,0,0,0,1,0,0,3,15,4,-,-,-,3.34
Jun 21,vs SEA,W 4-3,1.1,1,0,0,0,0,1,2,2,21,5,-,-,H(12),3.44
Jun 18,@ WSH,W 4-2,1.0,0,0,0,0,1,1,2,0,16,4,-,-,H(11),3.58
Jun 15,vs TB,W 5-0,1.0,1,0,0,0,0,1,1,2,11,4,-,-,H(10),3.69
Jun 13,vs WSH,L 5-4,1.0,1,0,0,0,0,1,0,2,22,3,-,-,-,3.82
Jun 9,@ NYM,W 4-3,1.0,1,0,0,0,0,1,2,1,15,4,-,W(5-2),-,3.94
Jun 6,@ TOR,W 3-0,1.0,0,0,0,0,0,2,0,1,14,3,-,W(4-2),-,4.08
Jun 5,@ TOR,W 7-2,1.0,0,0,0,0,0,1,1,1,15,3,-,-,-,4.23
Jun 2,@ BAL,W 8-5,1.0,2,1,1,0,0,2,0,3,17,5,-,-,-,4.39
May 30,vs HOU,W 5-3,1.0,1,0,0,0,0,2,0,2,25,4,-,-,H(9),4.21
May 29,vs HOU,W 6-5,1.0,1,0,0,0,0,2,0,2,19,4,-,-,-,4.38
May 27,vs LAA,W 3-1,1.0,1,0,0,0,0,0,3,1,17,4,-,-,H(8),4.56
May 25,vs LAA,W 2-1,0.2,0,0,0,0,1,0,1,1,14,3,-,-,H(7),4.76
May 23,@ TEX,L 12-10,0.2,1,2,2,0,2,2,0,1,22,5,-,L(3-2),BlSv(4),4.91
May 21,@ TEX,W 10-5,1.0,0,0,0,0,1,1,2,0,20,4,-,-,H(6),4.22
May 18,@ KC,L 5-2,1.0,1,1,1,0,1,0,2,2,18,5,-,-,-,4.43
May 11,vs OAK,L 10-5,1.0,1,3,3,0,2,1,3,1,24,7,-,-,-,4.19
May 8,vs BOS,W 3-2,1.0,1,0,0,0,0,2,0,2,22,4,-,W(3-1),BlSv(3),2.95
May 5,vs CLE,W 5-2,1.0,1,0,0,0,0,2,2,0,15,4,-,-,Sv(1),3.12
May 4,vs CLE,W 7-6,1.0,2,1,1,1,0,0,1,4,19,5,-,-,BlSv(2),3.31
May 1,@ HOU,W 4-0,1.0,1,0,0,0,0,2,2,0,19,4,-,W(2-1),-,2.93
Apr 27,@ LAA,W 4-3,1.0,0,0,0,0,0,1,1,1,11,3,-,W(1-1),-,3.14
Apr 25,vs MIN,W 7-4,1.0,0,0,0,0,0,1,2,0,14,3,-,-,H(5),3.38
Apr 24,vs MIN,W 8-3,0.2,0,0,0,0,0,1,1,0,7,2,-,-,H(4),3.65
Apr 22,vs TOR,W 5-1,1.0,1,0,0,0,0,1,0,3,14,4,-,-,-,3.86
Apr 19,vs TOR,W 4-3,1.0,2,1,1,0,2,2,0,3,26,7,-,-,H(3),4.22
Apr 17,vs MIA,L 9-1,1.0,0,0,0,0,0,3,0,0,14,3,-,-,-,3.72
Apr 13,@ DET,W 8-6,1.0,2,0,0,0,0,1,2,2,24,5,-,-,-,4.15
Apr 11,@ BOS,W 10-7,1.0,0,0,0,0,0,2,0,1,18,3,-,-,-,4.70
Apr 8,vs BAL,L 8-7,1.0,0,0,0,0,0,0,3,0,11,3,-,-,-,5.40
Apr 7,vs BAL,W 8-3,1.2,0,0,0,0,0,4,1,0,20,5,-,-,H(2),6.35
Apr 6,vs BAL,L 7-3,1.0,0,0,0,0,0,1,1,1,10,3,-,-,-,9.00
Apr 3,vs TB,W 11-4,1.0,0,0,0,0,0,0,1,2,9,3,-,-,-,12.00
Apr 1,@ TOR,L 7-4,1.1,3,4,4,1,1,0,3,4,26,8,-,L(0-1),BlSv(1),18.00
Mar 30,@ TOR,W 4-2,0.2,0,0,0,0,0,0,1,1,5,2,-,-,H(1),0.00
