DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs BOS,W 6-4,3,1,1,0,1,0,3,1,0,0,0,.500,1.000,1.500,.333
Mar 30,vs BOS,L 1-0,0,0,0,0,0,0,0,1,0,0,0,.600,1.000,1.600,.333
Mar 31,vs BOS,L 3-2,4,0,1,0,0,0,0,1,1,0,0,.500,.571,1.071,.286
Apr 1,vs BOS,L 2-1,5,0,0,0,0,0,0,0,2,0,0,.333,.333,.666,.167
Apr 3,@ NYY,L 11-4,2,0,1,1,0,0,2,0,1,0,0,.353,.429,.782,.214
Apr 4,@ NYY,L 7-2,3,0,0,0,0,0,1,0,1,0,0,.286,.353,.639,.176
Apr 5,@ BOS,L 3-2,1,0,1,0,0,0,0,0,0,0,0,.318,.389,.707,.222
Apr 7,@ BOS,L 10-3,4,1,2,0,0,0,1,0,0,0,0,.346,.409,.755,.273
Apr 8,@ BOS,L 8-7,1,0,0,0,0,0,0,0,0,0,0,.333,.391,.724,.261
Apr 9,@ CHW,W 5-4,4,0,1,0,0,0,1,1,0,1,0,.344,.370,.714,.259
Apr 10,@ CHW,W 6-5,3,1,0,0,0,0,0,2,2,0,0,.368,.333,.701,.233
Apr 11,@ CHW,L 2-1,3,0,0,0,0,0,0,1,1,0,0,.357,.303,.660,.212
Apr 13,vs PHI,L 2-1,3,0,0,0,0,0,0,0,2,0,0,.333,.278,.611,.194
Apr 14,vs PHI,L 9-4,Did not play
Apr 15,vs PHI,L 10-4,4,1,2,0,0,1,2,1,0,0,0,.360,.375,.735,.225
Apr 16,vs TEX,W 8-4,Did not play
Apr 17,vs TEX,L 7-2,Did not play
Apr 18,vs TEX,W 4-2,4,0,1,1,0,0,1,0,1,0,0,.352,.386,.738,.227
Apr 20,vs MIN,W 8-7,5,1,2,1,0,0,3,1,1,1,0,.367,.408,.775,.245
Apr 21,vs MIN,W 10-1,5,1,2,0,0,0,3,0,0,0,0,.369,.407,.776,.259
Apr 22,vs MIN,W 8-6,4,1,1,0,0,0,0,1,1,0,0,.371,.397,.768,.259
Apr 25,@ BAL,W 8-4,5,2,2,1,0,0,0,0,0,0,0,.373,.413,.786,.270
Apr 26,@ BAL,W 9-5,4,1,0,0,0,0,0,1,0,0,0,.363,.388,.751,.254
Apr 27,@ BOS,W 4-3,0,0,0,0,0,0,0,1,0,0,1,.370,.388,.758,.254
Apr 28,@ BOS,W 12-6,4,2,2,0,0,1,2,1,1,0,0,.384,.437,.821,.268
Apr 29,@ BOS,L 4-3,4,1,1,0,0,1,2,0,1,0,0,.378,.467,.845,.267
Apr 30,@ DET,W 3-2,3,1,0,0,0,0,0,1,0,0,0,.372,.449,.821,.256
May 1,@ DET,L 2-1,1,0,1,0,0,0,0,0,0,0,0,.379,.456,.835,.266
May 2,@ DET,L 3-2,4,1,0,0,0,0,1,2,1,0,0,.376,.434,.810,.253
May 4,vs TOR,W 6-2,3,1,1,0,0,0,1,1,0,0,1,.381,.430,.811,.256
May 5,vs TOR,W 5-3,4,1,1,0,0,0,1,1,0,1,0,.382,.422,.804,.256
May 6,vs TOR,L 2-1,4,0,0,0,0,0,0,0,1,0,0,.368,.404,.772,.245
May 8,vs ATL,L 1-0,1,0,0,0,0,0,0,1,0,0,0,.371,.400,.771,.242
May 9,vs ATL,L 5-2,5,1,1,0,0,0,0,0,1,0,0,.364,.390,.754,.240
May 11,@ BAL,L 9-4,4,1,2,1,0,0,0,1,0,0,0,.373,.404,.777,.250
May 12,@ BAL,L 6-3,3,0,0,0,0,0,0,0,1,0,0,.364,.393,.757,.243
May 12,@ BAL,W 10-3,3,1,1,0,0,0,0,2,1,0,0,.373,.391,.764,.245
May 13,@ BAL,L 17-1,2,0,1,0,0,0,1,2,0,2,0,.384,.393,.777,.250
May 14,@ KC,W 2-1,Did not play
May 15,@ KC,W 6-5,5,1,1,0,0,0,0,0,1,0,0,.378,.385,.763,.248
May 16,@ KC,W 5-3,5,1,2,1,0,0,0,0,0,0,0,.378,.393,.771,.254
May 17,@ LAA,W 7-1,5,1,1,0,0,1,2,0,0,0,0,.373,.409,.782,.252
May 18,@ LAA,W 8-3,5,0,0,0,0,0,0,1,1,0,0,.365,.394,.759,.242
May 19,@ LAA,W 5-3,Did not play
May 20,@ LAA,L 5-2,4,0,0,0,0,0,1,0,1,0,0,.356,.382,.738,.235
May 22,vs BOS,L 4-2,1,0,0,0,0,0,0,0,0,0,0,.354,.380,.734,.234
May 23,vs BOS,L 4-1,3,1,0,0,0,0,0,1,1,0,0,.351,.371,.722,.229
May 24,vs BOS,W 6-3,3,3,2,1,0,0,0,2,0,1,0,.364,.385,.749,.238
 ,"Previously with TB, Acquired by SEA"
May 25,vs MIN,W 2-1,Did not play
 ,"Previously with SEA, Acquired by TB"
May 25,vs BAL,L 2-0,0,0,0,0,0,0,0,0,0,0,0,.364,.385,.749,.238
 ,"Previously with TB, Acquired by SEA"
May 26,vs MIN,W 4-3,Did not play
May 27,vs MIN,W 3-1,Did not play
May 28,vs TEX,W 2-1,4,1,0,0,0,0,0,0,0,0,0,.356,.374,.730,.231
May 29,vs TEX,L 9-5,5,1,2,1,0,0,0,0,0,0,0,.357,.382,.739,.237
May 30,vs TEX,L 7-6,4,1,1,0,0,0,0,0,1,0,0,.355,.378,.733,.237
May 31,vs TEX,W 6-1,4,0,2,0,0,0,0,0,0,0,0,.358,.381,.739,.244
Jun 1,vs TB,W 4-3,1,0,0,0,0,0,0,0,0,0,0,.356,.379,.735,.242
Jun 2,vs TB,W 3-1,4,0,1,0,0,0,0,0,1,0,0,.354,.376,.730,.242
Jun 3,vs TB,W 2-1,3,0,1,0,0,0,1,0,0,0,0,.354,.375,.729,.244
Jun 5,@ HOU,W 7-1,Did not play
Jun 6,@ HOU,L 7-5,3,1,1,0,0,1,1,1,1,0,0,.356,.392,.748,.246
Jun 7,@ TB,W 5-4,3,2,1,0,0,1,1,1,1,0,0,.359,.408,.767,.247
Jun 8,@ TB,W 4-3,Did not play
Jun 9,@ TB,L 7-3,4,0,2,1,0,0,0,0,1,0,0,.362,.416,.778,.253
Jun 10,@ TB,W 5-4,3,0,1,0,0,0,0,1,1,0,0,.364,.414,.778,.254
Jun 11,vs LAA,W 5-3,2,0,0,0,0,0,0,1,1,0,0,.364,.410,.774,.251
Jun 12,vs LAA,W 6-3,Did not play
Jun 13,vs LAA,W 8-6,4,1,2,0,0,0,0,0,0,0,0,.367,.412,.779,.257
Jun 14,vs BOS,L 2-1,3,0,0,0,0,0,0,0,2,0,0,.362,.405,.767,.253
Jun 15,vs BOS,W 7-6,1,0,1,1,0,0,2,0,0,0,0,.364,.414,.778,.257
Jun 16,vs BOS,W 1-0,2,0,1,0,0,0,0,1,0,0,0,.368,.415,.783,.259
Jun 17,vs BOS,L 9-3,Did not play
Jun 19,@ NYY,L 7-2,3,0,0,0,0,0,0,0,1,0,0,.364,.408,.772,.255
Jun 20,@ NYY,L 7-5,3,0,1,0,0,0,1,0,1,0,0,.362,.407,.769,.256
Jun 21,@ NYY,L 4-3,4,0,0,0,0,0,0,0,2,0,0,.356,.399,.755,.251
Jun 22,@ BOS,L 14-10,5,2,2,1,0,0,1,0,0,0,0,.357,.404,.761,.255
Jun 23,@ BOS,W 7-2,Did not play
Jun 24,@ BOS,L 5-0,3,0,1,0,0,0,0,0,0,0,1,.356,.403,.759,.256
Jun 25,@ BAL,W 5-3,5,2,2,0,0,1,1,0,1,0,0,.357,.417,.774,.259
Jun 26,@ BAL,W 3-2,4,0,0,0,0,0,0,0,3,0,0,.352,.409,.761,.255
Jun 27,@ BAL,W 8-7,4,1,2,0,0,0,2,1,1,0,0,.355,.411,.766,.259
Jun 28,@ BAL,W 4-2,0,0,0,0,0,0,0,0,0,0,0,.355,.411,.766,.259
Jun 29,vs KC,W 4-1,4,0,0,0,0,0,0,0,1,0,0,.350,.404,.754,.254
Jun 30,vs KC,W 6-4,4,1,2,1,0,0,1,0,1,0,0,.352,.409,.761,.259
Jul 1,vs KC,W 1-0,Did not play
Jul 3,vs LAA,W 4-1,4,0,1,0,0,0,0,0,1,0,0,.350,.407,.757,.258
Jul 4,vs LAA,L 7-4,2,0,1,1,0,0,0,0,1,0,0,.351,.412,.763,.261
Jul 5,vs LAA,W 4-1,4,0,1,0,0,0,0,0,0,0,0,.350,.409,.759,.260
