DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHC,L 8-4,4,1,2,0,1,0,0,0,1,0,0,.600,1.000,1.600,.500
Mar 30,vs CHC,W 2-1,7,0,1,0,0,0,0,1,0,0,0,.385,.455,.840,.273
Mar 31,vs CHC,L 10-6,4,1,2,0,0,1,2,0,0,0,0,.444,.667,1.111,.333
Apr 1,vs CHC,W 6-0,4,1,1,0,0,0,1,0,0,0,0,.409,.579,.988,.316
Apr 2,vs BOS,L 7-3,3,0,0,0,0,0,0,1,2,0,0,.385,.500,.885,.273
Apr 3,vs BOS,L 4-2,6,0,2,0,0,0,0,0,3,0,0,.375,.464,.839,.286
Apr 5,@ PHI,L 5-0,4,0,1,0,0,0,0,0,1,0,0,.361,.438,.799,.281
Apr 7,@ PHI,L 20-1,4,1,1,0,0,0,0,0,1,0,0,.350,.417,.767,.278
Apr 8,@ PHI,W 6-3,5,0,1,0,0,0,0,0,1,0,0,.333,.390,.723,.268
Apr 9,vs NYM,L 4-2,4,0,3,1,0,0,1,0,0,0,0,.380,.444,.824,.311
Apr 10,vs NYM,L 8-6,4,2,2,0,0,0,0,1,0,0,0,.400,.449,.849,.327
Apr 11,vs NYM,L 4-1,4,0,0,0,0,0,0,0,3,0,0,.373,.415,.788,.302
Apr 13,vs PIT,W 7-2,5,1,2,0,0,0,0,0,1,0,0,.375,.414,.789,.310
Apr 14,vs PIT,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.353,.387,.740,.290
Apr 15,vs PIT,L 7-3,4,0,1,0,0,0,0,0,1,0,0,.347,.379,.726,.288
Apr 16,@ NYY,L 12-1,5,0,0,0,0,0,0,0,2,0,0,.325,.352,.677,.268
Apr 17,@ NYY,W 9-1,5,1,2,0,0,0,1,0,1,0,0,.329,.355,.684,.276
Apr 19,@ MIL,L 12-3,3,0,0,0,0,0,0,0,0,0,0,.326,.342,.668,.266
Apr 20,@ MIL,L 8-0,5,0,1,0,0,0,0,0,0,0,0,.319,.333,.652,.262
Apr 21,@ MIL,L 6-5,4,1,1,0,0,1,1,0,1,0,0,.316,.364,.680,.261
Apr 22,@ MIL,L 4-2,4,0,0,0,0,0,0,0,2,0,0,.303,.348,.651,.250
Apr 23,@ LAD,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.300,.344,.644,.247
Apr 24,@ LAD,W 3-2,4,1,1,0,0,0,0,0,2,0,0,.298,.340,.638,.247
Apr 25,@ LAD,W 8-6,6,1,0,0,0,0,0,0,2,0,0,.282,.320,.602,.233
Apr 27,vs COL,L 1-0,1,0,1,1,0,0,0,0,0,0,0,.288,.337,.625,.240
Apr 28,vs COL,W 4-1,4,1,2,0,0,1,2,0,1,0,0,.296,.370,.666,.250
Apr 29,vs COL,W 3-0,4,0,0,0,0,0,0,0,3,0,0,.286,.357,.643,.241
Apr 30,vs PHI,W 8-4,4,1,1,1,0,0,1,0,2,0,0,.285,.362,.647,.241
May 1,vs PHI,W 2-1,4,0,0,0,0,0,0,0,2,0,0,.276,.350,.626,.233
May 2,vs PHI,L 6-0,1,0,0,0,0,0,0,0,0,0,0,.273,.347,.620,.231
May 4,@ CIN,L 4-1,3,0,1,0,0,0,0,0,1,0,0,.280,.347,.627,.234
May 5,@ CIN,W 6-0,4,0,1,0,0,0,0,0,0,0,0,.279,.344,.623,.234
May 6,@ CIN,W 8-5,1,0,0,0,0,0,0,0,1,0,0,.277,.341,.618,.233
