DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ SEA,L 3-2,6.0,3,2,1,1,1,4,8,6,95,23,63,-,-,3.92
Jul 21,@ OAK,L 4-3,0.2,0,0,0,0,0,2,0,0,11,3,-,-,-,4.06
Jul 14,vs OAK,L 4-3,2.0,1,0,0,0,0,5,1,1,26,7,-,-,-,4.09
Jul 10,vs CHC,L 2-0,6.1,5,1,1,0,0,8,5,10,99,23,67,L(5-8),-,4.17
Jul 7,vs STL,L 3-2,1.0,0,0,0,0,1,0,2,1,21,4,-,-,-,4.35
Jul 5,vs STL,L 11-2,3.1,4,2,2,1,0,7,2,5,50,14,-,-,-,4.40
Jul 1,@ ARI,W 9-6,3.2,7,3,3,0,4,4,4,9,90,21,35,-,-,4.36
Jun 26,vs COL,W 3-2,6.2,6,1,1,1,2,8,8,9,93,27,64,-,-,4.24
Jun 20,vs MIA,W 6-5,6.0,7,3,3,0,2,7,8,7,100,25,51,W(5-7),-,4.48
Jun 15,@ LAD,L 3-2,5.0,5,3,2,2,2,7,3,11,105,23,52,L(4-7),-,4.48
Jun 10,@ WSH,W 2-0,5.0,3,0,0,0,2,4,5,7,95,18,63,W(4-6),-,4.54
Jun 4,vs ARI,W 10-3,4.0,4,2,2,0,1,5,3,8,82,17,50,-,-,4.91
May 30,@ COL,W 7-4,5.0,8,4,4,1,2,0,11,10,76,23,33,W(3-6),-,4.94
May 25,@ CHC,L 6-2,6.0,5,3,2,0,2,6,8,8,94,25,56,L(2-6),-,4.73
May 18,vs COL,L 6-1,6.0,6,4,4,1,1,3,8,13,112,25,46,L(2-5),-,4.94
May 13,@ PIT,W 5-0,6.1,4,0,0,0,5,7,6,9,104,27,67,W(2-4),-,4.79
May 8,@ PHI,L 4-2,5.0,6,3,3,2,2,3,5,12,79,22,44,L(1-4),-,5.66
May 2,vs SD,W 9-4,5.0,4,3,3,1,1,4,8,7,87,20,50,W(1-3),-,5.70
Apr 27,vs LAD,W 6-4,3.1,4,4,4,0,4,3,5,5,77,18,35,-,-,5.76
Apr 21,@ LAA,L 4-3,6.0,5,4,4,3,1,6,4,13,100,24,51,L(0-3),-,4.98
Apr 14,@ SD,L 5-4,4.2,6,3,3,1,2,4,5,11,86,22,42,-,-,4.60
Apr 9,vs ARI,L 2-1,6.0,2,2,2,0,1,8,6,6,83,21,67,L(0-2),-,4.09
Mar 31,@ LAD,L 5-0,5.0,3,5,3,0,3,4,4,10,80,21,46,L(0-1),-,5.40
