DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TOR,W 6-1,3,0,0,0,0,0,0,1,0,0,0,.250,.000,.250,.000
Mar 30,@ TOR,W 4-2,3,2,2,1,1,0,0,1,0,0,0,.500,.833,1.333,.333
Mar 31,@ TOR,L 5-3,4,0,1,1,0,0,0,0,0,0,0,.417,.700,1.117,.300
Apr 1,@ TOR,L 7-4,4,1,1,1,0,0,1,0,1,0,0,.375,.643,1.018,.286
Apr 3,vs TB,W 11-4,4,3,4,1,0,2,8,1,0,0,0,.524,1.111,1.635,.444
Apr 4,vs TB,W 7-2,4,0,0,0,0,0,0,0,1,0,0,.440,.909,1.349,.364
Apr 5,vs BAL,L 5-2,1,1,1,1,0,0,0,2,0,0,1,.517,.957,1.474,.391
Apr 6,vs BAL,L 7-3,5,1,2,0,0,1,1,1,0,1,0,.514,.964,1.478,.393
Apr 7,vs BAL,W 8-3,2,2,0,0,0,0,0,2,1,1,0,.513,.900,1.413,.367
Apr 8,vs BAL,L 8-7,2,0,1,1,0,0,0,1,0,0,0,.524,.906,1.430,.375
Apr 10,@ BOS,L 14-1,4,0,2,0,0,0,0,0,0,0,0,.522,.861,1.383,.389
Apr 11,@ BOS,W 10-7,3,0,0,0,0,0,2,0,0,0,0,.471,.795,1.266,.359
Apr 12,@ BOS,L 6-3,3,1,0,0,0,0,0,1,0,0,0,.455,.738,1.193,.333
Apr 13,@ DET,W 8-6,3,0,0,0,0,0,1,1,0,0,0,.433,.689,1.122,.311
Apr 16,vs MIA,W 12-1,4,3,2,0,0,2,3,1,1,0,0,.446,.796,1.242,.327
Apr 17,vs MIA,L 9-1,2,0,1,1,0,0,0,2,0,0,0,.464,.804,1.268,.333
Apr 19,vs TOR,W 4-3,4,0,1,0,0,0,1,0,0,0,0,.452,.764,1.216,.327
Apr 20,vs TOR,L 8-5,4,1,1,0,0,0,0,0,1,0,0,.442,.729,1.171,.322
Apr 21,vs TOR,W 9-1,4,1,2,0,0,0,1,1,1,0,0,.451,.714,1.165,.333
Apr 22,vs TOR,W 5-1,3,1,1,0,0,1,2,0,1,0,0,.442,.742,1.184,.333
Apr 23,vs MIN,W 14-1,5,1,1,0,0,1,4,0,1,0,0,.429,.746,1.175,.324
Apr 24,vs MIN,W 8-3,4,1,3,0,0,1,3,0,1,0,0,.442,.787,1.229,.347
Apr 25,vs MIN,W 7-4,3,1,3,0,0,1,2,2,0,0,0,.470,.833,1.303,.372
Apr 26,vs MIN,W 4-3,4,1,0,0,0,0,0,0,1,0,0,.452,.793,1.245,.354
Apr 27,@ LAA,W 4-3,5,2,3,1,0,1,1,0,1,0,0,.459,.828,1.287,.368
Apr 28,@ LAA,W 11-1,3,1,0,0,0,0,0,1,1,0,0,.451,.800,1.251,.356
Apr 29,@ LAA,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.436,.766,1.202,.340
Apr 30,@ HOU,L 2-1,4,0,0,0,0,0,0,0,3,0,0,.421,.735,1.156,.327
May 1,@ HOU,W 4-0,4,1,2,1,0,0,0,0,0,0,0,.424,.735,1.159,.333
May 2,@ HOU,W 4-0,4,1,1,0,0,0,0,0,1,0,0,.419,.717,1.136,.330
May 3,@ HOU,W 6-5,5,1,2,1,0,0,0,0,2,0,0,.418,.712,1.130,.333
May 4,vs CLE,W 7-6,5,0,0,0,0,0,0,0,0,0,0,.403,.681,1.084,.319
May 5,vs CLE,W 5-2,Did not play
May 6,vs CLE,W 7-4,3,0,0,0,0,0,0,1,0,0,0,.399,.664,1.063,.311
May 8,vs BOS,W 3-2,4,0,0,0,0,0,0,0,0,0,0,.388,.642,1.030,.301
May 9,vs BOS,W 9-6,4,0,0,0,0,0,0,1,2,0,0,.382,.622,1.004,.291
May 10,vs BOS,L 5-4,5,0,0,0,0,0,1,0,0,0,0,.369,.598,.967,.280
May 11,vs OAK,L 10-5,4,0,0,0,0,0,0,0,0,0,0,.360,.581,.941,.272
May 12,vs OAK,W 7-6,6,1,1,0,0,0,0,0,1,1,0,.353,.563,.916,.268
May 13,vs OAK,W 6-2,4,1,0,0,0,0,0,1,0,0,0,.349,.548,.897,.260
May 15,@ WSH,L 5-3,4,1,0,0,0,0,0,0,0,0,0,.341,.533,.874,.253
