DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 8,@ WSH,W 10-2,0.1,0,0,0,0,0,0,1,0,2,1,-,-,-,3.12
Jul 5,@ WSH,L 14-12,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,3.18
Jul 4,vs TB,W 3-0,2.0,1,0,0,0,0,2,3,1,24,6,-,W(4-1),-,3.24
Jul 2,vs TB,W 3-2,1.0,0,0,0,0,0,0,1,2,13,3,-,W(3-1),-,3.68
Jul 1,vs NYM,L 5-2,1.0,0,0,0,0,0,2,1,0,12,3,-,-,-,3.95
Jun 29,vs NYM,W 8-2,1.0,1,0,0,0,0,1,1,2,15,4,-,-,-,4.26
Jun 24,@ COL,W 8-5,2.2,5,3,3,1,1,1,8,4,44,14,-,W(2-1),-,4.63
Jun 18,@ SF,W 5-4,3.0,0,0,0,0,0,4,4,1,31,9,-,-,-,3.00
Jun 13,vs SF,W 5-4,0.1,0,0,0,0,0,0,0,1,1,1,-,-,-,4.50
Jun 11,vs SF,W 7-5,1.0,1,1,1,0,0,1,2,1,19,5,-,-,-,4.76
Jun 9,vs SD,L 5-4,2.0,2,1,1,0,2,1,0,7,29,10,-,L(1-1),-,3.86
Jun 6,@ STL,W 11-3,2.1,2,1,1,0,0,2,3,4,39,9,-,W(1-0),-,3.38
Jun 3,@ ARI,L 6-1,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,0.00
