DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Sep 1,@ PIT,W 7-3,1.0,3,1,1,0,0,1,3,2,26,6,-,-,-,4.45
Aug 29,vs NYM,W 14-4,1.0,0,0,0,0,1,1,0,1,17,3,-,-,-,4.36
Aug 27,vs PIT,L 5-2,1.0,0,0,0,0,0,2,1,0,20,3,-,-,-,4.44
Aug 25,vs PIT,W 9-5,1.0,1,0,0,0,0,0,1,3,11,4,-,-,-,4.53
Aug 22,vs CHC,L 13-9,1.0,0,0,0,0,0,1,0,1,16,4,-,-,-,4.62
Aug 20,@ ATL,L 8-1,0.2,6,6,6,1,2,0,3,5,29,10,-,-,-,4.71
Aug 17,@ CHC,W 13-10,1.0,1,0,0,0,1,1,0,2,16,4,-,W(4-2),-,3.67
Aug 14,@ CHC,L 15-5,0.2,4,6,3,0,1,0,2,5,29,9,-,-,-,3.75
Aug 12,@ MIL,L 6-5,1.0,1,0,0,0,1,1,1,2,22,5,-,-,-,3.23
Aug 10,vs SD,W 10-3,0.1,0,0,0,0,1,0,1,0,6,2,-,W(3-2),-,3.30
Aug 8,vs SD,L 7-3,1.0,2,2,2,1,0,2,1,2,17,5,-,-,-,3.33
Aug 6,vs STL,L 13-4,1.0,1,0,0,0,0,1,1,2,16,4,-,-,-,3.00
Aug 4,vs STL,W 3-2,1.1,1,0,0,0,0,1,2,1,13,4,-,-,H(6),3.07
Aug 1,@ PIT,W 9-1,1.0,1,0,0,0,0,0,2,1,12,3,-,-,-,3.16
Jul 28,@ MIA,L 7-4,0.2,2,1,1,1,0,0,0,4,13,4,-,-,-,3.24
Jul 27,@ MIA,L 4-1,0.2,0,0,0,0,1,0,1,1,21,3,-,-,-,3.07
Jul 25,@ NYY,L 4-2,1.0,0,0,0,0,0,2,0,1,13,3,-,-,-,3.12
Jul 21,vs MIA,L 3-1,1.0,0,0,0,0,0,1,2,0,7,3,-,-,-,3.20
Jul 20,vs ARI,L 12-2,1.0,0,0,0,0,0,2,0,1,16,3,-,-,-,3.29
Jul 16,vs WSH,L 14-4,1.0,3,3,3,2,0,2,1,3,23,6,-,-,-,3.38
Jul 14,vs WSH,L 5-0,1.0,1,0,0,0,0,2,1,1,16,4,-,-,-,2.72
Jul 7,@ ARI,L 6-3,1.0,0,0,0,0,1,0,3,0,14,4,-,-,-,2.80
Jul 3,@ COL,L 5-3,1.0,1,1,1,0,1,1,1,2,23,5,-,-,-,2.88
Jul 1,vs CHC,W 5-3,1.0,1,0,0,0,0,0,2,1,11,4,-,-,H(5),2.70
Jun 28,vs MIL,W 4-3,0.1,0,0,0,0,0,1,0,0,6,1,-,W(2-2),-,2.78
Jun 27,vs MIL,W 8-6,1.0,2,1,1,0,0,0,3,1,12,4,-,-,H(4),2.81
Jun 23,@ WSH,L 6-5,0.1,0,0,0,0,0,0,0,1,4,1,-,-,-,2.61
