DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 20,@ TOR,L 8-7,5.0,5,5,5,3,1,3,4,13,79,22,39,-,-,4.57
Jul 11,vs NYY,L 9-0,4.0,5,5,5,1,4,3,4,10,91,21,31,L(6-9),-,4.35
Jul 6,@ MIN,L 6-2,3.1,9,6,5,1,1,2,5,11,61,19,21,L(6-8),-,4.08
Jun 23,@ ATL,W 7-5,6.1,7,2,2,0,2,8,7,10,99,27,57,W(6-7),-,3.75
Jun 17,vs MIA,W 10-4,6.0,5,4,4,2,2,5,4,14,92,25,49,W(5-7),-,3.81
Jun 11,vs BOS,L 2-0,8.0,3,0,0,0,2,7,8,11,104,28,81,-,-,3.66
Jun 6,@ NYM,W 1-0,7.0,3,0,0,0,3,5,10,9,96,27,73,W(4-7),-,4.04
May 29,vs WSH,L 3-2,6.0,11,3,3,2,0,6,7,14,94,27,44,L(3-7),-,4.46
May 24,@ CHW,W 9-3,9.0,2,3,3,1,1,14,5,10,121,31,84,W(3-6),-,4.45
May 19,@ BOS,L 6-3,6.0,5,4,4,3,2,8,4,11,98,25,52,L(2-6),-,4.70
May 13,vs TB,W 17-1,7.0,2,0,0,0,4,7,7,8,100,26,76,W(2-5),-,4.53
May 8,vs KC,L 15-7,0.0,5,7,7,4,2,0,1,4,28,7,-,L(1-5),-,INF
May 2,@ LAA,L 10-7,4.1,7,7,5,3,1,4,4,13,90,22,28,L(1-4),-,3.76
Apr 26,vs TB,L 9-5,4.2,11,8,7,2,1,4,7,13,86,26,15,L(1-3),-,2.97
Apr 20,vs CLE,W 3-1,6.0,5,1,1,0,2,9,6,7,108,25,65,W(1-2),-,1.42
Apr 15,@ BOS,L 3-1,5.2,7,3,1,0,2,6,5,14,94,27,51,L(0-2),-,1.40
Apr 9,vs TOR,L 7-1,7.0,4,2,2,1,2,10,7,7,101,26,69,L(0-1),-,1.35
Apr 4,@ HOU,L 3-2,6.0,5,2,1,0,2,8,7,8,98,25,62,-,-,0.69
Mar 29,vs MIN,W 3-2,7.0,5,0,0,0,1,7,6,12,88,26,73,-,-,0.00
