DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ CLE,W 9-4,1.0,2,1,1,0,0,1,2,2,12,5,-,-,-,3.22
Jul 21,@ CIN,W 6-2,0.2,1,0,0,0,0,1,1,1,9,3,-,-,H(13),3.09
Jul 14,vs MIL,W 2-1,1.0,0,0,0,0,1,1,1,0,17,3,-,-,H(12),3.14
Jul 13,vs MIL,W 7-3,1.1,2,0,0,0,0,0,3,3,17,6,-,-,H(11),3.21
Jul 11,vs WSH,W 2-0,1.0,1,0,0,0,0,1,2,1,14,4,-,-,H(10),3.32
Jul 9,vs WSH,W 6-3,1.0,0,0,0,0,0,3,0,0,11,3,-,-,H(9),3.40
Jul 8,vs PHI,W 4-1,1.0,0,0,0,0,0,2,1,0,13,4,-,-,H(8),3.49
Jul 7,vs PHI,L 3-2,0.1,1,0,0,0,0,0,0,1,1,1,-,-,-,3.58
Jul 4,@ LAD,L 6-4,2.0,2,0,0,0,0,0,4,3,19,7,-,-,-,3.62
Jul 2,@ LAD,L 17-1,1.0,0,0,0,0,0,3,0,0,11,3,-,-,-,3.82
Jul 1,@ SD,W 7-5,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,3.93
Jun 29,@ SD,W 6-3,0.1,2,1,1,0,0,0,2,1,11,3,-,-,-,3.97
Jun 26,@ NYM,L 4-3,1.0,1,1,1,1,0,1,1,2,15,4,-,-,BlSv(3),3.74
Jun 24,vs ARI,L 3-0,1.0,1,0,0,0,0,1,1,2,18,4,-,-,-,3.58
Jun 22,vs ARI,L 2-1,1.0,2,1,0,0,0,0,4,1,16,6,-,-,-,3.69
Jun 19,vs MIL,L 3-2,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,3.82
Jun 17,vs CIN,L 8-6,1.0,3,2,2,1,0,0,2,4,13,6,-,-,-,3.94
Jun 13,@ ARI,W 5-4,1.0,0,0,0,0,0,1,1,1,15,3,-,-,H(7),3.45
Jun 11,@ ARI,L 9-5,1.0,2,2,2,1,0,2,1,2,16,5,-,-,BlSv(2),3.58
Jun 10,@ CHC,W 7-1,1.1,0,0,0,0,0,0,2,2,15,4,-,-,-,3.04
Jun 8,@ CHC,L 3-1,0.2,0,0,0,0,0,2,0,0,10,2,-,-,-,3.20
Jun 6,vs LAD,W 11-9,1.0,0,0,0,0,0,0,1,2,19,3,-,-,-,3.28
Jun 1,@ STL,W 4-0,1.0,1,0,0,0,0,0,2,2,18,4,-,-,-,3.42
May 29,vs CHC,L 8-6,0.2,4,3,3,1,0,1,0,5,15,6,-,L(2-1),BlSv(1),3.57
May 27,vs STL,L 6-4,0.2,1,0,0,0,0,0,0,3,10,3,-,-,H(6),2.45
May 26,vs STL,L 4-1,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,2.53
May 23,@ CIN,W 5-4,1.0,0,0,0,0,0,1,0,2,9,3,-,-,H(5),2.66
May 20,vs SD,L 8-5,1.0,0,0,0,0,0,0,1,2,10,3,-,-,-,2.79
May 17,vs SD,W 5-4,0.1,0,0,0,0,0,0,1,0,2,1,-,W(2-0),-,2.95
May 16,vs CHW,W 3-2,1.1,1,0,0,0,0,0,5,0,16,5,-,W(1-0),-,3.00
May 11,vs SF,W 11-2,1.0,2,0,0,0,0,1,2,2,19,5,-,-,H(4),3.24
May 8,@ CHW,W 10-6,1.2,2,0,0,0,0,1,2,3,29,6,-,-,-,3.45
May 5,@ MIL,L 5-3,1.0,0,0,0,0,0,1,2,0,16,3,-,-,-,3.86
May 4,@ MIL,W 6-4,0.2,0,0,0,0,0,0,0,2,5,2,-,-,H(3),4.15
May 3,@ WSH,L 3-1,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,4.38
Apr 29,vs STL,W 5-0,1.0,1,0,0,0,1,2,1,1,22,5,-,-,-,4.50
Apr 28,vs STL,W 6-2,1.0,0,0,0,0,0,2,1,0,10,3,-,-,-,4.91
Apr 25,vs DET,L 13-10,2.0,3,1,1,1,0,3,1,5,29,9,-,-,-,5.40
Apr 22,@ PHI,L 3-2,1.0,1,0,0,0,0,1,2,1,13,4,-,-,-,5.63
Apr 21,@ PHI,L 6-2,1.0,1,1,1,0,1,1,2,1,15,5,-,-,-,6.43
Apr 17,vs COL,L 2-0,2.0,0,0,0,0,1,1,2,3,22,7,-,-,-,6.00
Apr 10,@ CHC,W 8-5,0.2,2,2,2,0,1,1,3,0,24,5,-,-,-,9.00
Apr 6,vs CIN,W 14-3,0.2,0,0,0,0,0,0,2,0,6,2,-,-,H(2),5.40
Apr 5,vs CIN,W 5-2,1.0,0,0,0,0,0,1,1,1,7,3,-,-,-,6.75
Apr 2,vs MIN,W 5-4,0.1,2,2,2,0,0,0,1,2,13,3,-,-,-,10.80
Apr 1,@ DET,W 8-6,0.1,0,0,0,0,0,1,0,0,3,1,-,-,H(1),0.00
Mar 30,@ DET,W 13-10,1.0,0,0,0,0,0,0,3,1,16,4,-,-,-,0.00
