DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 14,vs TOR,W 6-2,5.1,4,0,0,0,0,5,8,6,67,19,65,-,-,3.44
Jul 9,vs TEX,W 5-0,5.2,3,0,0,0,3,5,8,8,105,24,65,W(11-3),-,3.62
Jul 4,@ WSH,W 3-0,6.0,3,0,0,0,1,6,6,9,84,22,71,W(10-3),-,3.84
Jun 29,@ NYY,L 8-1,6.0,7,5,5,2,2,2,6,16,95,26,38,L(9-3),-,4.11
Jun 23,vs SEA,L 7-2,4.0,7,5,4,0,2,2,7,11,86,23,30,L(9-2),-,3.86
Jun 17,@ SEA,W 9-3,6.0,6,2,2,1,1,9,7,8,113,25,60,W(9-1),-,3.59
Jun 12,@ BAL,W 6-4,5.2,8,2,2,1,2,4,8,12,109,26,47,W(8-1),-,3.64
Jun 6,vs DET,W 7-1,5.2,5,1,1,0,1,5,8,10,107,24,59,W(7-1),-,3.68
May 30,vs TOR,W 6-4,6.2,3,2,2,1,1,7,5,10,100,23,66,W(6-1),-,3.88
May 25,vs ATL,W 6-2,5.2,6,2,2,0,3,7,7,9,101,26,53,W(5-1),-,4.02
May 20,vs BAL,W 5-0,5.2,9,0,0,0,0,7,9,11,110,27,58,W(4-1),-,4.13
May 15,vs OAK,L 5-3,5.0,6,3,3,1,0,4,4,12,98,21,47,L(3-1),-,4.68
May 10,@ NYY,W 5-4,5.0,1,0,0,0,3,8,3,5,93,19,70,-,-,4.58
May 5,@ TEX,W 6-5,6.0,4,5,5,3,2,10,4,8,107,24,52,-,-,5.29
Apr 30,vs KC,W 10-6,4.0,5,5,5,0,3,6,3,7,88,21,-,-,-,4.78
Apr 25,@ TOR,W 4-3,6.2,6,3,3,1,1,3,15,9,106,28,52,W(3-0),-,3.63
Apr 19,@ LAA,W 8-2,6.0,3,2,2,1,3,5,7,9,104,24,60,W(2-0),-,3.45
Apr 13,vs BAL,W 7-3,6.0,5,1,1,0,2,8,4,10,104,24,64,W(1-0),-,3.72
Apr 8,vs TB,W 8-7,3.2,5,3,3,1,2,7,5,4,92,18,44,-,-,7.36
