DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ SEA,L 2-1,2,0,1,0,0,0,0,0,0,0,0,.667,.500,1.167,.500
Mar 31,@ SEA,W 6-5,3,1,0,0,0,0,0,1,1,0,0,.429,.200,.629,.200
Apr 1,@ SEA,L 5-4,4,2,2,0,0,2,3,0,1,0,0,.455,1.000,1.455,.333
Apr 2,@ LAA,W 6-0,4,1,1,0,0,1,1,0,1,0,0,.400,1.000,1.400,.308
Apr 3,@ LAA,L 13-2,2,0,0,0,0,0,0,0,1,0,0,.389,.867,1.256,.267
Apr 4,@ LAA,L 3-2,5,0,0,0,0,0,0,1,2,0,0,.333,.650,.983,.200
Apr 6,vs KC,W 3-2,3,0,0,0,0,0,0,1,0,0,0,.321,.565,.886,.174
Apr 7,vs KC,L 1-0,4,0,2,0,0,0,0,0,1,0,0,.344,.556,.900,.222
Apr 8,vs KC,W 3-1,4,0,0,0,0,0,0,0,2,0,0,.306,.484,.790,.194
Apr 9,vs DET,W 2-0,4,0,0,0,0,0,0,0,1,0,0,.275,.429,.704,.171
Apr 10,vs DET,W 2-1,3,0,0,0,0,0,0,0,2,0,0,.256,.395,.651,.158
Apr 11,vs DET,W 5-1,3,0,0,0,0,0,0,1,2,0,0,.255,.366,.621,.146
Apr 12,vs DET,W 9-3,3,0,0,0,0,0,0,1,1,0,0,.255,.341,.596,.136
Apr 13,vs TOR,L 8-4,4,0,1,0,0,0,0,0,1,0,0,.255,.333,.588,.146
Apr 17,@ MIN,W 6-1,4,0,0,0,0,0,0,0,1,0,0,.237,.308,.545,.135
Apr 18,@ MIN,L 2-1,7,1,2,0,0,1,1,0,2,0,0,.242,.356,.598,.153
Apr 20,@ BAL,L 3-1,3,0,0,0,0,0,1,0,1,0,0,.243,.339,.582,.145
Apr 21,@ BAL,W 4-0,3,0,0,0,0,0,0,1,2,0,0,.243,.323,.566,.138
Apr 22,@ BAL,W 7-3,5,1,1,1,0,0,0,0,2,0,0,.241,.329,.570,.143
