DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ CLE,L 4-0,0.1,1,1,1,1,0,0,1,0,6,2,-,-,-,3.16
Jul 21,@ CIN,W 6-2,1.0,1,0,0,0,0,2,0,2,15,5,-,-,-,2.98
Jul 14,vs MIL,W 6-2,0.1,0,0,0,0,0,1,0,0,3,1,-,-,Sv(23),3.05
Jul 14,vs MIL,W 2-1,1.0,1,0,0,0,0,1,2,1,14,4,-,-,Sv(22),3.07
Jul 12,vs MIL,W 6-3,0.2,1,0,0,0,0,0,2,0,8,2,-,-,Sv(21),3.15
Jul 11,vs WSH,W 2-0,1.0,0,0,0,0,0,3,0,0,15,3,-,-,Sv(20),3.20
Jul 9,vs WSH,W 6-3,1.0,2,0,0,0,0,1,1,2,20,4,-,-,Sv(19),3.29
Jul 8,vs PHI,W 4-1,1.0,0,0,0,0,0,3,0,0,15,3,-,-,Sv(18),3.38
Jul 7,vs PHI,L 3-2,1.0,1,0,0,0,2,2,2,0,25,6,-,-,-,3.47
Jul 3,@ LAD,L 8-3,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,3.57
Jul 1,@ SD,W 7-5,1.0,0,0,0,0,0,2,0,1,17,3,-,-,Sv(17),3.67
Jun 29,@ SD,W 6-3,0.2,0,0,0,0,0,2,0,0,9,2,-,-,Sv(16),3.78
Jun 27,@ NYM,W 5-3,2.0,1,0,0,0,0,2,1,4,29,7,-,W(3-2),-,3.86
Jun 25,@ NYM,W 6-4,1.0,0,0,0,0,0,3,0,0,15,3,-,-,Sv(15),4.11
Jun 22,vs ARI,L 2-1,1.0,1,0,0,0,0,1,3,1,18,5,-,-,-,4.25
Jun 18,vs MIL,W 1-0,1.0,1,0,0,0,0,2,1,1,20,4,-,-,Sv(14),4.40
Jun 15,vs CIN,W 3-2,1.0,1,0,0,0,0,2,1,1,19,4,-,-,Sv(13),4.55
Jun 13,@ ARI,W 5-4,1.0,2,2,2,0,3,2,2,1,36,8,-,-,Sv(12),4.73
Jun 10,@ CHC,W 7-1,1.0,0,0,0,0,0,1,1,1,16,3,-,-,-,4.21
Jun 6,vs LAD,W 11-9,1.1,0,0,0,0,2,2,1,1,32,6,-,-,Sv(11),4.38
Jun 5,vs LAD,L 5-0,1.0,0,0,0,0,0,2,1,0,11,3,-,-,-,4.63
May 31,@ STL,L 10-8,0.0,3,5,4,1,1,0,1,3,18,5,-,L(2-2),BlSv(4),INF
May 30,vs CHC,W 2-1,1.0,2,0,0,0,0,1,2,2,14,5,-,-,Sv(10),3.22
May 29,vs CHC,L 8-6,1.0,0,0,0,0,0,0,3,0,11,3,-,-,-,3.38
May 27,vs STL,L 6-4,0.1,1,0,0,0,2,0,1,1,16,4,-,-,BlSv(3),3.54
May 23,@ CIN,W 5-4,1.1,2,0,0,0,0,1,1,4,22,6,-,-,BlSv(2),3.60
May 20,vs SD,L 8-5,0.0,4,4,3,0,0,0,2,3,24,5,-,L(2-1),BlSv(1),INF
May 17,vs SD,W 5-4,1.0,0,0,0,0,0,3,0,0,13,3,-,-,Sv(9),2.41
May 16,vs CHW,W 3-2,1.0,1,0,0,0,0,0,2,2,9,4,-,-,Sv(8),2.55
May 12,vs SF,W 6-5,1.2,0,0,0,0,1,1,3,1,35,6,-,W(2-0),-,2.70
May 9,@ CHW,W 6-5,1.0,0,0,0,0,0,0,1,2,14,3,-,-,Sv(7),3.00
May 8,@ CHW,W 10-6,1.0,0,0,0,0,0,2,1,0,16,3,-,-,-,3.21
May 4,@ MIL,W 6-4,1.2,1,0,0,0,1,2,1,2,20,6,-,-,Sv(6),3.46
Apr 27,vs STL,W 6-5,1.0,0,0,0,0,0,1,0,2,11,3,-,-,-,3.97
Apr 26,vs DET,W 1-0,1.0,2,0,0,0,1,0,3,2,21,6,-,W(1-0),-,4.35
Apr 25,vs DET,W 8-3,1.0,1,0,0,0,0,1,0,3,13,4,-,-,-,4.82
Apr 21,@ PHI,L 6-2,0.1,3,2,1,0,0,1,2,3,22,6,-,-,-,5.40
Apr 15,@ MIA,W 7-3,1.0,0,0,0,0,0,2,1,0,12,3,-,-,-,4.50
Apr 14,@ MIA,W 1-0,1.0,0,0,0,0,0,0,1,2,16,3,-,-,Sv(5),5.14
Apr 12,@ CHC,W 6-1,1.0,1,0,0,0,0,0,0,3,8,3,-,-,-,6.00
Apr 10,@ CHC,W 8-5,1.1,1,0,0,0,1,1,1,3,24,6,-,-,Sv(4),7.20
Apr 5,vs CIN,W 5-2,1.0,1,0,0,0,0,1,2,1,10,4,-,-,Sv(3),9.82
Apr 1,@ DET,W 8-6,1.0,1,0,0,0,0,2,0,2,16,4,-,-,Sv(2),13.50
Apr 1,@ DET,W 1-0,1.0,0,0,0,0,0,3,0,0,14,3,-,-,Sv(1),21.60
Mar 30,@ DET,W 13-10,0.2,1,4,4,0,3,1,0,2,30,6,-,-,-,54.00
