DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ TOR,W 12-6,1.0,2,0,0,0,0,0,3,0,15,4,-,-,-,3.44
Jul 23,@ TOR,W 8-3,1.0,2,2,2,0,1,1,0,4,18,6,-,-,-,3.53
Jul 15,vs TB,W 11-7,0.2,0,0,0,0,0,1,1,0,13,2,-,-,-,3.12
Jul 13,vs TB,W 11-8,1.0,1,1,1,1,0,1,2,1,11,4,-,-,-,3.18
Jul 12,vs TB,W 5-1,0.2,0,0,0,0,0,1,0,1,7,2,-,-,Sv(21),3.00
Jul 9,vs KC,W 3-1,1.0,1,0,0,0,1,1,1,2,21,5,-,-,Sv(20),3.06
Jul 7,vs BAL,W 5-4,1.0,2,1,1,0,0,1,2,2,19,5,-,-,Sv(19),3.16
Jul 6,vs BAL,W 6-2,1.0,2,0,0,0,0,1,1,3,18,5,-,-,-,2.97
Jul 5,vs BAL,W 5-2,1.0,0,0,0,0,0,2,1,0,13,3,-,-,Sv(18),3.07
Jul 2,@ MIL,L 6-5,1.0,3,1,1,0,0,0,2,4,19,6,-,-,BlSv(5),3.18
Jun 28,@ CHW,W 2-1,1.0,1,1,1,0,2,2,1,1,35,7,-,-,BlSv(4),2.96
Jun 24,vs TEX,W 2-0,1.0,0,0,0,0,0,3,0,0,16,3,-,-,Sv(17),2.73
Jun 20,vs BOS,W 4-1,1.0,0,0,0,0,0,0,2,1,11,3,-,-,Sv(16),2.84
Jun 19,vs BOS,W 6-2,1.0,1,0,0,0,0,3,1,0,22,4,-,-,-,2.96
Jun 15,@ CLE,W 6-3,0.1,0,0,0,0,0,1,0,0,5,1,-,-,Sv(15),3.09
Jun 12,@ DET,W 6-4,1.0,0,0,0,0,0,2,0,1,15,3,-,-,Sv(14),3.13
Jun 10,vs LAA,W 7-5,1.0,2,2,2,0,2,0,1,4,33,7,-,-,-,3.27
Jun 5,vs CHW,W 4-2,1.0,0,0,0,0,0,1,2,0,16,3,-,-,Sv(13),2.57
Jun 3,vs CLE,W 7-5,1.0,1,0,0,0,0,1,1,2,22,4,-,W(2-2),-,2.70
Jun 1,vs CLE,W 7-4,1.0,0,0,0,0,0,0,1,2,12,3,-,-,Sv(12),2.84
May 28,@ KC,W 8-5,1.1,3,1,1,1,0,3,1,3,25,7,-,-,Sv(11),3.00
May 21,vs DET,W 4-2,1.0,0,0,0,0,0,0,0,3,12,3,-,-,Sv(10),2.70
May 20,vs MIL,W 3-1,1.0,0,0,0,0,0,3,0,0,13,3,-,-,Sv(9),2.87
May 15,vs STL,W 4-1,1.0,0,0,0,0,0,0,2,1,12,3,-,-,Sv(8),3.07
May 12,@ LAA,W 5-3,1.0,0,0,0,0,2,0,1,1,19,4,-,-,Sv(7),3.29
May 11,@ LAA,W 5-4,1.0,1,0,0,0,0,0,1,3,15,4,-,-,Sv(6),3.55
May 6,@ CHW,W 5-3,1.0,0,0,0,0,0,1,0,2,12,3,-,-,Sv(5),3.86
May 4,@ CHW,W 6-4,1.0,0,0,0,0,0,1,2,0,14,3,-,-,Sv(4),4.22
May 2,vs TOR,W 4-0,1.0,0,0,0,0,0,1,2,0,14,3,-,-,-,4.66
May 1,vs TOR,L 7-4,1.0,1,0,0,0,1,1,3,0,17,5,-,-,-,5.19
Apr 28,vs CIN,W 3-1,1.0,0,0,0,0,2,0,0,3,19,5,-,-,Sv(3),5.87
Apr 26,@ NYY,L 4-3,0.0,2,3,2,1,0,0,2,1,8,3,-,L(1-2),BlSv(3),INF
Apr 20,@ TB,L 8-7,1.0,1,1,1,0,0,3,1,0,20,5,-,-,BlSv(2),4.05
Apr 18,vs CLE,W 2-1,1.0,2,0,0,0,0,0,1,4,14,5,-,-,-,3.18
Apr 11,vs HOU,W 9-8,1.0,2,2,1,0,1,1,2,2,21,6,-,W(1-1),BlSv(1),3.86
Apr 10,vs HOU,W 4-1,1.0,1,0,0,0,0,1,1,2,19,4,-,-,Sv(2),2.45
Apr 5,vs SEA,W 4-2,1.0,0,0,0,0,1,1,1,1,15,4,-,-,Sv(1),3.38
Apr 4,@ PIT,W 7-3,1.0,2,0,0,0,0,2,2,1,25,5,-,-,-,5.40
Mar 29,@ BAL,L 3-2,0.2,2,1,1,1,0,0,1,2,7,3,-,L(0-1),-,13.50
