DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ SEA,L 2-1,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 31,@ SEA,W 6-5,5,0,1,0,0,0,0,0,1,0,0,.111,.111,.222,.111
Apr 1,@ SEA,L 5-4,4,0,1,0,0,0,0,1,1,1,0,.214,.154,.368,.154
Apr 2,@ LAA,W 6-0,4,0,1,0,0,0,0,1,1,0,0,.263,.176,.439,.176
Apr 3,@ LAA,L 13-2,3,1,0,0,0,0,0,1,3,0,0,.261,.150,.411,.150
Apr 4,@ LAA,L 3-2,6,2,2,0,0,0,0,0,1,1,0,.276,.192,.468,.192
Apr 6,vs KC,W 3-2,3,1,0,0,0,0,0,1,1,0,0,.273,.172,.445,.172
Apr 7,vs KC,L 1-0,4,0,2,1,0,0,0,0,1,1,1,.297,.242,.539,.212
Apr 8,vs KC,W 3-1,3,0,0,0,0,0,0,0,0,0,0,.275,.222,.497,.194
Apr 9,vs DET,W 2-0,4,0,0,0,0,0,0,0,2,0,0,.250,.200,.450,.175
Apr 10,vs DET,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.229,.182,.411,.159
Apr 11,vs DET,W 5-1,5,0,2,1,0,0,1,0,0,0,0,.245,.224,.469,.184
Apr 12,vs DET,W 9-3,4,3,2,1,0,1,3,0,0,0,0,.276,.321,.597,.208
Apr 13,vs TOR,L 8-4,5,2,3,2,0,0,1,0,1,0,0,.302,.379,.681,.241
Apr 17,@ MIN,W 6-1,5,1,1,0,0,1,2,0,1,0,0,.294,.413,.707,.238
Apr 18,@ MIN,L 2-1,6,0,0,0,0,0,0,1,4,0,0,.280,.377,.657,.217
Apr 20,@ BAL,L 3-1,4,0,0,0,0,0,0,1,2,1,0,.275,.356,.631,.205
Apr 21,@ BAL,W 4-0,4,0,1,0,0,0,0,0,1,0,1,.274,.351,.625,.208
Apr 22,@ BAL,W 7-3,5,1,2,0,0,0,1,0,0,0,0,.281,.354,.635,.220
Apr 23,@ BAL,W 2-1,3,0,1,0,0,0,0,1,0,0,0,.290,.353,.643,.224
Apr 24,vs CHC,L 10-3,2,0,0,0,0,0,0,1,0,0,0,.292,.345,.637,.218
Apr 25,vs CHC,W 4-1,3,2,1,0,0,1,1,1,0,0,0,.300,.378,.678,.222
Apr 26,vs SEA,L 5-4,3,1,0,0,0,0,0,1,2,1,0,.305,.366,.671,.215
Apr 27,vs SEA,W 6-5,5,1,3,1,0,1,1,0,1,0,0,.318,.418,.736,.235
Apr 28,vs SEA,L 12-4,4,0,0,0,0,0,0,0,1,0,0,.307,.402,.709,.225
Apr 29,vs SEA,L 10-4,3,0,1,0,0,0,0,2,0,0,0,.319,.400,.719,.229
Apr 30,vs TEX,W 7-5,5,2,3,0,0,0,1,0,1,0,0,.331,.409,.740,.245
May 1,vs TEX,L 8-6,6,1,2,1,0,0,0,0,0,0,0,.331,.414,.745,.250
May 2,vs TEX,W 12-4,5,3,3,0,0,1,1,0,0,0,0,.341,.446,.787,.264
May 3,vs TOR,L 13-11,6,2,3,0,0,2,4,0,1,0,0,.348,.496,.844,.276
May 3,vs TOR,W 13-4,6,1,2,1,0,0,2,0,1,0,0,.347,.496,.843,.278
May 4,@ NYY,L 7-6,5,0,2,1,0,0,0,0,3,0,0,.349,.500,.849,.283
May 5,@ NYY,L 5-2,3,1,1,0,0,1,1,1,0,0,0,.353,.518,.871,.284
May 6,@ NYY,L 7-4,4,1,1,1,0,0,1,0,0,0,0,.350,.517,.867,.283
May 8,@ MIL,L 3-2,4,1,2,1,0,1,1,0,0,0,0,.354,.544,.898,.289
May 9,@ MIL,W 6-2,5,1,2,0,0,1,1,0,2,0,0,.355,.558,.913,.292
May 11,vs KC,L 10-9,3,1,1,0,0,0,0,2,0,0,0,.362,.554,.916,.293
May 12,vs KC,W 6-2,4,4,4,2,0,2,2,0,0,0,0,.376,.615,.991,.311
May 13,vs KC,W 11-2,4,1,3,1,0,0,1,0,0,0,0,.388,.624,1.012,.321
May 14,@ DET,L 6-3,5,0,1,0,0,0,1,0,2,0,0,.383,.612,.995,.318
May 15,@ DET,L 9-8,1,1,0,0,0,0,0,4,1,0,0,.394,.608,1.002,.316
May 16,@ DET,W 6-0,4,1,1,0,0,0,1,0,1,0,0,.389,.600,.989,.314
May 18,@ HOU,L 4-1,5,0,0,0,0,0,0,0,2,0,0,.379,.583,.962,.306
May 19,@ HOU,W 5-4,4,0,1,0,0,0,0,0,0,0,0,.377,.576,.953,.304
May 20,@ HOU,L 3-1,4,0,0,0,0,0,0,0,1,0,0,.370,.564,.934,.298
May 22,@ CHC,W 10-1,4,2,2,2,0,0,0,2,1,0,0,.378,.573,.951,.302
May 23,@ CHC,W 1-0,4,0,2,0,0,0,0,0,0,0,0,.380,.571,.951,.306
May 24,vs HOU,L 8-2,4,1,1,1,0,0,0,0,0,0,0,.378,.570,.948,.305
May 25,vs HOU,L 11-2,4,0,0,0,0,0,0,1,1,0,0,.374,.559,.933,.299
May 26,vs HOU,W 8-6,5,0,0,0,0,0,0,0,2,0,0,.366,.545,.911,.292
May 27,vs HOU,W 10-9,5,1,1,0,0,0,1,1,1,0,0,.365,.537,.902,.290
May 28,vs CHW,W 9-6,4,1,3,0,0,0,1,1,1,0,0,.374,.541,.915,.298
May 29,vs CHW,W 7-3,5,0,2,0,0,0,1,0,0,1,0,.375,.538,.913,.300
May 30,vs CHW,W 9-1,Did not play
May 31,@ MIN,W 9-8,5,3,4,2,0,2,4,0,0,0,0,.383,.579,.962,.311
Jun 1,@ MIN,L 7-4,3,0,0,0,0,0,1,1,0,0,0,.381,.571,.952,.307
Jun 2,@ MIN,L 7-1,5,0,2,1,0,0,0,0,1,0,0,.381,.572,.953,.309
Jun 3,@ MIN,L 7-5,3,1,0,0,0,0,0,1,1,0,0,.379,.565,.944,.305
Jun 5,vs MIL,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.374,.556,.930,.300
Jun 6,vs MIL,W 3-1,4,1,0,0,0,0,0,1,2,0,0,.371,.547,.918,.296
Jun 8,@ DET,W 4-1,4,0,0,0,0,0,0,0,1,0,0,.365,.538,.903,.291
Jun 9,@ DET,L 4-2,5,0,0,0,0,0,0,0,2,0,0,.359,.527,.886,.285
Jun 10,@ DET,W 9-2,5,2,3,1,0,0,0,0,0,2,0,.363,.533,.896,.291
Jun 11,@ CHW,W 4-0,4,0,0,0,0,0,0,1,1,0,0,.360,.525,.885,.287
Jun 12,@ CHW,L 5-1,3,1,2,2,0,0,0,0,1,0,0,.365,.534,.899,.291
Jun 13,@ CHW,L 3-2,5,1,2,0,0,0,0,0,0,0,0,.366,.531,.897,.293
Jun 14,@ CHW,W 5-2,5,2,2,0,0,1,1,0,1,1,0,.367,.540,.907,.295
Jun 15,vs MIN,L 6-3,5,0,0,0,0,0,0,0,1,0,0,.361,.530,.891,.290
Jun 16,vs MIN,L 9-3,5,1,2,0,0,1,1,0,1,0,0,.361,.538,.899,.292
Jun 17,vs MIN,W 4-1,3,0,0,0,0,0,0,1,1,0,0,.360,.533,.893,.289
Jun 18,vs CHW,W 6-2,2,1,0,0,0,0,1,1,1,0,0,.361,.529,.890,.287
