DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ KC,W 5-4,4.2,6,3,3,0,3,6,6,8,95,24,-,-,-,4.73
Jul 15,@ HOU,W 6-3,3.0,1,1,1,0,3,3,4,2,61,12,53,-,-,4.67
Jul 9,@ TB,L 10-9,2.1,8,7,7,1,1,3,6,6,59,16,15,-,-,4.74
Jul 4,@ CHC,L 5-2,6.0,5,3,3,2,5,5,8,9,107,27,50,L(3-5),-,4.03
Jun 29,@ TOR,L 3-2,6.0,7,3,3,1,4,4,7,11,89,26,-,L(3-4),-,3.99
Jun 23,@ CLE,L 4-1,4.0,4,3,2,0,3,3,7,5,75,18,44,L(3-3),-,3.94
May 26,vs CHW,L 8-4,5.0,6,5,5,3,3,8,6,7,91,24,40,L(3-2),-,3.90
May 20,@ SEA,L 3-2,8.0,1,0,0,0,3,5,7,12,102,27,-,-,-,3.42
May 15,vs CLE,W 9-8,4.1,7,5,5,2,3,3,7,10,91,23,29,-,-,4.03
May 9,@ TEX,L 5-4,4.0,4,3,3,0,4,3,5,6,81,20,41,-,-,3.35
May 4,@ KC,L 4-2,7.0,3,1,1,0,2,5,11,5,93,23,70,-,-,2.97
Apr 28,@ BAL,W 9-5,6.1,6,3,3,0,2,1,11,11,87,25,48,W(3-1),-,3.38
Apr 22,vs KC,L 8-5,5.1,2,3,3,1,4,6,4,8,92,22,54,-,-,3.13
Apr 17,vs BAL,W 4-2,5.0,5,2,2,1,3,7,7,5,88,22,53,W(2-1),-,2.55
Apr 9,@ CLE,L 2-0,6.0,3,2,2,1,3,4,6,10,97,23,59,L(1-1),-,2.13
Apr 2,vs KC,W 6-1,6.2,4,1,1,0,2,3,8,12,94,25,63,W(1-0),-,1.35
