DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs MIL,L 2-1,4,0,2,0,0,0,1,1,1,0,1,.600,.500,1.100,.500
Mar 30,vs MIL,L 8-6,5,1,2,0,0,0,0,0,1,0,0,.500,.444,.944,.444
Mar 31,vs MIL,L 7-3,3,1,1,0,0,1,2,0,0,0,0,.462,.667,1.129,.417
Apr 2,vs COL,L 7-4,2,0,0,0,0,0,0,2,0,0,0,.471,.571,1.042,.357
Apr 3,vs COL,W 8-4,4,0,1,0,0,0,2,0,1,0,0,.429,.500,.929,.333
Apr 4,vs COL,L 5-2,3,0,0,0,0,0,0,1,1,0,0,.400,.429,.829,.286
Apr 5,vs COL,L 3-1,3,0,2,0,0,0,0,0,0,0,1,.429,.458,.887,.333
Apr 6,@ HOU,W 4-1,3,0,2,1,0,0,0,1,1,0,1,.469,.519,.988,.370
Apr 7,@ HOU,L 1-0,3,0,0,0,0,0,0,1,2,0,0,.444,.467,.911,.333
Apr 8,@ HOU,L 4-1,3,0,2,0,0,0,0,1,0,0,0,.475,.485,.960,.364
Apr 9,@ COL,W 7-6,4,1,1,0,1,0,0,0,1,0,0,.455,.514,.969,.351
Apr 10,@ COL,W 5-2,3,0,1,0,0,0,0,1,0,0,0,.458,.500,.958,.350
Apr 11,@ COL,L 6-4,4,0,0,0,0,0,0,0,3,0,0,.423,.455,.878,.318
Apr 12,vs SF,L 7-0,2,0,0,0,0,0,0,1,1,0,0,.418,.435,.853,.304
Apr 13,vs SF,W 5-1,4,1,1,0,0,0,1,0,1,0,0,.407,.420,.827,.300
Apr 14,vs SF,W 5-4,5,1,2,0,0,0,0,0,1,0,0,.406,.418,.824,.309
Apr 15,vs SF,W 10-1,2,1,1,0,0,0,1,3,0,0,0,.435,.421,.856,.316
Apr 16,vs LAD,L 10-3,4,0,0,0,0,0,0,0,1,0,0,.411,.393,.804,.295
Apr 17,vs LAD,L 7-3,6,0,1,0,0,0,0,0,3,0,0,.392,.373,.765,.284
Apr 18,vs LAD,L 13-4,4,0,0,0,0,0,0,0,2,0,0,.373,.352,.725,.268
Apr 20,@ ARI,W 4-1,4,0,0,0,0,0,0,0,1,0,0,.356,.333,.689,.253
Apr 21,@ ARI,L 6-2,4,0,1,0,0,0,0,0,1,0,0,.352,.329,.681,.253
Apr 22,@ ARI,L 4-2,3,0,0,0,0,0,0,0,2,0,0,.340,.317,.657,.244
Apr 23,@ COL,W 13-5,4,1,1,0,0,0,0,1,2,0,0,.343,.314,.657,.244
Apr 24,@ COL,L 8-0,3,0,0,0,0,0,0,0,0,0,0,.333,.303,.636,.236
Apr 25,@ COL,L 5-2,3,0,0,0,0,0,0,0,1,0,0,.324,.293,.617,.228
Apr 27,vs NYM,L 5-1,4,0,2,0,0,0,0,0,1,0,0,.330,.302,.632,.240
Apr 28,vs NYM,W 12-2,4,3,2,0,0,0,0,0,1,1,0,.342,.310,.652,.250
Apr 29,vs NYM,L 14-2,4,0,1,0,0,0,2,0,1,0,0,.339,.308,.647,.250
Apr 30,@ SF,L 6-5,5,1,1,0,0,0,0,0,1,0,0,.333,.303,.636,.248
May 1,@ SF,W 3-2,2,0,0,0,0,0,0,1,0,0,0,.333,.297,.630,.243
May 2,@ SF,L 9-4,4,0,0,0,0,0,0,0,2,0,0,.323,.287,.610,.235
May 4,vs LAD,L 4-0,3,0,0,0,0,0,0,0,1,0,0,.316,.280,.596,.229
May 5,vs LAD,W 7-4,3,0,1,1,0,0,1,0,1,0,0,.314,.289,.603,.231
May 6,vs LAD,W 3-0,4,0,2,0,0,0,0,0,0,0,0,.319,.296,.615,.240
May 7,vs WSH,L 8-5,4,0,0,0,0,0,1,0,0,0,1,.310,.287,.597,.233
May 8,vs WSH,L 4-0,3,0,0,0,0,0,0,0,0,0,0,.304,.280,.584,.227
May 9,vs WSH,W 2-1,4,0,1,0,0,0,0,0,1,1,0,.303,.279,.582,.228
May 10,vs STL,L 2-1,3,0,0,0,0,0,0,0,0,0,0,.297,.273,.570,.223
May 11,vs STL,L 9-5,2,0,0,0,0,0,0,0,0,0,0,.293,.270,.563,.220
May 12,vs STL,W 2-1,5,0,0,0,0,0,0,0,1,0,0,.284,.260,.544,.212
May 13,vs STL,W 5-3,2,1,2,1,0,0,1,1,0,0,0,.295,.277,.572,.223
May 14,vs COL,L 6-4,4,2,3,1,1,0,0,0,0,0,0,.306,.309,.615,.237
May 15,vs COL,W 4-0,3,0,0,0,0,0,0,0,0,0,0,.301,.303,.604,.232
May 17,@ PIT,L 5-4,4,1,2,1,0,0,0,0,1,0,0,.305,.314,.619,.239
May 18,@ PIT,W 3-2,4,0,1,0,0,0,0,0,1,0,0,.304,.313,.617,.239
May 19,@ PIT,W 6-2,4,0,0,0,0,0,0,0,1,0,0,.297,.305,.602,.234
May 20,@ PIT,W 8-5,4,2,2,0,0,0,1,0,0,1,0,.302,.310,.612,.240
May 21,@ WSH,L 10-2,4,0,0,0,0,0,0,0,0,0,0,.295,.303,.598,.234
May 22,@ WSH,L 2-1,3,0,0,0,0,0,0,0,0,0,0,.291,.298,.589,.230
May 23,@ WSH,W 3-1,4,1,2,2,0,0,0,0,1,0,0,.295,.313,.608,.236
May 25,@ LAD,L 4-1,3,0,1,0,0,0,0,0,1,0,0,.296,.314,.610,.238
May 26,@ LAD,W 7-5,3,1,1,0,0,1,2,1,0,0,0,.300,.330,.630,.239
May 27,@ LAD,L 6-1,3,1,1,1,0,0,0,0,2,0,0,.300,.335,.635,.241
May 28,vs MIA,L 7-2,4,0,1,1,0,0,0,0,0,0,0,.299,.338,.637,.241
May 29,vs MIA,W 9-5,4,0,0,0,0,0,0,0,1,0,0,.294,.332,.626,.236
May 30,vs MIA,W 3-2,3,1,1,1,0,0,0,1,0,0,0,.297,.337,.634,.238
May 31,vs MIA,W 8-3,4,0,0,0,0,0,0,1,3,0,0,.295,.330,.625,.233
Jun 1,vs CIN,L 7-2,3,0,1,0,1,0,2,1,1,0,0,.299,.340,.639,.234
Jun 2,vs CIN,W 8-2,4,1,1,0,0,0,0,0,0,0,0,.298,.338,.636,.235
Jun 3,vs CIN,W 6-3,4,1,1,0,0,0,0,0,0,0,0,.297,.336,.633,.235
Jun 4,vs ATL,W 11-4,4,0,1,0,0,0,1,0,1,0,0,.295,.335,.630,.235
Jun 5,vs ATL,L 14-1,3,0,1,0,0,0,0,1,0,0,0,.298,.335,.633,.237
Jun 6,vs ATL,W 3-1,2,0,0,0,0,0,1,1,0,0,0,.299,.332,.631,.235
