DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 10,vs SEA,W 9-3,2.2,4,3,3,1,1,1,4,7,42,13,-,-,-,3.66
Jul 4,@ SEA,W 7-4,5.1,4,3,2,2,1,8,6,5,80,20,57,W(5-4),-,3.42
Jun 13,@ SEA,L 8-6,2.0,4,2,2,0,0,2,3,5,35,10,42,-,-,3.42
Jun 8,@ MIN,W 4-2,5.1,6,2,2,1,3,7,4,10,105,24,52,-,-,3.26
Jun 2,vs TEX,L 3-2,7.0,1,1,0,0,1,9,9,4,101,23,-,-,-,3.25
May 27,@ NYY,L 3-1,2.1,3,3,3,0,5,3,3,4,70,15,37,L(4-4),-,3.67
May 22,@ TOR,L 5-3,5.0,6,5,1,1,2,4,5,12,92,23,45,L(4-3),-,3.31
May 16,vs HOU,L 2-0,7.0,4,2,0,1,1,4,8,13,91,26,68,L(4-2),-,3.47
May 10,vs MIN,W 7-4,5.1,5,3,3,1,0,4,12,4,94,20,50,-,-,4.08
May 4,@ SEA,W 5-0,6.2,4,0,0,0,1,8,10,4,86,23,73,W(4-1),-,3.93
Apr 28,vs NYY,L 11-1,1.2,5,9,5,0,3,2,6,4,55,15,16,L(3-1),-,4.88
Apr 21,vs SF,W 4-3,6.0,5,2,2,1,1,11,6,6,104,24,64,W(3-0),-,3.46
Apr 14,@ KC,W 5-3,5.0,1,1,1,0,3,5,5,5,73,18,63,W(2-0),-,3.60
Apr 9,@ TEX,W 8-3,4.1,4,1,1,0,5,6,8,3,94,22,52,-,-,4.20
Apr 3,vs CLE,W 13-2,5.2,1,2,2,1,4,9,6,4,102,24,64,W(1-0),-,5.06
Mar 29,@ OAK,L 6-5,5.0,7,4,4,2,3,4,8,9,89,24,38,-,-,7.20
