DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 4,vs DET,L 6-3,Did not play
Apr 6,vs DET,W 11-2,3,2,2,0,0,2,4,1,0,0,0,.750,2.667,3.417,.667
Apr 7,vs MIN,L 3-1,3,0,0,0,0,0,0,1,1,0,0,.500,1.333,1.833,.333
Apr 8,vs MIN,W 6-2,4,1,1,0,0,1,1,0,1,0,0,.417,1.200,1.617,.300
Apr 9,vs MIN,L 4-1,1,0,0,0,0,0,0,1,0,0,0,.429,1.091,1.520,.273
Apr 11,@ CLE,L 2-1,4,0,1,0,0,0,0,0,2,0,0,.389,.867,1.256,.267
Apr 12,@ CLE,W 2-1,Did not play
Apr 13,@ CLE,W 10-4,Did not play
Apr 14,@ MIN,W 2-1,Did not play
Apr 15,@ MIN,L 6-0,Did not play
Apr 16,@ MIN,W 3-1,Did not play
Apr 17,@ NYY,L 7-4,Did not play
Apr 18,@ NYY,W 4-1,Did not play
Apr 19,@ NYY,L 9-1,Did not play
Apr 21,vs CLE,L 3-0,Did not play
Apr 22,vs CLE,L 7-0,3,0,0,0,0,0,0,0,2,0,0,.333,.722,1.055,.222
Apr 23,vs CLE,W 6-2,Did not play
Apr 24,vs KC,W 12-1,4,0,0,0,0,0,0,0,1,0,0,.280,.591,.871,.182
Apr 25,vs KC,W 10-5,Did not play
Apr 26,vs KC,W 5-2,3,0,1,0,0,0,0,0,0,0,0,.286,.560,.846,.200
Apr 28,@ DET,W 7-3,4,0,1,0,0,0,2,0,1,0,0,.281,.517,.798,.207
Apr 29,@ DET,W 6-4,Did not play
Apr 30,@ DET,L 7-3,3,1,0,0,0,0,0,1,0,0,0,.278,.469,.747,.188
May 1,@ KC,L 6-1,Did not play
May 2,@ KC,W 6-0,3,1,2,0,0,0,2,0,0,0,0,.300,.486,.786,.229
May 3,@ KC,L 6-1,Did not play
May 4,@ KC,W 8-3,3,0,0,0,0,0,0,0,1,0,0,.295,.447,.742,.211
May 5,@ BAL,L 4-2,Did not play
May 6,@ BAL,L 6-5,Did not play
