DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ BAL,L 7-6,2.1,1,0,0,0,1,0,2,5,25,8,-,-,-,2.50
Jul 21,@ DET,L 5-0,1.0,0,0,0,0,0,1,1,1,14,3,-,-,-,2.61
Jul 13,vs TOR,L 13-7,2.0,1,0,0,0,2,3,4,0,40,9,-,-,-,2.66
Jul 10,vs TEX,W 8-4,3.0,2,1,1,1,2,2,5,4,49,13,51,-,-,2.77
Jul 7,@ KC,W 15-4,1.0,0,0,0,0,0,0,2,1,12,3,-,-,-,2.76
Jul 6,@ KC,W 10-5,1.0,2,1,1,0,0,0,4,1,23,5,-,-,-,2.82
Jul 1,@ NYY,L 11-1,1.0,3,2,2,1,1,0,1,4,24,6,-,-,-,2.68
Jun 30,@ NYY,W 11-0,1.0,1,0,0,0,0,0,4,0,16,4,-,-,-,2.32
Jun 28,vs LAA,W 4-2,2.0,1,0,0,0,0,3,4,0,41,8,-,W(6-0),-,2.38
Jun 23,vs SEA,L 7-2,3.0,6,2,2,0,0,1,7,7,52,15,-,-,-,2.50
Jun 21,@ MIN,W 9-2,2.0,3,2,2,0,0,0,4,4,27,8,-,-,-,2.21
Jun 19,@ MIN,L 6-2,0.2,0,0,0,0,0,0,0,1,5,1,-,-,-,1.82
Jun 17,@ SEA,W 9-3,1.1,1,0,0,0,0,0,4,1,10,5,-,-,-,1.85
Jun 12,@ BAL,W 6-4,1.0,2,0,0,0,1,2,1,2,28,6,-,-,-,1.93
Jun 7,vs DET,L 7-2,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,1.99
Jun 5,vs DET,W 6-0,1.0,1,0,0,0,0,0,2,2,19,4,-,-,-,2.05
May 29,vs TOR,W 8-3,0.1,3,0,0,0,0,0,2,2,11,4,-,-,-,2.12
May 27,vs ATL,L 7-1,2.0,3,1,1,0,2,2,3,4,38,11,-,-,-,2.15
May 26,vs ATL,W 8-6,0.2,2,0,0,0,0,0,0,4,11,4,-,-,-,1.98
May 24,@ TB,L 6-3,1.0,0,0,0,0,1,0,1,1,15,3,-,-,-,2.03
May 13,@ TOR,W 5-3,2.0,2,0,0,0,0,2,1,4,30,7,-,W(5-0),-,2.10
May 12,@ TOR,W 5-2,1.0,1,0,0,0,0,0,3,0,6,3,-,-,H(1),2.28
May 3,@ TEX,L 11-5,0.2,1,1,1,1,1,1,2,1,18,5,-,-,-,2.38
Apr 30,vs KC,W 10-6,2.0,1,0,0,0,0,3,2,2,24,7,-,W(4-0),-,2.05
Apr 27,vs TB,L 4-3,3.1,4,0,0,0,1,0,6,7,53,15,-,-,-,2.25
Apr 20,@ OAK,W 7-3,3.0,4,0,0,0,0,1,4,7,47,13,-,W(3-0),-,2.70
Apr 14,vs BAL,W 10-3,5.0,6,2,2,1,1,5,3,12,86,21,51,W(2-0),-,3.29
Apr 8,vs TB,W 8-7,2.0,3,2,2,0,1,1,6,2,37,10,-,-,-,3.12
Apr 5,vs TB,W 3-2,1.0,0,0,0,0,0,0,2,1,9,3,-,-,-,1.35
Apr 1,@ TB,W 2-1,5.2,5,1,1,1,1,5,6,11,79,23,59,W(1-0),-,1.59
