DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 10,vs LAA,L 11-1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 11,vs LAA,L 7-2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 13,@ HOU,L 3-2,4,0,1,0,0,0,0,0,2,0,0,.200,.200,.400,.200
Apr 14,@ HOU,W 6-5,4,1,1,0,0,1,1,0,1,0,0,.222,.556,.778,.222
Apr 15,@ HOU,W 3-1,4,0,0,0,0,0,0,0,2,0,0,.154,.385,.539,.154
Apr 16,@ TB,L 8-4,4,0,0,0,0,0,0,0,3,0,0,.118,.294,.412,.118
Apr 17,@ TB,W 7-2,5,0,4,1,0,0,0,0,0,0,0,.273,.455,.728,.273
Apr 18,@ TB,L 4-2,4,0,1,0,0,0,0,0,1,0,0,.269,.423,.692,.269
Apr 20,vs SEA,L 6-2,4,0,1,0,0,0,0,0,1,0,0,.267,.400,.667,.267
Apr 21,vs SEA,L 9-7,4,2,2,0,0,0,1,2,0,1,0,.333,.412,.745,.294
Apr 22,vs SEA,W 7-4,4,0,1,0,0,0,2,0,0,0,0,.325,.395,.720,.289
Apr 23,vs OAK,L 9-4,3,1,1,1,0,0,0,0,1,0,0,.326,.415,.741,.293
Apr 24,vs OAK,L 3-2,3,0,0,0,0,0,0,0,1,0,0,.304,.386,.690,.273
Apr 25,vs OAK,W 4-2,3,1,1,0,0,0,1,1,0,1,0,.320,.383,.703,.277
Apr 27,@ TOR,W 6-4,3,0,1,0,0,0,0,0,1,0,1,.321,.380,.701,.280
Apr 28,@ TOR,W 7-4,5,0,1,0,0,0,0,0,2,0,0,.310,.364,.674,.273
Apr 29,@ TOR,L 7-2,4,0,1,1,0,0,1,0,0,0,0,.306,.373,.679,.271
Apr 30,@ CLE,L 7-5,3,0,0,0,0,0,0,1,2,0,0,.303,.355,.658,.258
May 1,@ CLE,W 8-6,6,1,4,1,0,1,1,0,0,0,0,.333,.441,.774,.294
May 2,@ CLE,L 12-4,4,0,0,0,0,0,0,0,0,0,0,.316,.417,.733,.278
May 3,vs BOS,W 11-5,4,1,1,0,0,0,1,1,0,0,0,.321,.408,.729,.276
May 4,vs BOS,L 5-1,3,0,0,0,0,0,0,0,0,0,0,.310,.392,.702,.266
May 5,vs BOS,L 6-5,4,0,0,0,0,0,0,0,0,0,0,.295,.373,.668,.253
May 6,vs BOS,L 6-1,3,0,0,0,0,0,0,1,1,0,0,.293,.360,.653,.244
May 7,vs DET,W 7-6,4,1,1,1,0,0,2,0,0,0,0,.292,.367,.659,.244
May 8,vs DET,L 7-4,4,0,1,0,0,0,0,0,1,0,0,.290,.362,.652,.245
May 9,vs DET,W 5-4,4,1,2,0,1,0,1,0,0,0,0,.298,.388,.686,.255
May 11,@ HOU,W 1-0,Did not play
May 12,@ HOU,L 6-1,Did not play
May 13,@ HOU,L 6-1,4,0,0,0,0,0,0,0,1,0,0,.287,.373,.660,.245
May 15,@ SEA,L 9-8,4,3,1,1,0,0,0,1,1,0,0,.292,.377,.669,.245
May 16,@ SEA,W 5-1,3,2,2,0,0,0,0,1,0,0,0,.308,.385,.693,.257
May 17,@ CHW,L 4-2,2,0,1,0,0,0,0,1,0,0,0,.322,.387,.709,.261
May 18,@ CHW,W 12-5,3,1,0,0,0,0,1,0,0,0,0,.312,.377,.689,.254
May 19,@ CHW,L 5-3,2,0,0,0,0,0,0,0,1,0,0,.318,.371,.689,.250
May 20,@ CHW,L 3-0,Did not play
May 21,vs NYY,L 10-5,4,0,0,0,0,0,0,0,0,1,0,.308,.358,.666,.242
May 22,vs NYY,W 6-4,3,1,2,0,0,0,0,2,0,0,0,.326,.366,.692,.252
May 23,vs NYY,W 12-10,4,2,2,0,1,0,3,1,0,1,0,.336,.386,.722,.260
May 24,vs KC,L 8-2,3,0,1,1,0,0,1,1,0,0,1,.340,.392,.732,.262
May 25,vs KC,W 8-4,5,1,1,0,0,0,0,0,0,0,0,.336,.385,.721,.259
May 26,vs KC,W 4-3,4,0,1,0,0,0,1,0,1,0,0,.333,.381,.714,.259
May 27,vs KC,L 5-3,4,0,1,0,0,0,0,0,1,0,0,.331,.378,.709,.259
May 28,@ SEA,L 2-1,3,0,0,0,0,0,0,1,1,0,0,.329,.370,.699,.253
May 29,@ SEA,W 9-5,4,2,2,0,0,0,0,1,0,0,0,.337,.373,.710,.260
May 30,@ SEA,W 7-6,4,0,0,0,0,0,0,0,0,0,0,.329,.364,.693,.253
May 31,@ SEA,L 6-1,4,0,1,0,0,0,0,0,0,0,0,.328,.361,.689,.253
Jun 1,@ LAA,L 6-0,4,0,0,0,0,0,0,0,0,0,0,.320,.352,.672,.247
Jun 2,@ LAA,W 3-2,Did not play
Jun 3,@ LAA,L 3-1,4,0,1,0,0,0,0,1,2,0,0,.323,.349,.672,.247
Jun 5,vs OAK,W 7-4,3,0,0,0,0,0,0,1,0,0,0,.321,.343,.664,.243
Jun 6,vs OAK,W 8-2,3,1,1,0,0,0,0,1,0,1,0,.325,.343,.668,.244
Jun 7,vs HOU,L 5-2,4,1,1,1,0,0,0,0,1,0,0,.323,.347,.670,.244
Jun 8,vs HOU,L 7-3,Did not play
Jun 9,vs HOU,L 4-3,4,0,0,0,0,0,0,0,3,0,0,.320,.339,.659,.239
Jun 10,vs HOU,L 8-7,5,2,2,1,0,0,0,0,2,0,0,.322,.346,.668,.243
Jun 12,@ LAD,L 12-5,0,1,0,0,0,0,0,0,0,0,0,.322,.346,.668,.243
Jun 13,@ LAD,L 3-2,0,0,0,0,0,0,0,0,0,0,0,.322,.346,.668,.243
Jun 15,vs COL,L 9-5,4,1,1,0,0,0,1,0,1,0,0,.321,.344,.665,.243
Jun 16,vs COL,W 5-2,4,1,1,1,0,0,1,0,1,0,0,.319,.347,.666,.244
Jun 17,vs COL,W 13-12,4,1,1,0,0,0,1,1,1,0,1,.321,.345,.666,.244
Jun 18,@ KC,W 6-3,Did not play
Jun 19,@ KC,W 4-1,3,1,3,2,0,0,1,1,0,0,1,.333,.365,.698,.255
Jun 20,@ KC,W 3-2,4,0,1,0,0,0,0,0,1,0,0,.332,.363,.695,.255
Jun 22,@ MIN,W 8-1,Did not play
Jun 23,@ MIN,W 9-6,Did not play
Jun 24,@ MIN,L 2-0,3,0,0,0,0,0,0,0,2,0,0,.328,.357,.685,.251
Jun 25,vs SD,W 7-4,Did not play
Jun 26,vs SD,L 3-2,Did not play
Jun 27,vs SD,W 5-2,4,0,1,0,0,0,1,0,0,0,0,.326,.355,.681,.251
Jun 29,vs CHW,W 11-3,Did not play
Jun 30,vs CHW,W 13-4,Did not play
Jul 1,vs CHW,L 10-5,5,0,1,0,0,0,1,0,2,1,0,.324,.352,.676,.250
Jul 3,vs HOU,L 5-3,Did not play
Jul 4,vs HOU,L 5-4,Did not play
Jul 5,@ DET,W 7-5,4,1,2,0,0,0,1,0,1,1,0,.327,.355,.682,.255
Jul 6,@ DET,L 3-1,Did not play
Jul 7,@ DET,L 7-2,0,0,0,0,0,0,0,0,0,0,0,.327,.355,.682,.255
Jul 8,@ DET,W 3-0,4,1,1,0,0,0,0,0,0,0,0,.325,.353,.678,.254
Jul 9,@ BOS,L 5-0,3,0,0,0,0,0,0,1,1,0,0,.324,.348,.672,.251
Jul 10,@ BOS,L 8-4,4,1,1,1,0,0,0,0,0,0,0,.323,.351,.674,.251
Jul 11,@ BOS,L 4-2,Did not play
Jul 13,@ BAL,W 5-4,Did not play
Jul 14,@ BAL,L 1-0,0,0,0,0,0,0,0,0,0,0,0,.323,.351,.674,.251
Jul 15,@ BAL,L 6-5,4,0,1,0,0,0,0,0,1,0,0,.322,.349,.671,.251
Jul 20,vs CLE,L 9-8,0,0,0,0,0,0,0,0,0,0,0,.322,.349,.671,.251
Jul 21,vs CLE,L 16-3,1,0,0,0,0,0,0,0,0,0,0,.321,.347,.668,.250
Jul 22,vs CLE,W 5-0,4,0,1,0,0,0,0,0,1,0,0,.320,.346,.666,.250
Jul 23,vs OAK,L 15-3,1,0,1,0,0,0,0,0,0,0,0,.322,.349,.671,.253
Jul 24,vs OAK,L 13-10,5,1,1,1,0,0,0,0,1,0,0,.320,.350,.670,.252
