DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
May 6,@ SEA,W 8-2,4,1,1,0,0,0,0,1,2,0,0,.400,.250,.650,.250
May 8,@ COL,L 4-2,2,0,0,0,0,0,0,0,1,0,0,.286,.167,.453,.167
May 9,@ COL,W 8-0,3,0,1,0,0,0,0,0,1,0,0,.300,.222,.522,.222
Jun 11,@ SEA,L 5-3,3,0,0,0,0,0,0,1,3,0,0,.286,.167,.453,.167
Jun 12,@ SEA,L 6-3,4,0,0,0,0,0,0,0,2,0,0,.222,.125,.347,.125
Jun 13,@ SEA,L 8-6,0,0,0,0,0,0,0,0,0,0,0,.222,.125,.347,.125
Jun 15,@ OAK,W 8-4,Did not play
Jun 16,@ OAK,L 6-4,2,0,0,0,0,0,0,1,0,0,1,.238,.111,.349,.111
Jun 17,@ OAK,L 6-5,Did not play
Jul 4,@ SEA,W 7-4,Did not play
Jul 13,@ LAD,L 3-2,0,0,0,0,0,0,0,0,0,0,0,.238,.111,.349,.111
Jul 14,@ LAD,W 5-4,Did not play
Jul 15,@ LAD,L 5-3,1,0,0,0,0,0,0,0,1,0,0,.227,.105,.332,.105
Jul 20,vs HOU,L 3-1,2,0,0,0,0,0,1,0,2,0,0,.200,.095,.295,.095
Jul 21,vs HOU,L 7-0,1,0,0,0,0,0,0,0,1,0,0,.192,.091,.283,.091
Jul 22,vs HOU,W 14-5,0,0,0,0,0,0,0,0,0,0,0,.192,.091,.283,.091
Jul 23,vs CHW,L 5-3,Did not play
Jul 24,vs CHW,L 4-2,Did not play
