DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 7,vs BAL,W 8-3,3,0,1,0,0,0,0,1,1,0,1,.500,.333,.833,.333
Apr 8,vs BAL,L 8-7,6,0,2,0,0,0,0,0,1,0,0,.400,.333,.733,.333
Apr 16,vs MIA,W 12-1,1,0,0,0,0,0,0,0,1,0,0,.364,.300,.664,.300
Apr 17,vs MIA,L 9-1,Did not play
Apr 19,vs TOR,W 4-3,Did not play
Apr 20,vs TOR,L 8-5,Did not play
Apr 21,vs TOR,W 9-1,Did not play
 ,"Previously with NYY, Acquired by BAL"
Apr 25,vs TB,L 8-4,3,0,1,1,0,0,2,0,1,0,0,.357,.385,.742,.308
Apr 26,vs TB,L 9-5,3,0,0,0,0,0,0,1,1,1,0,.368,.313,.681,.250
Apr 27,vs DET,W 6-0,4,1,2,1,0,0,1,0,0,1,0,.391,.400,.791,.300
Apr 28,vs DET,L 9-5,4,0,0,0,0,0,1,1,2,0,0,.357,.333,.690,.250
Apr 29,vs DET,W 5-3,4,0,0,0,0,0,0,1,2,1,0,.333,.286,.619,.214
May 1,@ LAA,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.297,.250,.547,.188
May 2,@ LAA,L 10-7,1,1,1,0,1,0,3,0,0,0,0,.316,.333,.649,.212
May 3,@ LAA,L 12-3,3,0,1,0,0,0,0,1,1,0,0,.333,.333,.666,.222
May 4,@ OAK,L 6-4,4,0,0,0,0,0,0,0,1,0,0,.304,.300,.604,.200
May 5,@ OAK,L 2-0,5,0,1,0,0,0,0,0,3,1,0,.294,.289,.583,.200
May 6,@ OAK,L 2-1,4,0,1,0,0,0,0,0,1,0,0,.291,.286,.577,.204
May 8,vs KC,L 15-7,0,1,0,0,0,0,0,1,0,0,0,.304,.286,.590,.204
May 9,vs KC,W 5-3,Did not play
May 10,vs KC,W 11-6,4,1,1,0,0,0,0,0,0,0,0,.300,.283,.583,.208
May 11,vs TB,W 9-4,2,1,0,0,0,0,0,1,1,0,0,.302,.273,.575,.200
May 12,vs TB,W 6-3,2,0,0,0,0,0,0,1,1,1,0,.303,.263,.566,.193
May 12,vs TB,L 10-3,2,0,0,0,0,0,0,1,1,0,0,.304,.254,.558,.186
May 13,vs TB,W 17-1,0,1,0,0,0,0,0,2,0,0,0,.324,.254,.578,.186
May 16,vs PHI,L 4-1,3,0,1,1,0,0,0,0,2,0,0,.324,.274,.598,.194
May 17,@ BOS,L 6-2,Did not play
May 18,@ BOS,W 7-4,0,0,0,0,0,0,0,0,0,0,0,.324,.274,.598,.194
May 19,@ BOS,L 6-3,3,0,0,0,0,0,0,1,1,0,0,.321,.262,.583,.185
May 20,@ BOS,L 5-0,1,0,1,1,0,0,0,0,0,0,0,.329,.288,.617,.197
May 21,@ CHW,W 3-2,0,0,0,0,0,0,0,0,0,0,0,.329,.288,.617,.197
May 22,@ CHW,L 3-2,4,0,0,0,0,0,1,0,1,0,0,.313,.271,.584,.186
May 23,@ CHW,L 11-1,3,0,1,0,0,0,1,0,0,0,0,.314,.274,.588,.192
May 24,@ CHW,W 9-3,5,0,0,0,0,0,0,0,1,0,0,.297,.256,.553,.179
May 25,@ TB,W 2-0,Did not play
May 26,@ TB,L 5-1,Did not play
May 27,@ TB,L 8-3,3,0,1,1,0,0,0,1,1,0,0,.305,.272,.577,.185
May 28,vs WSH,L 6-0,Did not play
May 29,vs WSH,L 3-2,2,0,1,0,0,0,0,0,0,0,0,.316,.277,.593,.193
May 30,vs WSH,L 2-0,3,0,0,0,0,0,0,0,2,0,0,.307,.267,.574,.186
Jun 1,vs NYY,L 4-1,4,0,0,0,0,0,0,0,2,0,0,.295,.256,.551,.178
Jun 2,vs NYY,L 8-5,Did not play
Jun 5,@ NYM,W 2-1,Did not play
Jun 6,@ NYM,W 1-0,0,0,0,0,0,0,0,0,0,0,0,.295,.256,.551,.178
Jun 7,@ TOR,L 5-4,Did not play
Jun 8,@ TOR,L 5-1,Did not play
Jun 9,@ TOR,L 4-3,4,0,1,0,0,0,0,2,1,0,0,.306,.255,.561,.181
Jun 10,@ TOR,L 13-3,3,0,0,0,0,0,1,1,1,1,0,.304,.247,.551,.175
Jun 11,vs BOS,L 2-0,4,0,1,0,0,0,0,1,2,1,0,.308,.248,.556,.178
Jun 12,vs BOS,L 6-4,Did not play
Jun 13,vs BOS,L 5-1,2,0,1,1,0,0,1,1,0,1,0,.315,.262,.577,.184
Jun 15,vs MIA,L 2-0,Did not play
Jun 16,vs MIA,L 5-4,0,0,0,0,0,0,0,0,0,0,0,.315,.262,.577,.184
Jun 17,vs MIA,W 10-4,4,1,2,1,0,1,4,0,0,0,0,.320,.308,.628,.196
Jun 19,@ WSH,L 9-7,3,1,1,0,0,1,2,1,0,0,0,.326,.336,.662,.200
Jun 20,@ WSH,W 3-0,1,0,0,0,0,0,0,0,0,0,0,.323,.333,.656,.198
Jun 21,@ WSH,L 4-2,4,0,2,1,0,0,0,0,1,0,0,.328,.348,.676,.209
Jun 22,@ ATL,W 10-7,3,1,0,0,0,0,0,0,1,0,0,.321,.339,.660,.203
Jun 23,@ ATL,W 7-5,Did not play
Jun 24,@ ATL,L 7-3,1,0,0,0,0,0,0,0,0,0,0,.319,.336,.655,.202
Jun 25,vs SEA,L 5-3,Did not play
Jun 26,vs SEA,L 3-2,0,0,0,0,0,0,0,0,0,0,0,.319,.336,.655,.202
Jun 27,vs SEA,L 8-7,1,0,0,0,0,0,0,0,0,0,0,.317,.333,.650,.200
Jun 28,vs SEA,L 4-2,Did not play
Jun 29,vs LAA,L 7-1,Did not play
Jun 30,vs LAA,L 6-2,Did not play
Jul 1,vs LAA,W 8-2,3,0,0,0,0,0,0,0,2,0,0,.310,.325,.635,.195
Jul 3,@ PHI,L 3-2,1,0,0,0,0,0,0,0,1,0,0,.308,.323,.631,.194
Jul 4,@ PHI,L 4-1,Did not play
Jul 5,@ MIN,L 5-2,Did not play
Jul 6,@ MIN,L 6-2,Did not play
Jul 7,@ MIN,L 5-4,3,0,1,1,0,0,1,1,1,0,0,.313,.331,.644,.197
Jul 8,@ MIN,L 10-1,1,0,0,0,0,0,0,0,0,0,0,.311,.328,.639,.195
Jul 9,vs NYY,W 5-4,0,0,0,0,0,0,0,0,0,0,0,.311,.328,.639,.195
Jul 9,vs NYY,L 10-2,2,0,0,0,0,0,0,1,0,0,1,.312,.323,.635,.192
Jul 10,vs NYY,W 6-5,Did not play
Jul 11,vs NYY,L 9-0,0,0,0,0,0,0,0,0,0,0,0,.312,.323,.635,.192
Jul 12,vs PHI,L 5-4,2,1,1,0,0,1,1,1,0,0,0,.318,.348,.666,.197
Jul 13,vs TEX,L 5-4,0,0,0,0,0,0,0,0,0,1,0,.318,.348,.666,.197
Jul 14,vs TEX,W 1-0,0,0,0,0,0,0,0,0,0,0,0,.318,.348,.666,.197
Jul 15,vs TEX,W 6-5,2,0,0,0,0,0,0,0,0,0,0,.314,.343,.657,.194
Jul 20,@ TOR,L 8-7,Did not play
Jul 21,@ TOR,L 4-1,Did not play
Jul 22,@ TOR,L 5-4,4,0,1,0,0,0,1,0,1,0,0,.313,.341,.654,.196
Jul 23,vs BOS,L 5-3,3,0,1,0,0,0,0,1,1,0,0,.317,.340,.657,.199
Jul 24,vs BOS,W 7-6,0,0,0,0,0,0,0,0,0,0,1,.317,.340,.657,.199
