DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ CIN,L 7-3,5.0,4,3,3,2,2,8,3,3,81,19,53,L(4-5),-,3.28
Jul 20,@ CHC,W 18-5,5.0,2,1,1,1,4,9,3,4,110,22,64,W(4-4),-,3.15
Jul 14,vs CIN,L 8-2,5.0,2,0,0,0,3,5,7,5,69,20,65,-,-,3.24
Jul 8,@ SF,L 13-8,2.1,5,3,3,0,2,2,3,7,69,14,-,-,-,3.47
Jul 3,@ ARI,L 4-2,6.0,4,4,4,1,1,7,8,7,103,24,54,L(3-4),-,3.19
Jun 27,vs CLE,L 5-1,4.0,6,4,4,2,2,5,6,7,75,20,37,L(3-3),-,2.92
Jun 22,@ MIL,L 2-1,7.0,1,1,1,1,2,13,4,5,110,25,82,-,-,2.50
Jun 17,vs CHC,W 5-0,5.0,2,0,0,0,3,7,6,4,97,22,67,-,-,2.66
Jun 11,vs SD,W 5-2,6.1,3,1,1,1,1,6,6,10,98,23,68,W(3-2),-,2.96
Jun 6,vs MIA,L 11-3,5.0,8,6,4,1,1,6,9,9,92,26,36,L(2-2),-,3.20
May 31,vs PIT,W 10-8,5.0,7,4,3,1,0,5,5,12,102,23,44,-,-,2.62
May 26,@ PIT,W 4-1,6.0,4,1,1,1,2,4,11,6,88,23,62,W(2-1),-,2.15
May 20,vs PHI,W 5-1,7.2,2,1,1,1,1,13,3,9,120,26,83,W(1-1),-,2.31
May 15,@ MIN,L 4-1,5.2,5,1,1,0,1,3,6,12,98,22,57,-,-,2.87
Apr 28,@ PIT,L 6-2,5.0,4,3,3,1,4,2,7,7,82,20,45,L(0-1),-,3.60
Apr 3,@ MIL,L 5-4,5.0,6,1,1,0,1,9,5,6,91,21,59,-,-,1.80
