DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Jun 10,@ CHC,W 7-1,Did not play
Jun 11,@ ARI,L 9-5,Did not play
Jun 12,@ ARI,L 13-8,Did not play
Jun 13,@ ARI,W 5-4,Did not play
Jun 15,vs CIN,W 3-2,Did not play
Jun 16,vs CIN,W 6-2,Did not play
Jun 17,vs CIN,L 8-6,Did not play
Jun 22,vs ARI,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Jun 23,vs ARI,L 7-2,2,1,1,0,0,0,0,0,0,0,0,.333,.333,.666,.333
Jun 24,vs ARI,L 3-0,Did not play
Jun 25,@ NYM,W 6-4,Did not play
Jun 26,@ NYM,L 4-3,Did not play
Jun 27,@ NYM,W 5-3,Did not play
Jun 29,@ SD,W 6-3,Did not play
Jun 30,@ SD,L 4-3,Did not play
Jul 1,@ SD,W 7-5,Did not play
Jul 2,@ LAD,L 17-1,2,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,.200
Jul 3,@ LAD,L 8-3,Did not play
Jul 4,@ LAD,L 6-4,Did not play
Jul 6,vs PHI,L 17-5,1,0,0,0,0,0,0,1,1,0,0,.286,.167,.453,.167
Jul 7,vs PHI,L 3-2,Did not play
Jul 14,vs MIL,W 2-1,Did not play
Jul 14,vs MIL,W 6-2,4,0,0,0,0,0,0,0,2,0,0,.182,.100,.282,.100
Jul 15,vs MIL,W 7-6,Did not play
Jul 20,@ CIN,W 12-1,Did not play
Jul 21,@ CIN,W 6-2,Did not play
Jul 22,@ CIN,W 9-2,Did not play
Jul 23,@ CLE,W 7-0,Did not play
Jul 24,@ CLE,W 9-4,Did not play
Jul 25,@ CLE,L 4-0,3,0,1,0,0,0,0,0,1,0,0,.214,.154,.368,.154
