DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
May 19,vs MIL,L 5-4,3,2,1,0,0,1,2,0,1,1,0,.333,1.333,1.666,.333
May 20,vs MIL,W 3-1,2,0,0,0,0,0,0,0,1,0,0,.200,.800,1.000,.200
May 21,vs DET,W 4-2,Did not play
May 22,vs DET,W 6-0,Did not play
May 23,vs DET,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.111,.444,.555,.111
Jun 9,vs LAA,L 2-1,1,0,0,0,0,0,0,0,1,0,0,.100,.400,.500,.100
Jun 10,vs LAA,W 7-5,4,2,3,1,0,1,3,0,1,0,0,.286,.786,1.072,.286
Jun 12,@ DET,W 6-4,1,0,0,0,0,0,0,0,0,0,0,.267,.733,1.000,.267
Jun 13,@ DET,L 5-2,Did not play
Jun 14,@ DET,L 3-1,4,0,0,0,0,0,0,0,0,0,0,.211,.579,.790,.211
Jun 26,@ CHW,L 8-4,3,1,1,0,0,0,0,0,1,0,0,.227,.545,.772,.227
Jun 27,@ CHW,L 6-1,3,0,0,0,0,0,0,1,0,0,0,.231,.480,.711,.200
Jun 28,@ CHW,W 2-1,5,0,1,0,0,0,0,1,2,0,0,.250,.433,.683,.200
Jun 29,@ CHC,L 10-6,1,0,0,0,0,0,0,0,1,0,0,.242,.419,.661,.194
Jun 30,@ CHC,L 14-9,3,1,1,0,0,0,0,0,1,0,0,.250,.412,.662,.206
Jul 1,@ CHC,L 11-10,5,1,3,1,0,1,2,0,0,0,0,.293,.538,.831,.256
Jul 2,@ MIL,L 6-5,0,0,0,0,0,0,0,0,0,0,0,.293,.538,.831,.256
Jul 3,@ MIL,L 2-0,4,0,0,0,0,0,0,0,4,0,0,.267,.488,.755,.233
Jul 4,@ MIL,L 3-2,3,0,0,0,0,0,0,0,1,0,0,.250,.457,.707,.217
Jul 5,vs BAL,W 5-2,3,1,3,2,0,0,1,1,0,0,0,.308,.531,.839,.265
Jul 6,vs BAL,W 6-2,4,1,1,0,0,0,0,0,1,0,0,.304,.509,.813,.264
Jul 7,vs BAL,W 5-4,3,1,1,0,0,0,0,0,1,0,0,.305,.500,.805,.268
Jul 8,vs BAL,W 10-1,4,1,1,0,0,0,1,0,1,0,0,.302,.483,.785,.267
Jul 9,vs KC,W 3-1,1,1,1,0,0,0,0,0,0,0,0,.313,.492,.805,.279
Jul 10,vs KC,L 9-4,2,1,1,0,0,0,0,0,1,0,0,.318,.492,.810,.286
Jul 11,vs KC,W 8-5,4,2,2,0,1,0,1,0,0,0,0,.329,.522,.851,.299
Jul 12,vs TB,W 5-1,Did not play
Jul 13,vs TB,W 11-8,4,2,3,1,1,0,2,0,1,0,0,.351,.577,.928,.324
Jul 14,vs TB,L 19-6,2,0,0,0,0,0,0,0,1,0,0,.342,.562,.904,.315
Jul 15,vs TB,W 11-7,4,1,1,1,0,0,0,1,2,0,0,.346,.558,.904,.312
Jul 20,@ KC,L 6-5,0,1,0,0,0,0,0,1,0,0,0,.354,.558,.912,.312
Jul 21,@ KC,L 4-2,4,0,0,0,0,0,0,0,4,0,0,.337,.531,.868,.296
Jul 22,@ KC,L 5-3,2,0,0,0,0,0,0,0,0,0,0,.330,.518,.848,.289
Jul 23,@ TOR,W 8-3,0,0,0,0,0,0,0,0,0,0,0,.330,.518,.848,.289
Jul 24,@ TOR,W 5-0,Did not play
Jul 25,@ TOR,W 12-6,4,1,1,1,0,0,1,0,1,0,0,.326,.517,.843,.287
