DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,@ ARI,W 6-5,1.0,0,0,0,0,1,1,1,1,16,4,-,-,-,5.97
Jul 15,vs SEA,W 4-3,1.0,2,1,1,0,0,1,3,1,15,5,-,-,-,6.15
Jul 10,vs ARI,L 5-3,0.0,2,3,3,1,1,0,0,2,10,3,-,L(1-3),BlSv(2),INF
Jul 8,@ SEA,L 6-4,1.0,1,0,0,0,1,2,1,1,12,5,-,-,-,5.23
Jul 6,@ SEA,W 7-1,1.0,0,0,0,0,0,1,0,2,9,3,-,-,-,5.40
Jul 3,vs SF,W 8-1,0.2,0,0,0,0,0,0,1,0,1,1,-,-,-,5.58
Jun 28,@ SF,W 9-8,1.0,1,1,0,0,0,1,1,3,19,5,-,-,H(12),5.70
Jun 24,vs MIA,L 8-5,0.1,3,2,2,0,0,0,2,2,12,4,-,-,-,5.90
Jun 21,vs NYM,W 6-4,1.0,2,1,1,0,0,1,1,3,22,5,-,-,Sv(1),5.34
Jun 20,vs NYM,W 10-8,1.0,0,0,0,0,0,1,2,0,11,3,-,-,H(11),5.20
Jun 18,vs NYM,L 12-2,1.0,2,1,1,1,0,1,2,2,17,5,-,-,-,5.40
Jun 17,@ TEX,L 13-12,1.1,0,2,2,0,1,2,1,1,33,6,-,-,-,5.26
Jun 14,@ PHI,L 9-3,0.1,2,1,1,0,0,0,0,3,17,3,-,-,-,4.81
Jun 13,@ PHI,W 7-2,1.0,0,0,0,0,1,1,0,2,15,4,-,-,-,4.50
Jun 9,vs ARI,L 12-7,0.1,2,0,0,0,0,0,1,2,12,3,-,-,H(10),4.70
Jun 6,@ CIN,W 6-3,0.2,2,0,0,0,0,1,0,3,16,4,-,-,H(9),4.76
Jun 5,@ CIN,W 9-6,1.0,2,0,0,0,0,2,1,2,20,5,-,-,-,4.91
Jun 3,vs LAD,L 10-7,1.0,0,0,0,0,0,1,2,0,12,3,-,-,-,5.14
May 30,vs SF,L 7-4,1.0,2,1,1,0,0,1,3,1,16,5,-,-,-,5.40
May 26,vs CIN,L 6-5,2.0,1,0,0,0,0,1,3,3,21,7,-,-,-,5.21
May 20,@ SF,L 9-5,0.1,4,2,2,2,0,0,1,3,14,4,-,-,-,5.82
May 17,@ SF,W 5-3,2.0,1,0,0,0,0,1,1,5,23,7,-,W(1-2),-,4.86
May 11,vs MIL,L 11-10,1.0,3,1,1,0,0,1,1,4,23,6,-,L(0-2),-,5.52
May 10,vs MIL,L 5-2,1.0,0,0,0,0,0,0,3,0,11,3,-,-,-,5.27
May 6,@ NYM,W 3-2,0.1,0,0,0,0,1,0,0,1,8,2,-,-,H(8),5.68
May 4,@ NYM,W 8-7,0.0,2,2,2,0,0,0,0,2,7,2,-,-,-,INF
May 2,@ CHC,W 11-2,1.0,0,0,0,0,0,1,1,1,8,3,-,-,-,4.38
Apr 27,@ MIA,W 1-0,0.2,1,0,0,0,1,1,1,1,13,4,-,-,H(7),4.76
Apr 23,vs SD,L 13-5,0.1,3,4,4,1,1,1,1,2,17,5,-,L(0-1),BlSv(1),5.06
Apr 22,vs CHC,L 9-7,1.0,0,0,0,0,0,1,1,1,10,4,-,-,-,1.74
Apr 21,vs CHC,W 5-2,1.0,0,0,0,0,0,1,2,0,12,3,-,-,H(6),1.93
Apr 17,@ PIT,W 2-0,0.1,0,0,0,0,0,0,0,1,3,1,-,-,H(5),2.16
Apr 15,@ WSH,W 6-5,1.1,0,0,0,0,1,1,1,1,14,4,-,-,-,2.25
Apr 12,@ WSH,W 5-1,1.0,0,0,0,0,0,1,0,2,11,3,-,-,-,2.70
Apr 11,vs SD,W 6-4,1.0,1,1,1,1,0,1,0,3,13,4,-,-,H(4),3.18
Apr 7,vs ATL,W 3-2,1.0,1,0,0,0,0,0,2,2,14,4,-,-,H(3),1.93
Apr 4,@ SD,W 5-2,0.2,1,2,1,0,1,0,2,1,13,4,-,-,-,2.45
Apr 2,@ SD,W 7-4,1.0,0,0,0,0,0,2,1,0,14,3,-,-,H(2),0.00
Mar 31,@ ARI,W 2-1,1.0,0,0,0,0,0,1,1,1,13,3,-,-,H(1),0.00
Mar 30,@ ARI,L 9-8,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,0.00
