DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ CLE,L 4-0,7.0,7,2,2,0,1,5,9,7,89,28,59,L(7-8),-,3.73
Jul 20,@ CIN,W 12-1,5.1,6,1,1,0,1,6,8,8,100,23,57,W(7-7),-,3.80
Jul 12,vs MIL,W 6-3,6.0,4,1,1,1,2,10,5,7,96,24,68,W(6-7),-,3.91
Jul 7,vs PHI,L 3-2,6.2,5,3,3,0,0,6,6,12,77,24,58,L(5-7),-,4.05
Jul 1,@ SD,W 7-5,4.2,7,4,3,1,3,4,10,7,88,24,37,-,-,4.05
Jun 25,@ NYM,W 6-4,6.0,4,2,2,0,3,5,7,10,96,25,-,W(5-6),-,3.96
Jun 19,vs MIL,L 3-2,5.0,7,3,3,1,1,7,8,7,100,23,47,L(4-6),-,4.03
Jun 13,@ ARI,W 5-4,7.0,6,2,2,1,2,4,11,11,108,28,59,W(4-5),-,3.94
Jun 7,vs LAD,L 8-7,5.0,8,3,3,1,1,7,7,9,92,24,-,L(3-5),-,4.08
Jun 1,@ STL,W 4-0,8.0,3,0,0,0,1,6,16,4,104,27,81,W(3-4),-,3.97
May 27,vs STL,L 6-4,6.1,5,3,3,0,1,6,12,6,85,25,56,-,-,4.53
May 22,@ CIN,L 7-2,6.0,8,6,6,1,1,8,5,13,91,27,39,L(2-4),-,4.56
May 16,vs CHW,W 3-2,5.2,5,2,2,2,3,5,5,12,96,26,53,-,-,3.97
May 11,vs SF,W 11-2,3.0,1,0,0,0,1,5,0,5,51,11,61,-,-,4.08
May 5,@ MIL,L 5-3,5.0,6,1,1,0,2,1,7,11,85,21,50,-,-,4.42
Apr 30,@ WSH,L 3-2,6.0,7,3,3,0,2,5,13,6,101,26,49,L(2-3),-,4.83
Apr 25,vs DET,L 13-10,3.2,10,7,7,2,0,3,10,8,75,21,16,L(2-2),-,4.91
Apr 19,@ PHI,L 7-0,1.2,4,5,5,1,2,3,3,3,52,12,28,L(2-1),-,2.86
Apr 14,@ MIA,W 1-0,6.0,4,0,0,0,3,2,15,5,93,25,63,-,-,0.89
Apr 8,vs CIN,W 5-0,9.0,1,0,0,0,2,7,11,9,110,30,90,W(2-0),-,1.26
Apr 2,vs MIN,W 5-4,5.1,4,2,2,1,0,9,4,7,92,20,-,W(1-0),-,3.38
