DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ MIA,W 8-4,3,1,1,1,0,0,1,1,0,0,0,.500,.667,1.167,.333
Mar 30,@ MIA,L 2-1,3,0,0,0,0,0,0,0,2,0,0,.286,.333,.619,.167
Mar 31,@ MIA,W 10-6,4,2,2,0,0,0,1,0,1,0,0,.333,.400,.733,.300
Apr 1,@ MIA,L 6-0,4,0,1,0,0,0,0,0,0,0,0,.313,.357,.670,.286
Apr 2,@ CIN,L 1-0,3,0,0,0,0,0,0,0,2,0,0,.263,.294,.557,.235
Apr 5,@ MIL,W 8-0,1,1,1,0,0,1,2,0,0,0,0,.300,.500,.800,.278
Apr 6,@ MIL,L 5-4,4,0,0,0,0,0,0,0,0,0,0,.250,.409,.659,.227
Apr 7,@ MIL,W 5-2,2,1,0,0,0,0,0,2,0,0,0,.286,.375,.661,.208
Apr 8,@ MIL,W 3-0,3,1,1,0,0,0,0,1,0,0,0,.313,.370,.683,.222
Apr 10,vs PIT,L 8-5,4,0,1,0,0,0,2,0,0,0,0,.306,.355,.661,.226
Apr 11,vs PIT,W 13-5,5,1,1,0,0,0,1,0,0,0,0,.293,.333,.626,.222
Apr 12,vs PIT,L 6-1,4,0,1,0,0,0,0,0,0,0,0,.289,.325,.614,.225
Apr 13,vs ATL,L 4-0,2,0,0,0,0,0,0,1,0,0,0,.292,.310,.602,.214
Apr 14,vs ATL,W 14-10,3,2,0,0,0,0,0,1,2,0,0,.302,.289,.591,.200
Apr 17,vs STL,L 5-3,4,0,1,0,0,0,1,0,0,0,0,.298,.286,.584,.204
Apr 19,vs STL,W 8-5,4,2,2,0,0,1,2,0,0,0,0,.311,.358,.669,.226
Apr 20,@ COL,W 16-5,4,1,2,0,1,0,2,1,0,0,0,.333,.404,.737,.246
Apr 21,@ COL,L 5-2,Did not play
Apr 22,@ COL,W 9-7,4,1,2,0,0,0,2,1,1,0,0,.352,.410,.762,.262
Apr 24,@ CLE,W 10-3,4,1,2,1,0,0,0,0,0,0,0,.360,.431,.791,.277
Apr 25,@ CLE,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.342,.406,.748,.261
Apr 26,vs MIL,W 1-0,3,0,0,0,0,0,0,0,1,0,0,.329,.389,.718,.250
Apr 27,vs MIL,W 3-2,1,0,0,0,0,0,0,1,0,0,0,.333,.384,.717,.247
Apr 28,vs MIL,W 3-0,2,1,1,1,0,0,0,1,0,0,0,.345,.400,.745,.253
Apr 29,vs MIL,W 2-0,2,0,0,0,0,0,0,1,1,0,0,.344,.390,.734,.247
Apr 30,vs COL,W 3-2,Did not play
May 1,vs COL,L 3-1,3,0,0,0,0,0,0,0,1,0,0,.333,.375,.708,.238
May 2,vs COL,L 11-2,3,0,0,0,0,0,0,0,3,0,0,.323,.361,.684,.229
May 4,@ STL,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.310,.345,.655,.218
May 5,@ STL,L 8-6,4,1,2,0,0,0,0,1,0,0,0,.324,.352,.676,.231
May 6,@ STL,L 4-3,6,0,1,0,0,0,0,0,0,0,0,.315,.340,.655,.227
May 7,vs MIA,W 14-2,Did not play
May 8,vs MIA,W 4-3,Did not play
May 9,vs MIA,W 13-4,Did not play
May 11,vs CHW,W 11-2,Did not play
May 12,vs CHW,W 8-4,Did not play
May 13,vs CHW,L 5-3,Did not play
May 14,vs ATL,L 6-5,Did not play
May 15,@ ATL,W 3-2,Did not play
May 16,@ ATL,L 4-1,Did not play
May 18,@ CIN,W 8-1,1,0,0,0,0,0,0,0,0,0,0,.313,.337,.650,.224
May 19,@ CIN,L 5-4,Did not play
May 19,@ CIN,W 10-0,4,1,2,0,1,0,4,0,0,0,0,.316,.363,.679,.235
May 20,@ CIN,W 6-1,4,0,0,0,0,0,0,0,0,0,0,.306,.349,.655,.226
May 22,vs CLE,L 10-1,Did not play
May 23,vs CLE,L 1-0,2,0,0,0,0,0,0,1,0,0,0,.306,.343,.649,.222
May 25,vs SF,W 6-2,1,0,0,0,0,0,0,0,0,0,0,.304,.339,.643,.220
May 26,vs SF,L 5-4,3,0,1,0,0,0,1,1,0,0,0,.310,.339,.649,.223
May 27,vs SF,W 8-3,4,1,1,0,1,0,0,0,1,0,0,.308,.353,.661,.224
May 28,@ PIT,W 7-0,1,0,0,0,0,0,0,0,0,0,0,.306,.350,.656,.222
May 29,@ PIT,W 8-6,5,1,3,1,0,0,1,0,0,0,1,.317,.369,.686,.238
May 30,@ PIT,L 2-1,3,0,3,0,0,0,0,1,0,0,0,.336,.384,.720,.256
May 31,@ NYM,W 5-1,5,0,2,0,0,0,1,0,0,0,0,.338,.385,.723,.262
Jun 1,@ NYM,W 7-4,5,0,0,0,0,0,0,0,2,0,0,.327,.370,.697,.252
Jun 2,@ NYM,W 7-1,5,1,4,1,0,0,0,0,0,0,0,.342,.393,.735,.271
Jun 3,@ NYM,W 2-0,4,0,0,0,0,0,0,0,0,0,0,.333,.382,.715,.264
Jun 5,vs PHI,L 6-1,4,0,1,0,0,0,0,0,0,0,0,.331,.378,.709,.264
Jun 6,vs PHI,W 7-5,5,1,1,0,0,1,4,0,1,0,0,.327,.392,.719,.261
Jun 7,vs PHI,W 4-3,Did not play
Jun 8,vs PIT,W 3-1,4,1,2,1,0,0,0,0,0,0,0,.331,.401,.732,.268
Jun 9,vs PIT,W 2-0,4,1,1,1,0,0,0,0,0,0,0,.330,.404,.734,.267
Jun 10,vs PIT,L 7-1,4,1,2,1,0,0,0,0,1,0,0,.333,.412,.745,.273
Jun 11,@ MIL,W 7-2,6,0,3,1,0,0,3,0,1,0,0,.339,.421,.760,.281
Jun 12,@ MIL,L 4-0,3,0,0,0,0,0,0,1,0,0,0,.337,.414,.751,.276
Jun 13,@ MIL,L 1-0,3,0,0,0,0,0,0,1,2,0,0,.335,.407,.742,.271
Jun 15,@ STL,W 13-5,Did not play
Jun 16,@ STL,W 6-3,5,1,1,0,0,1,2,0,0,0,0,.332,.418,.750,.269
Jun 17,@ STL,L 5-0,3,0,0,0,0,0,0,1,1,0,0,.330,.411,.741,.265
Jun 19,vs LAD,L 4-3,4,1,1,0,0,0,0,1,0,0,0,.332,.407,.739,.265
Jun 19,vs LAD,W 2-1,Did not play
Jun 20,vs LAD,W 4-0,4,1,2,1,0,0,0,0,0,0,0,.335,.415,.750,.269
Jun 21,@ CIN,L 6-2,5,1,4,1,0,0,0,0,0,0,0,.345,.429,.774,.283
Jun 22,@ CIN,L 6-3,4,0,0,0,0,0,0,0,1,0,0,.339,.421,.760,.277
Jun 23,@ CIN,L 11-2,4,0,1,0,0,0,0,0,0,0,0,.338,.417,.755,.277
Jun 24,@ CIN,L 8-6,4,1,1,1,0,0,2,0,1,0,0,.336,.419,.755,.276
Jun 25,@ LAD,L 2-1,4,0,0,0,0,0,0,0,0,0,0,.331,.411,.742,.271
Jun 26,@ LAD,W 9-4,5,1,1,0,0,0,0,1,2,0,0,.331,.406,.737,.269
Jun 27,@ LAD,L 7-5,3,1,2,1,0,0,0,1,1,0,0,.337,.414,.751,.275
Jun 28,@ LAD,W 11-5,2,2,1,1,0,0,1,0,0,0,0,.339,.420,.759,.277
Jun 29,vs MIN,W 10-6,4,3,2,0,0,1,2,0,0,0,0,.341,.434,.775,.281
Jun 30,vs MIN,W 14-9,6,2,4,0,0,0,2,0,0,0,0,.349,.440,.789,.291
Jul 1,vs MIN,W 11-10,5,0,0,0,0,0,0,0,1,0,0,.342,.431,.773,.285
Jul 3,vs DET,W 5-3,4,2,2,1,0,0,1,0,0,0,0,.345,.436,.781,.288
Jul 4,vs DET,W 5-2,1,0,0,0,0,0,0,0,0,0,0,.343,.434,.777,.287
Jul 6,vs CIN,L 3-2,5,0,0,0,0,0,0,0,1,0,0,.337,.426,.763,.281
Jul 7,vs CIN,W 8-7,2,0,0,0,0,0,0,0,0,0,0,.335,.422,.757,.279
Jul 8,vs CIN,W 6-5,3,1,1,0,0,0,0,2,1,0,0,.339,.421,.760,.280
Jul 9,@ SF,L 2-1,0,0,0,0,0,0,0,1,0,0,0,.342,.421,.763,.280
Jul 10,@ SF,W 2-0,4,0,1,0,0,0,0,0,0,0,0,.340,.419,.759,.279
Jul 11,@ SF,L 5-4,6,2,3,0,0,1,1,1,1,0,0,.346,.432,.778,.284
Jul 13,@ SD,W 5-4,0,1,0,0,0,0,0,0,0,0,0,.346,.432,.778,.284
Jul 14,@ SD,W 11-6,5,2,2,1,0,0,0,0,0,0,0,.347,.435,.782,.286
Jul 15,@ SD,W 7-4,5,0,1,0,0,0,2,0,1,0,0,.344,.431,.775,.285
Jul 19,vs STL,W 9-6,5,2,3,0,0,0,2,0,0,1,0,.349,.434,.783,.290
Jul 20,vs STL,L 18-5,1,0,0,0,0,0,0,2,1,0,0,.352,.432,.784,.289
Jul 21,vs STL,W 7-2,4,2,1,0,0,0,0,1,0,0,0,.352,.430,.782,.289
Jul 21,vs STL,L 6-3,5,0,1,0,0,0,0,0,0,0,0,.350,.426,.776,.287
Jul 22,vs STL,W 7-2,3,1,0,0,0,0,0,2,0,0,0,.351,.421,.772,.284
Jul 23,vs ARI,L 7-1,2,0,1,0,0,0,0,0,0,0,0,.352,.422,.774,.286
Jul 24,vs ARI,L 5-1,4,1,1,0,0,1,1,0,1,0,0,.350,.430,.780,.285
Jul 25,vs ARI,W 2-1,1,0,0,0,0,0,0,0,0,0,0,.349,.428,.777,.284
