DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ TEX,W 13-10,2.0,0,0,0,0,0,2,1,3,24,6,-,W(2-0),-,0.00
Jul 22,vs SF,W 6-5,2.0,1,0,0,0,0,1,2,3,22,6,-,W(1-0),-,0.00
"Previously with NYM, Acquired by OAK"
Jul 14,vs WSH,W 7-4,1.0,0,0,0,0,0,1,1,1,10,3,-,-,Sv(17),2.88
Jul 12,vs WSH,L 5-4,1.0,0,0,0,0,0,2,1,0,10,3,-,-,-,2.95
Jul 11,vs PHI,W 3-0,1.0,0,0,0,0,0,0,1,2,8,3,-,-,-,3.03
Jul 9,vs PHI,W 4-3,1.0,0,0,0,0,0,0,0,3,10,3,-,-,-,3.11
Jul 6,vs TB,W 5-1,1.0,1,0,0,0,1,1,2,1,23,6,-,W(4-4),-,3.19
Jul 4,@ TOR,W 6-3,1.0,0,0,0,0,0,0,2,1,10,3,-,-,Sv(16),3.28
Jul 1,@ MIA,W 5-2,1.0,0,0,0,0,0,2,0,1,12,3,-,-,Sv(15),3.38
Jun 27,vs PIT,L 5-3,0.0,3,4,4,0,1,0,2,1,18,4,-,L(3-4),-,INF
Jun 26,vs PIT,W 4-3,1.2,1,0,0,0,1,0,5,1,28,7,-,-,-,2.41
Jun 24,vs LAD,L 8-7,1.0,0,0,0,0,1,2,0,1,18,4,-,-,-,2.53
Jun 20,@ COL,L 10-8,1.0,1,0,0,0,0,2,2,1,24,5,-,-,-,2.61
Jun 17,@ ARI,W 5-3,1.0,3,1,1,0,1,0,4,2,22,7,-,W(3-3),-,2.70
Jun 6,vs BAL,L 1-0,1.0,2,1,1,0,0,0,1,4,13,5,-,L(2-3),-,2.48
Jun 2,vs CHC,L 7-1,1.0,1,0,0,0,1,2,2,0,20,5,-,-,-,2.25
Jun 1,vs CHC,L 7-4,1.0,4,1,1,0,0,0,3,3,22,6,-,-,-,2.33
May 30,@ ATL,W 4-1,1.0,2,0,0,0,0,0,2,2,9,4,-,-,H(1),2.08
May 28,@ ATL,W 8-5,2.0,0,0,0,0,0,3,3,0,28,6,-,-,Sv(14),2.16
May 23,vs MIA,L 2-1,1.0,4,2,2,0,1,1,2,3,23,7,-,L(2-2),BlSv(4),2.35
May 21,vs MIA,W 2-0,1.0,1,0,0,0,0,1,2,1,14,4,-,-,Sv(13),1.64
May 19,vs ARI,W 5-4,1.0,0,0,0,0,0,1,0,2,14,3,-,W(2-1),-,1.71
May 18,vs ARI,W 3-1,1.0,0,0,0,0,0,3,0,0,12,3,-,-,Sv(12),1.80
May 13,@ PHI,L 4-2,1.0,2,1,1,1,1,1,1,3,21,6,-,-,-,1.89
May 11,@ PHI,W 3-1,1.0,0,0,0,0,0,1,1,1,15,3,-,-,Sv(11),1.50
May 7,@ CIN,W 7-6,1.0,0,0,0,0,0,2,0,1,15,3,-,-,Sv(10),1.59
May 3,vs ATL,L 11-0,1.0,1,0,0,0,0,0,2,2,14,4,-,-,-,1.69
Apr 28,@ SD,L 12-2,1.0,0,0,0,0,0,0,1,2,12,3,-,-,-,1.80
Apr 26,@ STL,L 4-3,1.0,2,1,1,0,0,1,2,2,16,5,-,-,BlSv(3),1.93
Apr 24,@ STL,W 6-5,1.0,0,0,0,0,0,2,0,1,12,3,-,-,Sv(9),1.38
Apr 21,@ ATL,L 4-3,0.2,3,2,2,0,1,2,2,1,19,6,-,L(1-1),BlSv(2),1.50
Apr 20,@ ATL,W 5-3,1.0,0,0,0,0,0,0,2,1,9,3,-,-,Sv(8),0.00
Apr 16,vs WSH,L 8-6,0.1,1,0,0,0,1,0,1,1,15,4,-,-,BlSv(1),0.00
Apr 15,vs MIL,W 3-2,1.0,0,0,0,0,1,2,1,0,20,4,-,W(1-0),-,0.00
Apr 13,vs MIL,W 6-5,1.0,0,0,0,0,0,1,2,0,13,3,-,-,Sv(7),0.00
Apr 10,@ MIA,W 8-6,1.0,0,0,0,0,0,1,2,0,13,3,-,-,Sv(6),0.00
Apr 9,@ MIA,W 4-2,1.0,2,0,0,0,0,3,1,1,18,5,-,-,Sv(5),0.00
Apr 7,@ WSH,W 3-2,1.2,0,0,0,0,0,1,3,1,21,5,-,-,Sv(4),0.00
Apr 4,vs PHI,W 4-2,1.0,1,0,0,0,0,1,1,1,14,3,-,-,Sv(3),0.00
Apr 3,vs PHI,W 2-0,1.0,1,0,0,0,1,1,1,2,23,5,-,-,Sv(2),0.00
Mar 31,vs STL,W 6-2,1.1,0,0,0,0,1,2,0,2,30,5,-,-,Sv(1),0.00
Mar 29,vs STL,W 9-4,1.0,0,0,0,0,1,1,0,2,17,4,-,-,-,0.00
