DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Oct 1,vs PIT,L 11-8,0.2,0,0,0,0,0,0,1,0,3,1,-,-,-,5.68
Sep 26,@ PHI,L 4-1,1.0,0,0,0,0,0,0,2,1,13,3,-,-,-,5.77
Sep 24,@ NYM,W 3-2,1.0,0,0,0,0,1,0,0,2,16,3,-,-,H(7),5.91
Sep 22,@ NYM,L 7-6,1.0,2,1,1,0,0,1,1,3,17,5,-,L(2-4),-,6.05
Sep 15,vs LAD,L 7-0,1.0,2,0,0,0,0,1,2,2,20,5,-,-,-,5.98
Sep 9,vs PHI,L 5-4,1.0,0,0,0,0,0,2,0,1,16,3,-,-,-,6.13
Sep 6,@ MIA,W 8-1,1.0,2,0,0,0,0,1,2,2,21,5,-,-,-,6.28
Sep 2,@ MIL,W 3-2,0.1,1,0,0,0,0,1,1,0,7,2,-,-,-,6.45
Aug 27,vs NYM,W 5-4,0.1,0,0,0,0,0,0,0,1,4,1,-,-,H(6),6.51
Aug 27,vs NYM,L 6-5,1.1,1,1,1,1,0,1,2,2,15,5,-,L(2-3),-,6.57
Aug 25,vs NYM,L 4-2,1.2,2,1,1,0,1,0,1,6,28,8,-,-,-,6.56
Aug 22,@ HOU,W 4-3,0.2,1,0,0,0,1,1,0,2,15,4,-,-,H(5),6.62
Aug 20,@ SD,W 4-1,0.1,0,0,0,0,0,1,0,0,3,1,-,-,H(4),6.75
Aug 18,@ SD,W 7-1,1.0,0,0,0,0,1,0,1,1,15,3,-,W(2-2),-,6.82
Aug 16,vs LAA,L 3-2,0.1,0,0,0,0,0,1,0,0,4,1,-,-,-,7.03
Aug 9,vs MIA,W 10-1,1.0,0,0,0,0,0,2,0,1,11,3,-,-,-,7.11
Aug 8,vs MIA,L 7-3,0.1,1,2,2,0,1,0,0,2,3,3,-,-,-,7.34
Aug 1,@ MIA,L 7-6,2.0,1,0,0,0,0,2,1,3,32,6,-,-,-,6.82
Jul 30,vs COL,L 10-6,1.0,2,1,1,0,0,1,1,3,15,5,-,-,-,7.31
Jul 25,vs MIL,L 8-0,2.0,4,1,1,0,1,1,3,6,35,11,-,-,-,7.24
Jul 23,@ ARI,W 6-2,0.2,0,0,0,0,0,1,1,0,12,2,-,W(1-2),-,7.46
Jul 21,@ ARI,L 6-5,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,7.66
Jul 19,@ LAA,L 7-0,0.1,3,3,3,1,0,1,1,2,16,4,-,-,-,7.77
Jul 17,@ CIN,W 6-1,1.0,0,0,0,0,1,0,1,2,14,4,-,-,-,6.75
Jul 16,@ CIN,W 14-4,1.0,1,0,0,0,0,3,0,1,21,4,-,-,-,7.04
Jul 9,vs ATL,W 10-5,1.0,0,0,0,0,0,0,1,2,11,3,-,-,H(3),7.36
Jul 8,vs ATL,L 13-0,0.2,0,0,0,0,1,0,0,2,9,3,-,-,-,7.71
Jul 6,vs ATL,L 5-2,0.1,2,0,0,0,0,0,1,2,10,3,-,-,-,7.97
Jul 3,vs NYM,W 3-2,0.1,0,0,0,0,0,0,1,0,4,1,-,-,-,8.10
Jun 30,@ STL,L 8-1,1.1,0,0,0,0,0,1,0,3,8,4,-,-,-,8.24
Jun 29,vs CHC,L 5-4,0.1,0,0,0,0,0,0,0,1,1,1,-,-,H(2),8.84
Jun 25,vs CIN,L 6-2,1.1,1,0,0,0,0,0,2,3,15,5,-,-,-,9.00
Jun 24,vs CIN,W 18-3,1.0,4,2,2,0,0,0,3,4,27,7,-,-,-,9.72
Jun 17,@ NYM,W 7-4,0.1,2,2,2,1,0,0,1,2,14,3,-,-,-,9.19
Jun 15,@ NYM,W 8-3,1.1,1,1,1,1,0,1,1,3,15,5,-,-,-,8.22
Jun 14,vs ATL,L 13-2,0.2,0,0,0,0,0,2,0,0,9,2,-,-,-,8.36
Jun 11,vs TEX,L 5-1,1.0,0,0,0,0,1,1,1,1,24,4,-,-,-,8.78
May 13,vs PHI,W 6-4,0.1,1,0,0,0,0,1,0,1,12,2,-,-,-,9.49
May 8,@ BAL,L 6-4,1.0,3,0,0,0,0,0,1,4,24,5,-,-,-,9.75
May 4,vs ARI,W 4-2,0.0,1,1,1,1,0,0,0,1,2,1,-,-,-,INF
May 2,vs ARI,L 6-3,1.0,1,1,1,1,2,1,1,2,27,6,-,-,-,9.82
Apr 30,vs NYM,W 23-5,1.0,0,0,0,0,0,2,1,0,17,3,-,-,-,9.90
Apr 27,@ COL,W 16-5,1.0,3,3,2,0,0,1,3,3,32,7,-,-,-,11.00
Apr 25,@ COL,W 15-12,0.0,4,4,4,1,0,0,0,4,13,4,-,-,-,INF
Apr 21,@ NYM,W 4-3,1.0,0,0,0,0,2,0,2,1,20,5,-,-,-,5.63
Apr 15,vs PHI,L 4-2,1.0,1,2,2,1,0,2,1,1,23,5,-,L(0-2),-,6.43
Apr 12,vs STL,L 6-1,0.1,1,1,1,1,0,0,0,2,6,2,-,-,-,4.50
Apr 11,vs STL,W 8-3,1.0,1,1,1,1,0,1,1,2,14,4,-,-,-,3.18
Apr 8,@ PHI,L 17-3,3.0,0,0,0,0,0,3,3,3,35,9,-,-,-,1.93
Apr 6,vs MIA,L 4-3,1.0,3,1,1,0,0,0,3,2,17,5,-,L(0-1),-,5.40
Apr 5,vs MIA,W 6-4,0.2,1,0,0,0,0,1,0,2,14,3,-,-,H(1),0.00
