DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ CLE,W 9-4,7.0,5,2,2,1,1,2,14,10,88,27,60,W(4-4),-,3.90
Jul 15,vs MIL,W 7-6,7.2,7,5,5,1,4,5,9,15,106,34,46,-,-,4.08
Jul 10,vs WSH,L 5-1,5.0,5,2,2,1,1,9,5,6,96,22,57,L(3-4),-,3.77
Jun 29,@ SD,W 6-3,7.0,7,0,0,0,2,5,12,10,88,29,66,W(3-3),-,3.79
Jun 23,vs ARI,L 7-2,4.0,7,5,5,0,3,2,9,8,70,22,27,L(2-3),-,4.59
Jun 17,vs CIN,L 8-6,4.1,8,6,6,1,1,6,3,11,71,21,28,L(2-2),-,3.68
Jun 11,@ ARI,L 9-5,6.0,5,3,2,0,0,6,11,7,88,27,-,-,-,2.16
Jun 5,vs LAD,L 5-0,5.0,6,4,3,2,1,5,4,12,84,22,-,L(2-1),-,1.89
May 30,vs CHC,W 2-1,7.0,7,1,1,0,4,5,13,9,100,31,60,W(2-0),-,0.64
May 25,vs STL,W 8-1,7.0,5,0,0,0,0,7,10,8,67,25,74,W(1-0),-,0.00
