DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ COL,W 8-2,1.0,0,0,0,0,0,2,1,1,17,5,-,-,-,3.90
Jul 22,@ LAA,L 14-5,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,4.05
Jul 21,@ LAA,W 7-0,1.0,0,0,0,0,0,0,1,2,12,3,-,-,-,4.10
Jul 14,vs DET,W 9-1,0.1,0,0,0,0,0,0,0,1,7,1,-,-,-,4.26
Jul 12,vs OAK,L 6-4,1.0,0,0,0,0,0,1,0,2,9,3,-,-,H(5),4.32
Jul 10,vs OAK,W 6-5,1.0,1,0,0,0,0,1,1,2,14,4,-,-,-,4.50
Jul 9,vs OAK,L 2-0,1.1,1,0,0,0,0,1,3,1,14,5,-,-,-,4.70
Jul 7,vs CHW,W 12-6,1.0,1,0,0,0,0,2,1,1,17,4,-,-,-,4.98
Jul 5,vs CHW,W 4-3,1.0,1,0,0,0,0,0,1,2,8,3,-,W(3-1),-,5.23
Jun 6,vs SEA,W 7-5,0.2,1,1,1,1,1,0,1,2,17,4,-,-,H(4),5.49
Jun 5,vs SEA,L 7-1,1.0,0,0,0,0,0,2,0,1,14,3,-,-,-,5.21
Jun 2,vs BOS,L 5-4,0.2,0,0,0,0,1,0,1,1,10,3,-,-,-,5.50
May 29,@ NYY,L 6-5,1.0,0,0,0,0,0,1,2,0,9,3,-,-,H(3),5.71
May 27,@ CLE,L 10-9,2.0,0,0,0,0,0,3,2,1,24,6,-,-,-,6.06
May 25,@ CLE,W 11-2,0.1,0,0,0,0,0,1,0,0,5,1,-,W(2-1),-,6.91
May 22,vs SF,W 11-2,0.2,0,0,0,0,0,0,1,0,2,1,-,-,-,7.07
May 19,vs CLE,L 5-4,1.0,1,1,1,1,1,0,0,3,21,4,-,-,-,7.43
May 14,@ LAA,L 2-1,1.0,0,0,0,0,0,2,1,0,12,3,-,-,-,7.30
May 9,@ OAK,W 4-1,0.2,0,0,0,0,0,0,0,2,7,2,-,-,H(2),7.94
May 6,@ ARI,L 3-1,0.2,1,0,0,0,0,0,1,1,4,2,-,-,-,8.44
May 5,@ ARI,L 4-3,0.2,0,0,0,0,0,1,0,1,6,2,-,-,-,9.00
Apr 29,vs OAK,W 8-4,1.0,1,1,1,1,0,1,2,1,19,4,-,-,-,9.64
Apr 27,vs OAK,L 8-1,0.2,3,2,2,0,0,1,3,1,19,5,-,-,-,9.72
Apr 24,vs LAA,L 8-7,1.0,3,4,4,1,1,2,2,2,19,7,-,L(1-1),BlSv(1),8.22
Apr 20,@ CHW,W 10-0,1.0,0,0,0,0,0,2,0,1,17,3,-,-,-,4.05
Apr 18,@ SEA,W 7-1,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,4.76
Apr 14,vs TEX,L 6-5,0.1,0,0,0,0,0,0,1,0,1,1,-,-,-,5.79
Apr 13,vs TEX,W 3-2,0.1,0,0,0,0,0,0,1,0,8,1,-,W(1-0),-,6.23
Apr 10,@ MIN,L 4-1,1.0,1,1,1,0,2,1,0,3,22,6,-,-,-,6.75
Apr 8,vs SD,W 4-1,1.0,0,0,0,0,0,1,1,1,10,3,-,-,H(1),6.00
Apr 3,vs BAL,W 10-6,1.0,2,0,0,0,0,0,3,1,8,4,-,-,-,9.00
Mar 30,@ TEX,L 5-1,1.0,2,2,2,0,1,1,2,2,26,6,-,-,-,18.00
