DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs LAA,W 6-5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.400,.200
Mar 30,vs LAA,L 2-1,3,0,1,0,0,0,1,0,0,0,0,.333,.250,.583,.250
Mar 31,vs LAA,L 8-3,Did not play
Apr 1,vs LAA,L 7-4,4,0,0,0,0,0,0,0,0,0,0,.231,.167,.398,.167
Apr 2,vs TEX,W 3-1,3,1,2,1,0,0,0,0,0,0,0,.313,.333,.646,.267
Apr 3,vs TEX,L 4-1,3,0,1,0,0,0,0,1,1,0,0,.350,.333,.683,.278
Apr 4,vs TEX,W 6-2,Did not play
Apr 5,vs TEX,L 6-3,4,0,1,0,0,0,0,0,1,0,0,.333,.318,.651,.273
Apr 6,@ LAA,L 13-9,4,1,1,1,0,0,0,0,1,0,0,.321,.346,.667,.269
Apr 7,@ LAA,W 7-3,Did not play
Apr 8,@ LAA,L 6-1,2,0,0,0,0,0,0,1,0,0,0,.323,.321,.644,.250
Apr 10,@ LAD,L 4-0,4,0,0,0,0,0,0,0,1,0,0,.286,.281,.567,.219
Apr 11,@ LAD,W 16-6,5,2,3,1,0,0,0,0,0,0,0,.325,.351,.676,.270
Apr 13,@ SEA,L 7-4,4,0,1,0,0,0,0,0,0,0,0,.318,.341,.659,.268
Apr 14,@ SEA,L 10-8,2,1,0,0,0,0,0,2,1,0,0,.333,.326,.659,.256
Apr 15,@ SEA,W 2-1,Did not play
Apr 16,vs CHW,W 8-1,3,2,0,0,0,0,0,1,1,0,0,.327,.304,.631,.239
Apr 17,vs CHW,W 10-2,4,1,3,0,0,0,3,0,0,0,0,.357,.340,.697,.280
Apr 18,vs CHW,W 12-11,2,0,0,0,0,0,0,1,0,0,0,.356,.327,.683,.269
Apr 20,vs BOS,L 7-3,4,0,1,0,0,0,0,0,0,0,0,.349,.321,.670,.268
Apr 21,vs BOS,W 3-0,3,0,0,0,0,0,0,0,1,0,0,.333,.305,.638,.254
Apr 22,vs BOS,W 4-1,Did not play
