DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ SD,W 2-1,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Mar 30,@ SD,W 8-6,3,1,1,0,0,0,1,0,1,0,0,.167,.167,.334,.167
Mar 31,@ SD,W 7-3,5,0,1,0,0,0,0,0,2,1,0,.182,.182,.364,.182
Apr 2,vs STL,L 8-4,4,0,1,0,0,0,0,0,1,0,0,.200,.200,.400,.200
Apr 3,vs STL,W 5-4,4,0,2,0,0,0,1,0,0,0,0,.263,.263,.526,.263
Apr 4,vs STL,L 6-0,4,0,2,0,0,0,0,0,2,1,0,.304,.304,.608,.304
Apr 5,vs CHC,L 8-0,1,0,0,0,0,0,0,0,0,0,0,.292,.292,.584,.292
Apr 6,vs CHC,W 5-4,3,0,2,0,0,0,0,0,0,0,0,.333,.333,.666,.333
Apr 7,vs CHC,L 5-2,4,0,0,0,0,0,0,0,1,0,0,.290,.290,.580,.290
Apr 8,vs CHC,L 3-0,3,0,1,1,0,0,0,0,1,0,0,.294,.324,.618,.294
Apr 9,@ STL,W 5-4,1,0,1,0,0,0,0,0,0,0,0,.314,.343,.657,.314
Apr 10,@ STL,L 5-3,3,0,2,0,0,0,0,0,0,0,0,.342,.368,.710,.342
Apr 11,@ STL,W 3-2,4,0,0,0,0,0,1,0,1,0,0,.310,.333,.643,.310
Apr 13,@ NYM,L 6-5,1,0,0,0,0,0,0,0,0,0,0,.302,.326,.628,.302
Apr 14,@ NYM,W 5-1,4,1,1,0,0,1,3,0,2,0,0,.298,.383,.681,.298
Apr 15,@ NYM,L 3-2,3,0,0,0,0,0,0,2,2,1,0,.308,.360,.668,.280
Apr 16,vs CIN,L 10-4,5,0,1,0,0,0,1,0,3,0,0,.298,.345,.643,.273
Apr 17,vs CIN,W 2-0,Did not play
Apr 18,vs CIN,W 2-0,4,0,2,0,0,0,0,0,1,1,0,.311,.356,.667,.288
Apr 19,vs MIA,W 12-3,Did not play
Apr 20,vs MIA,W 8-0,4,0,0,0,0,0,0,1,4,0,0,.303,.333,.636,.270
Apr 21,vs MIA,W 6-5,3,0,1,0,0,0,0,0,0,0,1,.304,.333,.637,.273
Apr 22,vs MIA,W 4-2,Did not play
Apr 24,@ KC,W 5-2,4,1,3,0,0,0,0,0,0,0,0,.329,.357,.686,.300
Apr 25,@ KC,W 6-2,4,0,1,0,0,0,1,0,0,0,0,.325,.351,.676,.297
Apr 26,@ CHC,L 1-0,3,0,0,0,0,0,0,0,1,0,0,.313,.338,.651,.286
Apr 27,@ CHC,L 3-2,Did not play
Apr 28,@ CHC,L 3-0,3,0,0,0,0,0,0,0,2,0,0,.301,.325,.626,.275
Apr 29,@ CHC,L 2-0,2,0,0,0,0,0,0,1,0,0,0,.302,.317,.619,.268
Apr 30,@ CIN,W 6-5,3,0,1,0,0,0,0,1,1,1,0,.311,.318,.629,.271
May 1,@ CIN,W 7-6,3,0,1,0,1,0,1,0,1,0,0,.312,.341,.653,.273
May 2,@ CIN,W 3-1,5,0,1,0,0,0,0,0,2,1,0,.306,.333,.639,.269
May 4,vs PIT,L 6-4,1,0,1,0,0,0,0,0,0,0,0,.313,.340,.653,.277
May 5,vs PIT,W 5-3,Did not play
May 6,vs PIT,L 9-0,1,0,0,0,0,0,0,1,1,0,0,.317,.337,.654,.274
May 8,vs CLE,W 3-2,2,0,0,0,0,0,0,0,0,0,0,.311,.330,.641,.268
May 9,vs CLE,L 6-2,3,0,1,0,0,0,0,0,2,0,0,.311,.330,.641,.270
May 10,@ COL,W 5-2,Did not play
May 11,@ COL,W 11-10,1,0,0,0,0,0,0,0,0,0,0,.308,.327,.635,.267
May 12,@ COL,L 4-0,1,0,0,0,0,0,0,1,1,0,0,.312,.324,.636,.265
May 13,@ COL,W 7-3,4,0,1,0,0,0,0,0,1,0,0,.316,.321,.637,.264
May 14,@ ARI,W 7-2,4,3,3,0,0,1,1,0,1,1,0,.331,.364,.695,.282
May 15,@ ARI,L 2-1,4,0,0,0,0,0,0,0,3,0,0,.320,.351,.671,.272
May 16,@ ARI,W 8-2,4,0,2,1,0,0,1,0,0,0,0,.325,.364,.689,.280
May 18,@ MIN,W 8-3,4,2,3,1,0,0,1,0,0,0,0,.336,.385,.721,.295
May 19,@ MIN,W 5-4,3,1,1,0,0,0,0,1,1,0,0,.341,.384,.725,.296
May 20,@ MIN,L 3-1,4,0,0,0,0,0,0,0,3,0,0,.331,.372,.703,.287
May 21,vs ARI,W 4-2,3,0,1,0,0,0,0,0,1,1,0,.331,.371,.702,.288
May 22,vs ARI,W 1-0,3,0,0,0,0,0,0,0,2,0,0,.324,.363,.687,.281
May 23,vs ARI,W 9-2,2,1,1,0,0,0,0,2,0,0,0,.336,.365,.701,.285
May 24,vs NYM,L 5-0,1,0,0,0,0,0,0,0,0,0,0,.333,.362,.695,.283
May 25,vs NYM,W 4-3,3,0,0,0,0,0,0,0,0,0,0,.327,.355,.682,.277
May 26,vs NYM,W 17-6,1,0,0,0,0,0,0,0,1,0,0,.325,.352,.677,.275
May 27,vs NYM,W 8-7,4,0,1,1,0,0,1,0,2,0,0,.323,.356,.679,.274
May 28,vs STL,W 8-3,3,2,1,0,0,1,3,1,1,0,0,.327,.376,.703,.275
