DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jun 16,@ ATL,L 1-0,7.0,5,1,1,1,0,6,12,8,95,26,69,L(2-4),-,4.46
Jun 11,@ STL,L 5-2,6.0,11,4,4,2,0,2,15,11,102,28,36,L(2-3),-,4.83
Jun 5,vs ATL,L 14-1,4.1,11,8,8,2,2,1,10,13,97,26,8,L(2-2),-,4.70
May 31,vs MIA,W 8-3,7.0,6,2,2,0,1,7,13,6,106,27,63,W(2-1),-,3.65
May 26,@ LAD,W 7-5,4.2,7,5,5,2,4,4,8,8,89,24,30,-,-,3.83
May 20,@ PIT,W 8-5,5.2,7,4,4,2,2,4,5,15,93,26,41,-,-,3.11
May 15,vs COL,W 4-0,7.1,1,0,0,0,1,10,8,5,85,24,85,W(1-1),-,2.53
May 10,vs STL,L 2-1,5.0,5,2,1,1,1,6,4,9,81,20,56,L(0-1),-,3.28
May 2,@ SF,L 9-4,1.2,0,0,0,0,0,0,0,5,17,5,-,-,-,3.66
Apr 29,vs NYM,L 14-2,1.2,5,4,4,1,1,0,2,8,45,11,-,-,-,4.00
Apr 27,vs NYM,L 5-1,1.0,0,0,0,0,1,1,1,1,18,4,-,-,-,2.20
Apr 23,@ COL,W 13-5,2.0,0,0,0,0,0,2,3,1,25,6,-,-,-,2.35
Apr 21,@ ARI,L 6-2,1.0,2,2,2,0,2,1,1,2,27,6,-,-,-,2.70
Apr 17,vs LAD,L 7-3,2.0,1,0,0,0,0,1,5,1,31,7,-,-,-,1.46
Apr 15,vs SF,W 10-1,1.0,1,0,0,0,0,1,1,2,10,4,-,-,-,1.74
Apr 12,vs SF,L 7-0,2.0,0,0,0,0,0,2,2,2,28,7,-,-,-,1.93
Apr 9,@ COL,W 7-6,1.0,2,2,2,1,2,0,3,2,29,7,-,-,H(2),2.45
Apr 6,@ HOU,W 4-1,2.0,0,0,0,0,0,4,0,2,28,6,-,-,H(1),0.00
Apr 5,vs COL,L 3-1,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,0.00
Apr 2,vs COL,L 7-4,3.0,2,0,0,0,0,3,2,6,39,11,-,-,-,0.00
Mar 31,vs MIL,L 7-3,1.0,1,0,0,0,1,1,1,2,19,5,-,-,-,0.00
