DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ KC,L 5-4,5.0,7,4,4,2,1,4,9,9,84,23,40,L(4-2),-,3.97
Jul 11,@ TB,L 4-2,6.2,11,4,4,2,1,5,11,15,105,32,40,L(4-1),-,3.71
Jul 6,vs TEX,W 3-1,8.0,4,1,1,1,0,11,6,10,96,27,81,W(4-0),-,3.51
Jul 1,@ TOR,W 9-1,7.0,5,1,1,0,0,6,10,10,97,26,69,W(3-0),-,3.91
Jun 25,vs OAK,L 5-4,5.0,4,0,0,0,1,3,3,12,79,19,61,-,-,4.35
Jun 16,@ CHW,W 7-5,5.0,4,4,3,0,0,4,5,10,74,19,49,-,-,4.95
May 5,@ KC,W 3-2,5.0,2,0,0,0,3,5,1,12,85,21,65,W(2-0),-,4.88
Apr 30,vs TB,L 3-2,7.0,2,0,0,0,1,5,8,10,93,24,77,-,-,5.81
Apr 25,@ PIT,W 13-10,3.0,6,6,3,2,1,4,3,9,66,17,32,-,-,7.91
Apr 19,vs BAL,W 13-8,5.1,7,4,4,3,2,7,7,9,97,25,43,W(1-0),-,7.71
Apr 11,@ CLE,L 5-1,0.2,0,0,0,0,0,0,0,2,7,2,52,-,-,8.18
Apr 5,@ CHW,W 9-7,4.1,9,6,6,0,1,3,5,13,75,22,23,-,-,8.71
Mar 30,vs PIT,L 13-10,6.0,6,4,4,0,1,8,5,10,81,24,-,-,-,6.00
