DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHW,L 14-7,3,0,0,0,0,0,0,1,1,0,0,.250,.000,.250,.000
Mar 31,vs CHW,L 4-3,Did not play
Apr 2,@ DET,L 6-1,3,0,0,0,0,0,0,1,1,0,0,.250,.000,.250,.000
Apr 3,@ DET,W 1-0,2,0,0,0,0,0,1,0,0,0,0,.182,.000,.182,.000
Apr 6,@ CLE,L 3-2,3,0,0,0,0,0,0,1,1,0,0,.200,.000,.200,.000
Apr 7,@ CLE,W 1-0,Did not play
Apr 8,@ CLE,L 3-1,4,0,3,1,0,0,0,0,1,0,1,.316,.267,.583,.200
Apr 9,vs SEA,W 10-0,3,1,2,0,0,0,0,1,0,0,0,.417,.333,.750,.278
Apr 10,vs SEA,L 8-3,3,0,0,0,0,0,0,1,2,0,0,.393,.286,.679,.238
Apr 11,vs SEA,L 4-2,4,0,1,0,0,0,0,0,1,0,0,.375,.280,.655,.240
Apr 12,vs LAA,L 7-1,4,0,0,0,0,0,0,0,4,0,0,.333,.241,.574,.207
Apr 13,vs LAA,L 5-4,4,1,1,1,0,0,0,0,0,0,0,.325,.273,.598,.212
Apr 14,vs LAA,L 5-3,4,1,1,0,0,0,0,0,1,0,0,.318,.270,.588,.216
Apr 17,@ TOR,L 11-3,4,0,2,0,0,0,0,0,1,0,0,.333,.293,.626,.244
Apr 17,@ TOR,L 5-4,Did not play
Apr 18,@ TOR,L 15-5,4,1,2,0,0,1,1,0,1,0,0,.346,.378,.724,.267
Apr 20,@ DET,L 3-2,Did not play
Apr 20,@ DET,W 3-2,2,0,1,1,0,0,0,2,1,0,0,.375,.404,.779,.277
Apr 21,@ DET,L 12-4,3,0,1,1,0,0,0,1,0,0,0,.383,.420,.803,.280
Apr 22,@ DET,W 8-5,2,1,1,0,0,0,0,3,0,0,0,.415,.423,.838,.288
Apr 24,vs MIL,L 5-2,3,0,0,0,0,0,0,1,1,0,0,.406,.400,.806,.273
Apr 25,vs MIL,L 6-2,3,0,0,0,0,0,0,1,3,0,0,.397,.379,.776,.259
Apr 26,vs CHW,L 6-3,3,1,2,0,0,1,2,1,1,0,0,.416,.443,.859,.279
Apr 27,vs CHW,L 7-4,4,0,2,1,0,0,1,1,0,0,0,.427,.462,.889,.292
Apr 28,vs CHW,L 8-0,3,0,1,0,0,0,0,1,0,0,0,.430,.456,.886,.294
Apr 28,vs CHW,W 5-2,3,0,1,1,0,0,1,1,1,0,0,.433,.465,.898,.296
Apr 29,vs CHW,W 5-4,4,1,2,0,0,0,0,0,2,0,0,.436,.467,.903,.307
Apr 30,@ BOS,L 10-6,4,1,1,0,0,0,0,1,1,0,0,.434,.456,.890,.304
May 1,@ BOS,W 7-6,6,1,2,1,0,1,3,0,3,0,0,.434,.494,.928,.306
May 2,@ BOS,L 5-4,4,0,2,2,0,0,0,0,0,0,0,.436,.517,.953,.315
May 3,vs DET,W 10-6,4,3,1,0,0,1,1,1,1,0,0,.435,.538,.973,.312
May 4,vs DET,W 4-2,4,0,1,0,0,0,2,0,2,0,0,.429,.526,.955,.309
May 5,vs DET,L 3-2,4,0,0,0,0,0,0,0,1,0,0,.415,.505,.920,.297
May 6,vs DET,W 4-2,3,1,2,0,0,0,0,1,1,1,0,.425,.510,.935,.308
May 8,@ BAL,W 15-7,4,2,3,0,0,1,3,1,0,0,0,.436,.546,.982,.324
May 9,@ BAL,L 5-3,4,1,1,1,0,0,0,0,0,0,0,.431,.545,.976,.321
May 10,@ BAL,L 11-6,4,1,2,0,0,0,2,1,0,0,0,.437,.543,.980,.328
May 11,@ CLE,W 10-9,6,1,1,0,0,0,0,0,3,0,0,.426,.525,.951,.320
May 12,@ CLE,L 6-2,4,0,3,2,0,0,1,0,1,0,0,.434,.548,.982,.333
May 13,@ CLE,L 11-2,4,1,0,0,0,0,0,0,1,0,0,.423,.531,.954,.323
May 14,vs TB,L 2-1,3,0,0,0,0,0,0,1,1,0,0,.419,.519,.938,.316
May 15,vs TB,L 6-5,Did not play
May 16,vs TB,L 5-3,4,1,1,1,0,0,1,0,1,1,0,.418,.518,.936,.314
May 18,vs NYY,W 5-2,4,0,0,0,0,0,0,0,1,0,0,.408,.504,.912,.305
May 19,vs NYY,L 8-3,4,0,1,0,0,0,1,0,0,0,0,.405,.497,.902,.303
May 20,vs NYY,L 10-1,3,0,0,0,0,0,0,0,2,0,0,.401,.486,.887,.297
May 21,@ STL,L 6-0,4,0,0,0,0,0,0,0,3,0,0,.392,.474,.866,.289
May 22,@ STL,W 5-1,Did not play
May 23,@ STL,W 5-2,4,1,1,0,0,0,0,0,1,0,0,.389,.468,.857,.288
May 24,@ TEX,W 8-2,5,0,0,0,0,0,0,0,3,0,0,.379,.453,.832,.280
May 25,@ TEX,L 8-4,4,1,2,0,0,1,1,0,0,0,0,.381,.473,.854,.285
May 26,@ TEX,L 4-3,4,0,0,0,0,0,0,0,2,0,0,.374,.462,.836,.278
May 27,@ TEX,W 5-3,4,1,0,0,0,0,0,0,1,1,0,.366,.451,.817,.272
May 28,vs MIN,L 8-5,4,1,1,0,0,1,1,1,0,0,0,.367,.463,.830,.271
May 29,vs MIN,W 2-1,5,0,0,0,0,0,1,1,3,0,0,.362,.451,.813,.264
May 30,vs MIN,W 11-8,5,2,4,1,0,1,2,0,0,0,0,.372,.481,.853,.278
Jun 1,vs OAK,L 16-0,4,0,0,0,0,0,0,0,2,0,0,.365,.471,.836,.272
Jun 2,vs OAK,W 5-4,3,1,1,0,0,1,1,1,2,0,0,.367,.485,.852,.273
Jun 3,vs OAK,L 5-1,4,0,1,1,0,0,0,0,1,0,0,.365,.485,.850,.273
Jun 4,@ LAA,L 9-6,5,0,1,1,0,0,2,0,2,0,0,.362,.483,.845,.271
Jun 5,@ LAA,L 1-0,2,0,0,0,0,0,0,1,0,0,0,.361,.478,.839,.268
Jun 6,@ LAA,L 4-3,4,0,2,1,0,0,0,0,1,0,0,.364,.483,.847,.273
Jun 7,@ OAK,L 4-1,3,0,0,0,0,0,0,0,2,0,0,.359,.476,.835,.269
Jun 8,@ OAK,L 7-2,1,0,0,0,0,0,0,0,1,0,0,.358,.474,.832,.268
Jun 9,@ OAK,W 2-0,Did not play
Jun 10,@ OAK,L 3-2,Did not play
Jun 12,vs CIN,L 5-1,4,0,0,0,0,0,0,0,1,0,0,.352,.465,.817,.263
Jun 13,vs CIN,L 7-0,3,0,2,1,0,0,0,1,0,0,0,.358,.473,.831,.268
Jun 15,vs HOU,L 7-3,3,0,0,0,0,0,0,0,2,0,0,.354,.466,.820,.265
Jun 16,vs HOU,L 10-2,Did not play
Jun 17,vs HOU,L 7-4,Did not play
Jun 18,vs TEX,L 6-3,Did not play
Jun 19,vs TEX,L 4-1,Did not play
Jun 20,vs TEX,L 3-2,Did not play
Jun 22,@ HOU,W 1-0,Did not play
Jun 23,@ HOU,L 4-3,Did not play
Jun 24,@ HOU,L 11-3,Did not play
Jun 25,vs LAA,W 2-0,Did not play
Jun 26,@ MIL,L 5-1,Did not play
Jun 27,@ MIL,W 5-4,Did not play
Jun 29,@ SEA,L 4-1,Did not play
Jun 30,@ SEA,L 6-4,Did not play
Jul 1,@ SEA,L 1-0,Did not play
Jul 2,vs CLE,L 9-3,Did not play
Jul 3,vs CLE,L 6-4,Did not play
Jul 4,vs CLE,L 3-2,Did not play
Jul 6,vs BOS,L 10-5,Did not play
Jul 7,vs BOS,L 15-4,Did not play
Jul 8,vs BOS,L 7-4,Did not play
Jul 9,@ MIN,L 3-1,Did not play
Jul 10,@ MIN,W 9-4,Did not play
Jul 11,@ MIN,L 8-5,Did not play
Jul 13,@ CHW,L 9-6,Did not play
Jul 14,@ CHW,W 5-0,Did not play
Jul 15,@ CHW,L 10-1,Did not play
Jul 20,vs MIN,W 6-5,Did not play
Jul 21,vs MIN,W 4-2,Did not play
Jul 22,vs MIN,W 5-3,Did not play
Jul 23,vs DET,L 5-4,Did not play
Jul 24,vs DET,W 5-4,Did not play
