DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ KC,W 14-7,5,2,2,0,0,1,2,0,0,0,0,.400,1.000,1.400,.400
Mar 31,@ KC,W 4-3,3,1,0,0,0,0,0,1,0,0,0,.333,.625,.958,.250
Apr 2,@ TOR,L 4-2,4,0,3,1,0,0,0,0,1,0,0,.462,.750,1.212,.417
Apr 3,@ TOR,L 14-5,4,0,2,0,0,0,0,0,0,0,0,.500,.688,1.188,.438
Apr 4,@ TOR,W 4-3,4,1,1,0,0,1,1,0,1,0,0,.455,.750,1.205,.400
Apr 5,vs DET,L 9-7,5,0,0,0,0,0,0,0,1,0,0,.370,.600,.970,.320
Apr 7,vs DET,L 6-1,5,0,1,0,0,0,0,0,0,0,0,.344,.533,.877,.300
Apr 8,vs DET,L 1-0,3,0,0,0,0,0,0,0,0,0,0,.333,.485,.818,.273
Apr 9,vs TB,L 5-4,3,0,0,0,0,0,0,1,2,0,0,.341,.444,.785,.250
Apr 10,vs TB,L 6-5,5,1,2,1,0,1,3,0,2,0,0,.348,.537,.885,.268
Apr 11,vs TB,W 2-1,3,1,1,0,0,0,0,0,0,0,0,.360,.523,.883,.273
Apr 12,@ MIN,L 4-0,4,0,0,0,0,0,0,0,2,0,0,.333,.479,.812,.250
Apr 16,@ OAK,L 8-1,4,1,1,0,0,1,1,0,1,0,0,.328,.519,.847,.250
Apr 17,@ OAK,L 10-2,4,0,1,0,0,0,0,0,1,0,0,.323,.500,.823,.250
Apr 18,@ OAK,L 12-11,6,2,3,1,0,0,2,0,1,0,0,.348,.516,.864,.274
Apr 20,vs HOU,L 10-0,4,0,1,0,0,0,0,0,0,0,0,.342,.500,.842,.273
Apr 21,vs HOU,L 10-1,3,0,1,0,0,0,0,1,1,0,0,.351,.493,.844,.275
Apr 22,vs HOU,L 7-1,4,0,1,0,0,0,0,0,0,0,0,.346,.479,.825,.274
Apr 23,vs SEA,W 10-4,5,3,4,0,0,2,3,0,0,0,0,.372,.577,.949,.308
Apr 24,vs SEA,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.356,.549,.905,.293
Apr 25,vs SEA,L 4-3,2,0,0,0,0,0,0,0,0,0,0,.348,.536,.884,.286
Apr 26,@ KC,W 6-3,Did not play
Apr 27,@ KC,W 7-4,5,0,1,0,0,0,0,0,1,0,0,.340,.517,.857,.281
Apr 28,@ KC,W 8-0,3,0,0,0,0,0,0,2,0,0,0,.343,.500,.843,.272
Apr 28,@ KC,L 5-2,4,0,1,1,0,0,0,0,2,0,0,.340,.500,.840,.271
Apr 29,@ KC,L 5-4,3,2,0,0,0,0,0,1,1,1,0,.342,.485,.827,.263
May 1,@ STL,L 3-2,4,0,1,0,0,0,0,0,0,0,0,.339,.476,.815,.262
May 2,@ STL,L 3-2,3,0,1,1,0,0,1,0,0,0,0,.336,.481,.817,.264
May 3,vs MIN,W 6-5,3,1,0,0,0,0,0,1,1,0,0,.333,.468,.801,.257
May 4,vs MIN,L 6-4,5,1,3,0,0,1,3,0,0,0,0,.344,.500,.844,.272
May 5,vs MIN,L 8-4,4,0,1,0,0,0,1,0,0,0,0,.341,.492,.833,.271
May 6,vs MIN,L 5-3,4,0,0,0,0,0,0,0,2,0,0,.331,.475,.806,.262
May 8,vs PIT,L 10-6,4,0,2,1,0,0,2,0,1,0,0,.336,.484,.820,.270
May 9,vs PIT,L 6-5,3,0,1,1,0,0,0,1,0,0,0,.340,.488,.828,.271
May 11,@ CHC,L 11-2,3,1,2,0,0,0,1,1,1,0,0,.351,.492,.843,.280
May 12,@ CHC,L 8-4,5,1,2,1,0,0,1,0,0,0,0,.353,.496,.849,.285
May 13,@ CHC,W 5-3,4,1,1,0,0,0,0,0,0,0,0,.350,.489,.839,.284
May 15,@ PIT,L 7-0,4,0,2,1,0,0,0,0,2,0,0,.354,.497,.851,.290
