DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs PIT,L 13-10,6,2,1,1,0,0,1,1,2,0,0,.286,.333,.619,.167
Apr 1,vs PIT,L 1-0,3,0,0,0,0,0,0,0,0,0,1,.200,.222,.422,.111
Apr 1,vs PIT,L 8-6,4,0,0,0,0,0,0,0,1,0,0,.143,.154,.297,.077
Apr 2,vs KC,W 6-1,Did not play
Apr 3,vs KC,L 1-0,3,0,0,0,0,0,0,0,0,0,0,.118,.125,.243,.063
Apr 5,@ CHW,W 9-7,4,2,1,0,0,0,0,1,1,0,0,.182,.150,.332,.100
Apr 7,@ CHW,W 6-1,3,1,0,0,0,0,0,1,1,1,0,.222,.130,.352,.087
Apr 8,@ CHW,W 1-0,3,0,0,0,0,0,0,0,0,0,0,.200,.115,.315,.077
Apr 9,@ CLE,L 2-0,3,0,0,0,0,0,0,0,1,0,0,.182,.103,.285,.069
Apr 10,@ CLE,L 2-1,Did not play
Apr 11,@ CLE,L 5-1,3,0,0,0,0,0,0,0,2,0,0,.167,.094,.261,.063
Apr 12,@ CLE,L 9-3,3,0,0,0,0,0,0,0,0,0,0,.175,.086,.261,.057
Apr 13,vs NYY,L 8-6,4,0,2,1,0,0,1,0,0,0,0,.205,.154,.359,.103
Apr 17,vs BAL,W 4-2,4,0,1,1,0,0,0,0,1,0,0,.208,.186,.394,.116
Apr 18,vs BAL,W 6-5,4,0,1,0,0,0,0,0,0,0,0,.212,.191,.403,.128
Apr 19,vs BAL,W 13-8,5,2,3,1,1,0,3,0,0,0,0,.246,.288,.534,.173
Apr 20,vs KC,W 3-2,3,0,0,0,0,0,0,0,1,0,0,.233,.273,.506,.164
Apr 20,vs KC,L 3-2,3,0,1,0,0,0,1,0,2,1,0,.238,.276,.514,.172
Apr 21,vs KC,W 12-4,5,2,3,0,0,0,0,0,0,0,0,.265,.302,.567,.206
Apr 22,vs KC,L 8-5,4,0,0,0,0,0,0,0,2,0,0,.250,.284,.534,.194
Apr 25,@ PIT,W 13-10,4,0,2,0,0,0,1,0,0,0,0,.260,.296,.556,.211
Apr 25,@ PIT,L 8-3,3,0,1,0,0,0,0,0,0,1,0,.263,.297,.560,.216
Apr 26,@ PIT,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.262,.295,.557,.218
Apr 27,@ BAL,L 6-0,3,0,1,1,0,0,0,0,0,0,0,.264,.309,.573,.222
Apr 28,@ BAL,W 9-5,5,1,1,0,0,0,0,0,1,1,0,.261,.302,.563,.221
Apr 29,@ BAL,L 5-3,5,0,1,1,0,0,0,0,1,0,0,.258,.308,.566,.220
Apr 30,vs TB,L 3-2,3,0,1,1,0,0,0,0,0,0,0,.260,.319,.579,.223
May 1,vs TB,W 2-1,3,0,0,0,0,0,0,0,0,0,0,.252,.309,.561,.216
May 2,vs TB,W 3-2,3,0,0,0,0,0,0,0,0,0,0,.245,.300,.545,.210
May 3,@ KC,L 10-6,5,0,2,0,0,0,1,0,1,0,0,.252,.305,.557,.219
May 4,@ KC,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.243,.294,.537,.211
May 5,@ KC,W 3-2,4,0,1,0,0,0,0,0,0,0,0,.244,.292,.536,.212
May 6,@ KC,L 4-2,3,1,1,0,0,0,0,1,1,0,0,.252,.293,.545,.216
May 7,@ TEX,L 7-6,5,1,2,0,0,0,0,0,0,0,0,.258,.298,.556,.223
May 8,@ TEX,W 7-4,2,2,1,0,0,1,2,1,0,0,1,.273,.325,.598,.228
May 9,@ TEX,L 5-4,4,0,0,0,0,0,0,0,1,0,0,.265,.315,.580,.220
May 12,vs SEA,W 4-3,3,1,2,0,0,1,2,0,0,0,0,.273,.346,.619,.231
May 12,vs SEA,L 9-5,Did not play
May 13,vs SEA,W 5-4,3,1,1,0,0,0,1,0,1,0,0,.280,.346,.626,.233
May 14,vs CLE,W 6-3,3,1,2,1,0,0,0,1,0,1,0,.293,.360,.653,.243
May 15,vs CLE,W 9-8,4,0,0,0,0,0,1,0,0,0,0,.285,.350,.635,.236
May 16,vs CLE,L 6-0,3,0,1,0,0,0,0,0,0,0,0,.286,.350,.636,.238
May 17,@ SEA,W 3-2,4,0,2,1,0,0,2,0,1,0,0,.291,.361,.652,.245
May 18,@ SEA,L 5-4,3,0,2,0,0,0,0,1,0,2,0,.302,.367,.669,.253
May 19,@ SEA,L 7-2,3,0,0,0,0,0,0,0,0,0,0,.297,.359,.656,.248
May 20,@ SEA,L 3-2,4,0,1,1,0,0,0,0,0,0,0,.296,.363,.659,.248
May 21,@ MIN,L 4-2,3,1,1,1,0,0,0,0,0,0,0,.297,.369,.666,.250
May 22,@ MIN,L 6-0,3,0,0,0,0,0,0,1,0,0,0,.295,.362,.657,.245
May 23,@ MIN,W 4-1,4,0,0,0,0,0,0,0,0,0,0,.289,.353,.642,.240
May 25,vs CHW,W 5-4,2,1,2,1,0,0,0,1,0,0,0,.301,.367,.668,.249
May 26,vs CHW,L 8-4,3,0,1,1,0,0,0,1,0,0,0,.305,.372,.677,.250
May 27,vs CHW,W 3-2,3,0,0,0,0,0,0,0,0,0,0,.300,.366,.666,.246
May 28,vs LAA,W 9-3,4,1,2,0,0,0,1,0,0,0,0,.304,.369,.673,.251
May 29,vs LAA,L 9-2,4,0,1,0,0,0,0,0,0,0,1,.303,.366,.669,.251
May 30,vs LAA,W 6-1,3,1,1,0,0,0,2,0,1,0,0,.303,.366,.669,.253
May 31,vs LAA,W 6-2,Did not play
Jun 1,vs TOR,W 5-2,3,1,1,1,0,0,0,0,0,1,0,.304,.370,.674,.254
Jun 2,vs TOR,W 7-4,3,1,1,0,0,0,0,1,0,1,0,.308,.370,.678,.255
Jun 3,vs TOR,L 8-4,4,0,2,1,0,0,0,0,0,0,0,.311,.378,.689,.260
Jun 4,vs NYY,L 7-4,4,0,1,1,0,0,1,0,0,0,0,.310,.380,.690,.260
Jun 4,vs NYY,W 4-2,0,0,0,0,0,0,0,0,0,0,0,.310,.380,.690,.260
Jun 5,@ BOS,L 6-0,3,0,0,0,0,0,0,0,1,0,0,.306,.374,.680,.256
Jun 6,@ BOS,L 7-1,4,0,1,0,0,0,1,0,0,0,0,.305,.372,.677,.256
Jun 7,@ BOS,W 7-2,4,0,2,1,0,0,2,0,0,0,0,.308,.379,.687,.261
Jun 8,vs CLE,L 4-1,4,0,1,1,0,0,0,0,0,0,0,.307,.381,.688,.260
Jun 9,vs CLE,W 4-2,4,0,1,0,1,0,1,1,0,0,0,.309,.388,.697,.260
Jun 10,vs CLE,L 9-2,3,0,0,0,0,0,0,0,0,0,0,.305,.383,.688,.257
Jun 12,vs MIN,L 6-4,4,1,2,0,1,0,1,0,1,1,0,.309,.394,.703,.261
Jun 13,vs MIN,W 5-2,4,0,1,1,0,0,0,0,1,0,0,.308,.396,.704,.261
Jun 14,vs MIN,W 3-1,2,1,1,0,0,0,0,0,0,1,0,.312,.397,.709,.263
Jun 15,@ CHW,W 4-3,1,0,0,0,0,0,0,0,1,0,0,.311,.395,.706,.262
Jun 16,@ CHW,W 7-5,4,0,1,0,0,0,1,0,0,0,0,.310,.392,.702,.262
Jun 17,@ CHW,W 3-1,4,0,1,0,0,0,1,0,0,0,0,.309,.390,.699,.261
Jun 19,@ CIN,L 9-5,4,1,2,0,0,0,0,0,0,1,0,.312,.392,.704,.265
Jun 20,@ CIN,L 5-3,4,0,3,0,0,0,1,0,0,0,0,.318,.398,.716,.273
