DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs WSH,L 2-0,4,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000
Mar 31,vs WSH,L 13-7,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Apr 1,vs WSH,L 6-5,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 2,vs CHC,W 1-0,Did not play
Apr 5,@ PIT,L 5-2,4,0,1,0,0,0,0,0,0,0,0,.063,.063,.126,.063
Apr 6,@ PIT,L 14-3,4,0,2,0,0,0,0,0,1,0,0,.150,.150,.300,.150
Apr 7,@ PIT,W 7-4,3,2,2,0,0,0,0,0,0,0,0,.217,.217,.434,.217
Apr 8,@ PIT,L 5-0,2,0,0,0,0,0,0,0,1,0,0,.200,.200,.400,.200
Apr 9,@ PHI,L 6-5,5,0,1,0,0,0,0,0,1,1,0,.200,.200,.400,.200
Apr 10,@ PHI,L 6-1,4,0,1,0,0,0,0,0,0,0,0,.206,.206,.412,.206
Apr 11,@ PHI,L 4-3,3,1,2,1,0,0,0,0,0,1,0,.243,.270,.513,.243
Apr 12,vs STL,L 13-4,5,2,3,2,0,0,0,0,0,0,0,.286,.357,.643,.286
Apr 13,vs STL,L 5-3,3,0,0,0,0,0,0,0,1,0,0,.267,.333,.600,.267
Apr 14,vs STL,L 6-1,3,0,0,0,0,0,0,0,1,0,0,.250,.313,.563,.250
Apr 15,vs STL,L 3-2,3,0,1,1,0,0,0,1,1,0,0,.269,.333,.602,.255
Apr 16,@ MIL,W 10-4,5,1,1,1,0,0,2,0,0,0,0,.263,.339,.602,.250
Apr 17,@ MIL,L 2-0,4,0,0,0,0,0,0,0,0,0,0,.246,.317,.563,.233
Apr 18,@ MIL,L 2-0,4,0,1,0,0,0,0,0,0,0,0,.246,.313,.559,.234
Apr 20,@ STL,L 4-2,3,0,1,1,0,0,1,0,0,0,0,.246,.328,.574,.239
Apr 21,@ STL,L 4-3,2,1,1,0,0,0,1,0,0,0,0,.274,.333,.607,.246
Apr 22,@ STL,L 9-2,4,1,0,0,0,0,0,0,0,0,0,.260,.315,.575,.233
Apr 23,vs ATL,W 10-4,4,2,2,0,0,0,1,1,0,0,0,.280,.325,.605,.247
Apr 24,vs ATL,W 9-7,6,1,3,0,0,0,0,0,0,1,0,.295,.337,.632,.265
Apr 25,vs ATL,L 5-4,5,0,1,0,0,0,0,0,0,0,0,.290,.330,.620,.261
Apr 26,vs ATL,L 7-4,4,1,1,0,0,0,1,0,1,0,0,.289,.326,.615,.261
Apr 27,@ MIN,W 15-9,6,3,4,0,0,2,2,0,0,0,0,.311,.408,.719,.286
Apr 28,@ MIN,L 3-1,4,0,1,0,0,0,0,0,1,0,0,.308,.402,.710,.284
Apr 29,@ MIN,W 8-2,5,1,3,0,0,0,1,0,0,0,0,.321,.411,.732,.299
Apr 30,vs MIL,L 6-5,4,0,0,0,0,0,1,0,1,0,0,.308,.396,.704,.288
May 1,vs MIL,L 7-6,4,2,2,0,0,0,0,1,0,2,0,.320,.400,.720,.296
May 2,vs MIL,L 3-1,4,0,1,0,0,0,0,0,0,0,0,.317,.395,.712,.294
May 4,vs MIA,W 4-1,5,1,2,1,0,0,0,0,0,0,0,.321,.403,.724,.298
May 5,vs MIA,L 6-0,4,0,1,0,0,0,0,0,1,0,0,.319,.398,.717,.297
May 6,vs MIA,L 8-5,5,1,1,1,0,0,0,0,0,0,0,.314,.398,.712,.293
May 7,vs NYM,L 7-6,4,0,0,0,0,0,0,0,0,0,0,.306,.387,.693,.285
May 8,vs NYM,W 7-2,5,1,1,0,0,0,0,0,0,0,0,.302,.380,.682,.282
May 9,vs NYM,W 2-1,3,0,1,0,0,0,0,1,0,0,0,.307,.379,.686,.283
May 10,@ LAD,W 4-1,1,0,0,0,0,0,0,0,0,0,0,.305,.377,.682,.281
May 11,@ LAD,W 6-2,5,1,1,1,0,0,0,0,1,1,0,.302,.377,.679,.278
May 12,@ LAD,W 5-3,5,0,1,0,0,0,0,0,2,0,0,.299,.372,.671,.276
May 13,@ LAD,W 5-3,5,0,1,0,0,0,0,0,1,0,0,.296,.366,.662,.273
May 14,@ SF,L 10-7,5,0,1,0,0,0,0,0,2,0,0,.293,.361,.654,.271
May 15,@ SF,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.287,.353,.640,.265
May 16,@ SF,W 6-3,5,1,2,0,0,0,0,0,0,0,0,.290,.354,.644,.269
May 18,vs CHC,L 8-1,4,0,0,0,0,0,0,0,0,0,0,.283,.346,.629,.263
May 19,vs CHC,W 5-4,4,2,0,0,0,0,0,1,1,1,0,.281,.339,.620,.257
May 19,vs CHC,L 10-0,4,0,0,0,0,0,0,0,1,0,0,.276,.332,.608,.251
May 20,vs CHC,L 6-1,1,0,0,0,0,0,0,0,1,0,0,.274,.330,.604,.250
May 22,vs PIT,W 7-2,3,2,1,0,0,0,0,0,1,1,0,.279,.330,.609,.251
May 23,vs PIT,L 5-4,4,0,1,0,0,0,1,2,0,0,0,.285,.328,.613,.251
May 24,vs PIT,W 5-4,3,0,0,0,0,0,0,1,0,0,0,.284,.323,.607,.247
May 25,@ COL,L 5-4,4,0,0,0,0,0,0,0,0,0,0,.279,.317,.596,.243
May 26,@ COL,W 6-5,4,1,1,0,0,0,1,1,0,0,1,.282,.316,.598,.243
May 27,@ COL,L 8-2,4,1,2,0,0,0,0,0,0,0,0,.286,.319,.605,.248
May 28,@ ARI,L 12-5,4,1,2,0,0,0,0,0,0,0,0,.289,.322,.611,.252
May 29,@ ARI,L 5-2,Did not play
May 30,@ ARI,W 7-4,5,0,2,0,0,0,0,0,0,1,0,.292,.324,.616,.256
Jun 1,@ SD,W 7-2,4,1,3,1,0,0,3,0,0,0,0,.300,.336,.636,.265
Jun 2,@ SD,L 8-2,4,0,1,1,0,0,0,0,1,0,0,.299,.339,.638,.264
Jun 3,@ SD,L 6-3,4,0,1,0,0,0,0,0,1,0,0,.298,.338,.636,.264
Jun 5,vs COL,L 9-6,4,1,1,0,0,0,0,0,0,0,0,.297,.336,.633,.264
Jun 6,vs COL,L 6-3,3,0,1,0,0,0,1,0,0,0,0,.298,.336,.634,.265
Jun 7,vs COL,W 7-5,3,0,1,0,0,0,0,0,0,0,0,.298,.336,.634,.266
Jun 8,vs STL,L 7-6,5,0,1,0,0,0,1,0,0,0,0,.296,.333,.629,.264
Jun 9,vs STL,L 6-4,4,1,2,1,0,0,0,0,0,0,0,.299,.340,.639,.268
Jun 10,vs STL,W 6-3,3,0,0,0,0,0,0,1,1,0,1,.299,.336,.635,.265
Jun 12,@ KC,W 5-1,4,0,1,0,0,0,0,0,0,0,0,.298,.335,.633,.265
Jun 13,@ KC,W 7-0,5,1,2,1,0,0,1,0,0,0,0,.300,.340,.640,.267
Jun 15,@ PIT,L 3-2,3,0,2,0,0,0,0,1,1,0,0,.306,.343,.649,.272
Jun 16,@ PIT,L 6-2,3,0,0,0,0,0,0,1,0,0,0,.305,.340,.645,.269
Jun 17,@ PIT,W 8-6,5,0,2,0,0,0,1,0,0,0,0,.307,.341,.648,.271
Jun 19,vs DET,W 9-5,4,3,1,0,0,0,0,1,0,0,0,.308,.339,.647,.271
Jun 20,vs DET,W 5-3,3,0,0,0,0,0,0,1,0,0,0,.308,.336,.644,.268
Jun 21,vs CHC,W 6-2,3,0,1,0,0,0,0,0,1,1,0,.310,.336,.646,.269
Jun 22,vs CHC,W 6-3,4,2,1,0,0,0,0,1,0,3,0,.312,.334,.646,.268
Jun 23,vs CHC,W 11-2,Did not play
Jun 24,vs CHC,W 8-6,3,1,1,0,0,0,2,1,0,0,0,.314,.334,.648,.269
Jun 25,@ ATL,L 5-4,5,0,0,0,0,0,0,0,1,0,0,.309,.329,.638,.264
Jun 26,@ ATL,W 5-3,4,1,2,0,1,0,0,0,1,1,0,.312,.338,.650,.268
Jun 27,@ ATL,W 6-5,5,2,2,0,1,1,1,0,1,0,0,.313,.355,.668,.270
