DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
May 17,@ TOR,W 10-5,Did not play
May 18,@ TOR,W 3-1,4,0,1,1,0,0,1,0,1,0,0,.250,.500,.750,.250
May 19,@ TOR,W 5-4,0,0,0,0,0,0,0,0,0,0,0,.250,.500,.750,.250
May 20,@ TOR,W 9-2,Did not play
Jun 5,@ TEX,L 7-4,Did not play
Jun 6,@ TEX,L 8-2,Did not play
Jun 7,vs KC,W 4-1,Did not play
Jun 8,vs KC,W 7-2,Did not play
Jun 9,vs KC,L 2-0,3,0,0,0,0,0,0,0,2,0,0,.143,.286,.429,.143
Jun 10,vs KC,W 3-2,Did not play
Jun 12,vs HOU,L 6-3,Did not play
Jun 13,vs HOU,L 13-5,2,0,0,0,0,0,0,0,2,0,0,.111,.222,.333,.111
Jun 14,vs HOU,L 7-3,Did not play
Jun 15,vs LAA,L 8-4,4,1,2,1,0,0,1,0,1,0,0,.231,.385,.616,.231
Jun 16,vs LAA,W 6-4,Did not play
Jun 17,vs LAA,W 6-5,Did not play
Jun 19,@ SD,W 4-2,Did not play
Jun 20,@ SD,W 12-4,4,1,1,0,0,1,2,0,0,0,0,.222,.529,.751,.235
Jun 22,@ CHW,W 11-2,Did not play
Jun 22,@ CHW,L 6-4,3,0,1,0,0,0,0,0,2,0,0,.238,.500,.738,.250
Jun 23,@ CHW,W 7-6,Did not play
Jun 24,@ CHW,L 10-3,1,0,0,0,0,0,0,0,0,0,0,.227,.476,.703,.238
Jun 25,@ DET,W 5-4,Did not play
Jun 26,@ DET,W 9-7,Did not play
Jun 27,@ DET,W 3-0,3,1,1,1,0,0,1,1,0,0,0,.269,.500,.769,.250
Jun 28,@ DET,W 4-2,Did not play
Jun 29,vs CLE,W 3-1,Did not play
Jun 30,vs CLE,W 7-2,3,1,1,0,0,1,2,0,1,0,0,.276,.593,.869,.259
Jul 1,vs CLE,L 15-3,Did not play
Jul 3,vs SD,W 6-2,Did not play
Jul 4,vs SD,W 4-2,2,1,0,0,0,0,0,1,1,0,0,.281,.552,.833,.241
Jul 6,@ CLE,L 10-4,Did not play
Jul 7,@ CLE,W 6-3,Did not play
Jul 8,@ CLE,W 6-0,3,1,0,0,0,0,0,1,0,0,0,.278,.500,.778,.219
Jul 9,@ HOU,W 2-0,Did not play
Jul 10,@ HOU,L 6-5,Did not play
Jul 11,@ HOU,W 8-3,5,0,1,0,0,0,1,0,1,0,0,.268,.459,.727,.216
Jul 12,@ HOU,W 6-4,Did not play
Jul 13,@ SF,L 7-1,Did not play
Jul 14,@ SF,W 4-3,3,1,1,0,0,0,1,0,0,0,0,.267,.450,.717,.225
Jul 15,@ SF,W 6-2,Did not play
Jul 20,vs SF,L 5-1,Did not play
Jul 21,vs SF,W 4-3,2,0,0,0,0,0,1,1,1,0,0,.271,.429,.700,.214
Jul 22,vs SF,W 6-5,0,0,0,0,0,0,0,0,0,0,0,.271,.429,.700,.214
Jul 23,@ TEX,W 15-3,Did not play
Jul 24,@ TEX,W 13-10,Did not play
