DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jun 25,@ LAD,L 2-1,0.1,0,0,0,0,0,0,0,1,4,1,-,-,-,1.46
Jun 21,@ CIN,L 6-2,1.0,0,0,0,0,0,0,1,2,8,3,-,-,-,1.50
Jun 19,vs LAD,W 2-1,0.2,1,0,0,0,2,1,0,2,23,5,-,-,-,1.64
May 27,vs SF,W 8-3,1.0,1,0,0,0,0,0,2,2,11,4,-,-,-,1.74
May 22,vs CLE,L 10-1,3.0,1,0,0,0,1,2,5,3,39,11,-,-,-,1.93
May 18,@ CIN,W 8-1,1.0,0,0,0,0,1,2,1,0,17,4,-,-,-,2.84
May 16,@ ATL,L 4-1,0.2,0,0,0,0,1,1,1,0,14,3,-,-,-,3.38
May 14,vs ATL,L 6-5,1.0,0,0,0,0,1,1,1,0,18,3,-,-,-,3.86
May 11,vs CHW,W 11-2,2.0,1,0,0,0,1,2,1,3,35,7,-,-,-,4.91
May 9,vs MIA,W 13-4,1.2,1,2,2,1,2,2,0,4,37,8,-,-,-,10.80
