DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs STL,L 6-3,0.0,0,2,2,0,2,0,0,0,10,2,-,L(3-3),-,INF
Jul 21,vs STL,W 7-2,0.1,1,1,0,0,0,0,1,2,17,3,-,-,H(10),2.72
Jul 19,vs STL,W 9-6,0.1,0,0,0,0,0,0,1,0,8,1,-,-,H(9),2.75
Jul 15,@ SD,W 7-4,1.0,0,0,0,0,1,2,0,1,24,4,-,-,H(8),2.77
Jul 13,@ SD,W 5-4,0.1,1,0,0,0,0,1,0,1,4,2,-,-,-,2.84
Jul 11,@ SF,L 5-4,0.2,1,0,0,0,1,1,1,1,23,4,-,-,-,2.87
Jul 10,@ SF,W 2-0,1.0,0,0,0,0,0,1,1,1,15,3,-,-,H(7),2.92
Jul 8,vs CIN,W 6-5,0.1,0,0,0,0,0,1,0,0,6,1,-,-,H(6),3.00
Jul 6,vs CIN,L 3-2,0.2,0,0,0,0,0,2,0,0,9,2,-,-,-,3.03
Jul 3,vs DET,W 5-3,1.0,0,0,0,0,0,2,1,1,23,4,-,W(3-2),-,3.09
Jun 30,vs MIN,W 14-9,1.0,0,0,0,0,0,1,2,0,8,3,-,W(2-2),-,3.18
Jun 29,vs MIN,W 10-6,0.2,3,1,1,0,1,0,2,2,16,5,-,-,-,3.27
Jun 26,@ LAD,W 9-4,1.0,0,0,0,0,0,2,0,1,14,3,-,-,-,3.06
Jun 25,@ LAD,L 2-1,0.2,1,1,1,1,0,1,0,2,9,3,-,-,-,3.16
Jun 22,@ CIN,L 6-3,1.0,2,1,1,0,1,0,2,2,14,5,-,-,-,2.93
Jun 19,vs LAD,L 4-3,1.0,2,2,2,0,1,2,1,2,27,6,-,L(1-2),BlSv(1),2.73
Jun 13,@ MIL,L 1-0,1.0,1,0,0,0,1,1,2,0,22,4,-,-,-,2.20
Jun 11,@ MIL,W 7-2,1.0,1,0,0,0,0,3,0,1,16,4,-,-,-,2.28
Jun 9,vs PIT,W 2-0,1.0,0,0,0,0,0,2,1,0,15,3,-,-,H(5),2.36
Jun 7,vs PHI,W 4-3,1.0,0,0,0,0,1,3,0,0,17,4,-,-,H(4),2.45
Jun 6,vs PHI,W 7-5,1.0,0,0,0,0,1,1,2,0,13,4,-,-,-,2.55
Jun 2,@ NYM,W 7-1,1.1,1,0,0,0,1,4,1,0,33,6,-,-,-,2.66
May 30,@ PIT,L 2-1,1.1,1,0,0,0,1,2,0,3,18,6,-,-,-,2.82
May 28,@ PIT,W 7-0,1.0,0,0,0,0,0,0,1,2,10,3,-,-,H(3),3.00
May 26,vs SF,L 5-4,1.2,1,0,0,0,0,3,0,2,22,5,-,-,-,3.15
May 22,vs CLE,L 10-1,1.0,0,0,0,0,1,0,2,1,16,4,-,-,-,3.44
May 19,@ CIN,L 5-4,0.0,1,1,1,0,3,0,0,1,18,4,-,L(1-1),-,INF
May 18,@ CIN,W 8-1,1.0,0,0,0,0,1,3,0,0,21,4,-,-,-,3.12
May 14,vs ATL,L 6-5,1.0,0,0,0,0,1,0,0,3,18,4,-,-,-,3.31
May 12,vs CHW,W 8-4,1.1,0,0,0,0,0,0,2,2,23,4,-,-,H(2),3.52
May 11,vs CHW,W 11-2,0.2,0,0,0,0,0,0,0,2,7,2,-,-,-,3.86
May 8,vs MIA,W 4-3,1.0,1,0,0,0,0,1,1,2,19,4,-,-,-,4.05
May 6,@ STL,L 4-3,0.1,0,0,0,0,0,0,1,0,1,1,-,-,-,4.38
May 4,@ STL,L 3-2,1.0,2,0,0,0,0,2,2,1,27,5,-,-,-,4.50
May 1,vs COL,L 3-1,1.1,0,0,0,0,0,2,1,1,15,4,-,-,-,4.91
Apr 24,@ CLE,W 10-3,1.0,2,1,1,0,0,0,2,2,8,4,-,-,-,5.59
Apr 21,@ COL,L 5-2,0.1,0,0,0,0,1,1,0,0,10,2,-,-,-,5.19
Apr 20,@ COL,W 16-5,1.0,1,1,1,0,2,1,1,1,23,5,-,-,-,5.40
Apr 14,vs ATL,W 14-10,1.0,1,0,0,0,0,2,0,2,20,4,-,W(1-0),-,4.91
Apr 12,vs PIT,L 6-1,0.2,3,4,4,2,3,0,2,3,37,8,-,-,-,5.68
Apr 8,@ MIL,W 3-0,1.0,0,0,0,0,0,2,0,1,19,3,-,-,H(1),0.00
Apr 6,@ MIL,L 5-4,1.0,0,0,0,0,3,2,0,1,29,6,-,-,-,0.00
Apr 2,@ CIN,L 1-0,1.0,0,0,0,0,0,2,0,1,17,3,-,-,-,0.00
Mar 30,@ MIA,L 2-1,1.2,1,0,0,0,2,2,1,3,36,8,-,-,-,0.00
Mar 29,@ MIA,W 8-4,1.0,0,0,0,0,0,1,0,2,19,3,-,-,-,0.00
