DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs NYY,L 6-1,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Mar 30,vs NYY,L 4-2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 31,vs NYY,W 5-3,Did not play
Apr 1,vs NYY,W 7-4,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 2,vs CHW,W 4-2,Did not play
Apr 3,vs CHW,W 14-5,4,1,1,0,0,0,1,1,2,0,0,.182,.100,.282,.100
Apr 4,vs CHW,L 4-3,4,0,1,0,0,0,1,0,1,0,0,.200,.143,.343,.143
Apr 6,@ TEX,W 8-5,3,0,0,0,0,0,1,1,1,0,0,.200,.118,.318,.118
Apr 7,@ TEX,L 5-1,Did not play
Apr 8,@ TEX,W 7-4,4,1,2,0,0,1,3,0,2,0,0,.250,.333,.583,.190
Apr 9,@ BAL,W 7-1,1,0,1,0,0,0,0,0,0,0,0,.280,.364,.644,.227
Apr 10,@ BAL,W 2-1,Did not play
Apr 11,@ BAL,L 5-3,Did not play
Apr 13,@ CLE,W 8-4,Did not play
Apr 17,vs KC,W 11-3,Did not play
Apr 17,vs KC,W 5-4,Did not play
Apr 18,vs KC,W 15-5,Did not play
Apr 19,@ NYY,L 4-3,Did not play
Apr 20,@ NYY,W 8-5,5,2,2,1,0,0,1,0,0,0,0,.300,.407,.707,.259
Apr 21,@ NYY,L 9-1,4,0,1,0,0,0,0,0,1,0,0,.294,.387,.681,.258
Apr 22,@ NYY,L 5-1,3,0,0,0,0,0,0,1,1,0,0,.289,.353,.642,.235
Apr 24,vs BOS,W 4-3,1,0,0,0,0,0,0,0,0,0,0,.282,.343,.625,.229
Apr 25,vs BOS,L 4-3,4,0,0,0,0,0,0,0,2,0,0,.256,.308,.564,.205
Apr 26,vs BOS,L 5-4,2,0,0,0,0,0,1,0,0,0,0,.244,.293,.537,.195
Apr 27,vs TEX,L 6-4,3,0,0,0,0,0,0,1,2,0,0,.245,.273,.518,.182
Apr 28,vs TEX,L 7-4,3,0,0,0,0,0,0,1,0,0,0,.245,.255,.500,.170
Apr 29,vs TEX,W 7-2,Did not play
Apr 30,@ MIN,W 7-5,3,0,0,0,0,0,0,2,1,0,0,.259,.240,.499,.160
May 1,@ MIN,W 7-4,3,2,3,0,0,2,2,2,0,1,0,.317,.396,.713,.208
May 2,@ MIN,L 4-0,4,0,1,0,0,0,0,0,2,0,0,.313,.386,.699,.211
May 3,@ CLE,W 13-11,6,0,0,0,0,0,0,0,2,0,0,.288,.349,.637,.190
May 3,@ CLE,L 13-4,4,0,0,0,0,0,0,0,0,0,0,.273,.328,.601,.179
May 4,@ TB,L 6-2,4,0,0,0,0,0,0,0,2,0,0,.259,.310,.569,.169
May 5,@ TB,L 5-3,4,0,0,0,0,0,0,0,2,0,0,.247,.293,.540,.160
May 6,@ TB,W 2-1,4,0,0,0,0,0,0,0,0,0,0,.236,.278,.514,.152
May 8,vs SEA,L 5-0,2,0,0,0,0,0,0,1,0,0,0,.239,.272,.511,.148
May 9,vs SEA,W 5-2,Did not play
May 10,vs SEA,L 9-3,3,0,0,0,0,0,0,0,0,0,0,.232,.262,.494,.143
May 11,vs BOS,W 5-3,5,1,1,1,0,0,0,0,2,0,0,.230,.270,.500,.146
May 12,vs BOS,L 5-2,Did not play
May 13,vs BOS,L 5-3,2,0,1,0,0,0,0,2,0,0,0,.250,.275,.525,.154
May 15,@ NYM,L 12-2,Did not play
May 16,@ NYM,W 12-1,1,0,0,0,0,0,0,0,0,0,0,.248,.272,.520,.152
May 17,vs OAK,L 10-5,4,0,0,0,0,0,1,0,0,0,0,.239,.260,.499,.146
May 18,vs OAK,L 3-1,Did not play
May 19,vs OAK,L 5-4,4,0,1,1,0,0,0,0,1,1,0,.239,.270,.509,.150
May 20,vs OAK,L 9-2,4,0,2,0,0,0,0,0,1,0,0,.248,.279,.527,.163
May 22,vs LAA,W 5-3,3,1,2,0,0,1,2,0,1,0,0,.258,.318,.576,.178
May 23,vs LAA,L 5-4,1,0,1,0,0,0,1,0,0,0,0,.264,.324,.588,.185
May 24,vs LAA,L 8-1,3,0,0,0,0,0,0,0,1,0,0,.258,.315,.573,.180
May 25,@ PHI,W 6-5,Did not play
May 26,@ PHI,L 2-1,Did not play
May 27,@ PHI,W 5-3,1,0,0,0,0,0,0,0,1,0,0,.256,.313,.569,.179
May 28,@ BOS,L 8-3,4,0,1,0,0,0,1,0,0,0,0,.256,.310,.566,.181
May 29,@ BOS,L 8-3,3,1,2,1,0,0,0,1,0,0,0,.271,.328,.599,.193
May 30,@ BOS,L 6-4,4,0,2,1,0,0,2,0,0,0,1,.277,.341,.618,.203
Jun 1,@ DET,L 5-2,2,0,1,0,0,0,1,1,0,0,0,.284,.344,.628,.208
