DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ PHI,L 7-4,1.2,1,0,0,0,1,3,1,2,19,7,-,-,-,2.34
Jul 23,@ PHI,W 7-6,1.0,1,1,1,1,0,2,0,2,19,4,-,-,Sv(29),2.42
Jul 20,@ MIL,W 6-4,1.0,1,0,0,0,0,2,1,1,14,4,-,-,Sv(28),2.28
Jul 15,vs LAA,W 5-3,1.0,0,0,0,0,0,1,1,1,12,3,-,-,Sv(27),2.33
Jul 14,vs LAA,L 5-4,1.0,1,1,1,1,0,1,0,3,14,4,-,L(0-3),-,2.38
Jul 12,@ SD,W 3-2,1.0,0,0,0,0,1,1,0,2,29,4,-,-,Sv(26),2.23
Jul 11,@ SD,W 4-2,1.0,0,0,0,0,1,0,2,1,14,4,-,-,Sv(25),2.28
Jul 7,@ LAA,W 3-1,1.0,0,0,0,0,0,2,0,1,13,3,-,-,Sv(24),2.34
Jul 6,@ LAA,L 3-2,0.2,2,2,1,0,1,1,1,2,20,5,-,L(0-2),BlSv(3),2.40
Jul 4,vs PIT,W 6-4,1.2,2,0,0,0,0,3,4,0,30,7,-,-,Sv(23),2.21
Jul 1,vs COL,W 6-4,1.0,0,0,0,0,0,2,0,1,11,3,-,-,Sv(22),2.31
Jun 27,vs CHC,W 7-5,1.1,1,0,0,0,0,1,1,3,13,5,-,-,Sv(21),2.37
Jun 25,vs CHC,W 2-1,1.0,2,1,1,0,0,0,2,3,15,5,-,-,Sv(20),2.45
Jun 24,@ NYM,W 8-7,1.0,1,0,0,0,0,0,1,3,20,4,-,-,-,2.27
Jun 22,@ NYM,W 5-2,1.0,0,0,0,0,0,2,0,1,12,3,-,-,Sv(19),2.34
Jun 19,@ CHC,W 4-3,1.0,0,0,0,0,0,1,2,0,12,3,-,-,Sv(18),2.41
Jun 16,vs SF,W 3-1,1.0,0,0,0,0,1,1,2,1,23,5,-,-,Sv(17),2.48
Jun 15,vs SF,W 3-2,1.0,0,0,0,0,0,1,1,1,16,3,-,-,Sv(16),2.56
Jun 13,vs TEX,W 3-2,1.0,0,0,0,0,1,0,1,2,16,4,-,-,-,2.64
Jun 8,vs ATL,W 7-3,1.0,0,0,0,0,0,0,1,2,15,3,-,-,-,2.73
Jun 7,@ PIT,W 8-7,1.2,1,1,1,1,0,2,2,2,22,6,-,-,Sv(15),2.83
Jun 3,@ COL,W 10-7,1.0,0,0,0,0,0,1,2,0,8,3,-,-,Sv(14),2.67
Jun 1,@ COL,W 11-8,1.1,3,1,1,0,1,0,4,3,24,8,-,-,Sv(13),2.77
May 31,vs PHI,L 2-1,1.0,0,0,0,0,0,1,1,1,12,3,-,-,-,2.55
May 28,vs PHI,W 5-4,1.0,0,0,0,0,0,2,1,0,15,3,-,-,Sv(12),2.66
May 25,vs SD,W 4-1,1.0,0,0,0,0,0,2,0,1,12,3,-,-,Sv(11),2.78
May 23,vs COL,W 3-0,1.0,1,0,0,0,0,3,1,0,15,4,-,-,Sv(10),2.91
May 22,vs COL,W 5-3,1.0,1,0,0,0,0,1,1,2,20,4,-,-,Sv(9),3.05
May 19,@ WSH,W 5-4,1.0,0,0,0,0,0,1,1,1,19,3,-,-,Sv(8),3.20
May 19,@ WSH,W 4-1,1.0,0,0,0,0,0,0,1,2,15,3,-,-,Sv(7),3.38
May 17,@ MIA,W 7-0,1.0,2,0,0,0,0,3,1,1,24,5,-,-,-,3.57
May 13,vs CIN,L 5-3,1.0,0,0,0,0,0,1,0,2,14,3,-,-,-,3.78
May 9,vs ARI,W 6-3,1.0,0,0,0,0,0,0,2,1,9,3,-,-,Sv(6),4.02
May 8,vs ARI,L 8-5,2.0,1,0,0,0,0,1,1,5,19,7,-,-,-,4.30
May 3,@ ARI,W 5-2,1.0,0,0,0,0,0,0,0,3,8,3,-,-,Sv(5),4.97
May 2,@ ARI,W 2-1,1.0,1,1,1,0,1,0,2,2,19,5,-,-,Sv(4),5.40
May 1,@ ARI,L 4-3,1.0,1,0,0,0,1,1,2,1,16,5,-,-,-,5.06
Apr 25,vs MIA,L 8-6,1.0,1,2,0,0,0,2,2,2,20,6,-,-,-,5.59
Apr 22,vs WSH,W 4-3,1.0,2,0,0,0,0,2,0,3,20,5,-,-,Sv(3),6.23
Apr 21,vs WSH,W 4-0,1.0,0,0,0,0,1,1,0,2,16,4,-,-,-,7.04
Apr 17,@ SD,W 7-3,1.0,2,2,2,1,1,2,0,3,26,6,-,-,BlSv(2),8.10
Apr 13,vs ARI,L 8-7,1.0,1,0,0,0,0,0,1,3,15,4,-,-,-,6.35
Apr 10,vs OAK,W 4-0,0.2,0,0,0,0,0,1,1,0,10,2,-,-,Sv(2),7.71
Apr 8,@ SF,W 2-1,1.0,1,0,0,0,0,3,1,0,23,4,-,-,Sv(1),9.00
Apr 7,@ SF,L 7-5,1.0,2,0,0,0,0,1,0,4,19,5,-,-,-,12.00
Apr 2,@ ARI,L 8-7,1.0,1,3,3,1,2,0,2,2,24,6,-,-,BlSv(1),18.00
Mar 30,vs SF,L 1-0,1.0,1,1,1,1,0,0,1,3,12,4,-,L(0-1),-,9.00
