DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs STL,W 9-4,3,2,2,1,0,0,1,2,0,0,0,.800,1.000,1.800,.667
Mar 31,vs STL,W 6-2,Did not play
Apr 1,vs STL,L 5-1,3,1,0,0,0,0,0,1,2,0,0,.556,.500,1.056,.333
Apr 3,vs PHI,W 2-0,Did not play
Apr 4,vs PHI,W 4-2,3,0,0,0,0,0,0,0,0,0,0,.462,.333,.795,.222
Apr 5,@ WSH,W 8-2,3,1,1,0,0,0,0,1,1,0,0,.471,.333,.804,.250
Apr 7,@ WSH,W 3-2,Did not play
Apr 8,@ WSH,W 6-5,Did not play
Apr 9,@ MIA,W 4-2,4,0,0,0,0,0,0,0,1,0,0,.381,.250,.631,.188
Apr 10,@ MIA,W 8-6,3,0,0,0,0,0,0,1,1,0,0,.360,.211,.571,.158
Apr 11,@ MIA,W 4-1,1,1,0,0,0,0,0,1,1,0,0,.393,.200,.593,.150
Apr 13,vs MIL,W 6-5,Did not play
Apr 14,vs MIL,L 5-1,Did not play
Apr 15,vs MIL,W 3-2,Did not play
Apr 16,vs WSH,L 8-6,Did not play
Apr 17,vs WSH,L 5-2,Did not play
Apr 18,vs WSH,W 11-5,Did not play
Apr 19,@ ATL,L 12-4,Did not play
Apr 20,@ ATL,W 5-3,Did not play
Apr 21,@ ATL,L 4-3,Did not play
Apr 24,@ STL,W 6-5,Did not play
Apr 25,@ STL,L 9-1,Did not play
Apr 26,@ STL,L 4-3,Did not play
Apr 27,@ SD,W 5-1,Did not play
Apr 28,@ SD,L 12-2,Did not play
Apr 29,@ SD,W 14-2,Did not play
May 1,vs ATL,L 3-2,Did not play
May 2,vs ATL,L 7-0,Did not play
May 3,vs ATL,L 11-0,Did not play
May 4,vs COL,L 8-7,Did not play
May 5,vs COL,L 2-0,Did not play
May 6,vs COL,L 3-2,Did not play
May 7,@ CIN,W 7-6,Did not play
May 8,@ CIN,L 7-2,Did not play
May 9,@ CIN,L 2-1,Did not play
May 11,@ PHI,W 3-1,Did not play
May 13,@ PHI,L 4-2,Did not play
May 15,vs TOR,W 12-2,Did not play
May 16,vs TOR,L 12-1,Did not play
May 18,vs ARI,W 3-1,Did not play
May 19,vs ARI,W 5-4,Did not play
May 20,vs ARI,W 4-1,Did not play
May 21,vs MIA,W 2-0,Did not play
May 22,vs MIA,L 5-1,Did not play
May 23,vs MIA,L 2-1,Did not play
May 24,@ MIL,W 5-0,Did not play
May 25,@ MIL,L 4-3,Did not play
May 26,@ MIL,L 17-6,Did not play
May 27,@ MIL,L 8-7,Did not play
May 28,@ ATL,L 4-3,Did not play
May 28,@ ATL,W 8-5,4,2,3,0,0,0,1,1,0,0,0,.455,.292,.747,.250
May 29,@ ATL,L 7-6,Did not play
May 30,@ ATL,W 4-1,3,0,0,0,0,0,0,1,1,0,0,.432,.259,.691,.222
May 31,vs CHC,L 5-1,Did not play
Jun 1,vs CHC,L 7-4,1,0,0,0,0,0,0,0,1,0,0,.421,.250,.671,.214
Jun 2,vs CHC,L 7-1,5,0,0,0,0,0,0,1,2,0,0,.386,.212,.598,.182
Jun 3,vs CHC,L 2-0,4,0,1,0,0,0,0,0,2,0,0,.375,.216,.591,.189
Jun 5,vs BAL,L 2-1,3,0,1,1,0,0,0,1,1,0,0,.385,.250,.635,.200
Jun 6,vs BAL,L 1-0,4,0,1,1,0,0,0,0,1,0,0,.375,.273,.648,.205
