DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs LAA,W 6-5,5,1,2,0,0,1,4,0,1,0,0,.400,1.000,1.400,.400
Mar 30,vs LAA,L 2-1,2,1,0,0,0,0,0,1,0,0,0,.444,.714,1.158,.286
Mar 31,vs LAA,L 8-3,3,1,2,2,0,0,0,1,1,0,0,.538,.900,1.438,.400
Apr 1,vs LAA,L 7-4,4,0,0,0,0,0,0,0,2,0,0,.412,.643,1.055,.286
Apr 2,vs TEX,W 3-1,4,0,1,0,0,0,0,0,1,0,0,.381,.556,.937,.278
Apr 3,vs TEX,L 4-1,3,0,0,0,0,0,0,1,1,0,0,.360,.476,.836,.238
Apr 4,vs TEX,W 6-2,3,0,1,0,0,0,0,1,1,0,0,.379,.458,.837,.250
Apr 5,vs TEX,L 6-3,3,0,0,0,0,0,1,0,2,0,0,.353,.407,.760,.222
Apr 6,@ LAA,L 13-9,4,0,1,0,0,0,0,0,0,0,0,.342,.387,.729,.226
Apr 7,@ LAA,W 7-3,4,0,0,0,0,0,0,1,2,0,0,.326,.343,.669,.200
Apr 8,@ LAA,L 6-1,4,0,0,0,0,0,0,0,1,0,0,.298,.308,.606,.179
Apr 10,@ LAD,L 4-0,4,0,2,0,0,0,0,0,2,0,0,.314,.326,.640,.209
Apr 11,@ LAD,W 16-6,6,2,3,1,0,1,2,0,1,0,0,.333,.429,.762,.245
Apr 13,@ SEA,L 7-4,4,2,2,0,0,2,3,0,1,0,0,.344,.547,.891,.264
Apr 14,@ SEA,L 10-8,5,1,1,0,0,1,2,0,3,0,0,.333,.569,.902,.259
Apr 15,@ SEA,W 2-1,4,0,1,0,0,0,0,0,0,0,0,.329,.548,.877,.258
Apr 16,vs CHW,W 8-1,4,0,1,1,0,0,1,1,0,0,0,.333,.545,.878,.258
Apr 17,vs CHW,W 10-2,4,1,1,1,0,0,0,1,2,0,0,.338,.543,.881,.257
Apr 18,vs CHW,W 12-11,7,1,3,0,0,0,2,1,0,0,0,.352,.532,.884,.273
Apr 20,vs BOS,L 7-3,4,0,0,0,0,0,0,0,3,0,0,.344,.506,.850,.259
Apr 21,vs BOS,W 3-0,4,0,1,1,0,0,0,0,2,0,0,.340,.506,.846,.259
Apr 22,vs BOS,W 4-1,4,1,2,0,0,1,4,0,0,0,0,.347,.539,.886,.270
Apr 23,@ TEX,W 9-4,3,0,1,1,0,0,2,2,0,0,0,.358,.543,.901,.272
Apr 24,@ TEX,W 3-2,5,0,0,0,0,0,0,0,2,0,0,.342,.515,.857,.258
Apr 25,@ TEX,L 4-2,4,1,1,0,0,1,2,0,1,0,0,.339,.535,.874,.257
Apr 27,@ HOU,W 8-1,4,0,0,0,0,0,0,0,1,0,0,.328,.514,.842,.248
Apr 28,@ HOU,L 11-0,3,0,0,0,0,0,0,0,0,0,0,.320,.500,.820,.241
Apr 29,@ HOU,L 8-4,3,0,0,0,0,0,0,0,2,0,0,.317,.486,.803,.234
May 1,@ SEA,L 6-3,3,1,0,0,0,0,0,1,3,0,0,.315,.474,.789,.228
May 2,@ SEA,W 3-2,4,0,0,0,0,0,0,0,3,0,0,.306,.458,.764,.220
May 3,@ SEA,L 4-1,3,0,1,0,0,0,0,1,0,0,0,.312,.455,.767,.223
May 4,vs BAL,W 6-4,5,1,1,0,0,1,3,0,2,0,0,.308,.468,.776,.222
May 5,vs BAL,W 2-0,5,1,1,0,0,1,2,0,0,0,0,.304,.481,.785,.221
May 6,vs BAL,W 2-1,4,0,0,0,0,0,1,0,2,0,0,.296,.467,.763,.215
May 7,vs HOU,L 16-2,3,0,0,0,0,0,1,0,0,0,0,.290,.457,.747,.210
May 8,vs HOU,L 4-2,3,0,1,1,0,0,1,0,0,0,0,.289,.461,.750,.213
May 9,vs HOU,L 4-1,3,0,1,0,0,0,0,1,0,0,0,.294,.458,.752,.215
May 11,@ NYY,W 10-5,5,1,1,0,0,1,1,0,1,0,0,.292,.470,.762,.215
May 12,@ NYY,L 7-6,5,1,1,0,0,1,3,0,2,0,0,.289,.481,.770,.214
May 13,@ NYY,L 6-2,3,0,0,0,0,0,0,1,2,0,0,.288,.471,.759,.210
May 14,@ BOS,W 6-5,4,1,2,0,0,1,1,0,0,0,0,.293,.491,.784,.217
May 15,@ BOS,W 5-3,4,1,1,0,0,0,0,0,2,0,0,.292,.485,.777,.218
May 16,@ BOS,L 6-4,3,0,0,0,0,0,0,1,1,0,0,.291,.476,.767,.214
May 17,@ TOR,W 10-5,4,3,4,0,0,1,2,0,0,0,0,.309,.506,.815,.233
May 18,@ TOR,W 3-1,4,0,1,0,0,0,0,0,0,0,0,.308,.500,.808,.233
May 19,@ TOR,W 5-4,5,1,2,1,0,0,0,0,3,0,0,.310,.503,.813,.238
May 20,@ TOR,W 9-2,2,0,0,0,0,0,0,0,0,0,0,.307,.497,.804,.235
May 22,vs SEA,L 3-2,Did not play
May 23,vs SEA,L 1-0,Did not play
May 24,vs SEA,W 4-3,Did not play
May 25,vs ARI,L 7-1,Did not play
May 26,vs ARI,W 3-0,Did not play
May 27,vs ARI,W 2-1,Did not play
May 28,vs TB,L 1-0,Did not play
May 29,vs TB,L 4-3,Did not play
May 30,vs TB,L 6-0,Did not play
