DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ MIA,W 8-4,4,2,1,1,0,0,0,1,1,0,0,.400,.500,.900,.250
Mar 30,@ MIA,L 2-1,6,1,3,1,0,1,1,1,2,0,0,.538,.900,1.438,.400
Mar 31,@ MIA,W 10-6,5,1,2,1,0,0,3,1,1,0,0,.526,.800,1.326,.400
Apr 1,@ MIA,L 6-0,3,0,1,0,0,0,0,1,1,0,0,.522,.722,1.244,.389
Apr 2,@ CIN,L 1-0,3,0,0,0,0,0,0,1,0,0,0,.481,.619,1.100,.333
Apr 5,@ MIL,W 8-0,5,0,2,0,0,0,1,0,0,0,0,.469,.577,1.046,.346
Apr 6,@ MIL,L 5-4,4,0,0,0,0,0,0,1,1,0,0,.432,.500,.932,.300
Apr 7,@ MIL,W 5-2,3,1,3,0,1,1,1,2,0,0,1,.500,.697,1.197,.364
Apr 8,@ MIL,W 3-0,4,0,0,0,0,0,0,0,1,0,0,.457,.622,1.079,.324
Apr 10,vs PIT,L 8-5,4,1,1,0,0,0,0,0,0,0,0,.451,.585,1.036,.317
Apr 11,vs PIT,W 13-5,5,1,3,2,0,0,2,0,0,0,0,.464,.630,1.094,.348
Apr 12,vs PIT,L 6-1,2,0,0,0,0,0,0,1,1,0,0,.467,.604,1.071,.333
Apr 13,vs ATL,L 4-0,3,0,1,0,0,0,0,0,0,0,0,.469,.588,1.057,.333
Apr 14,vs ATL,W 14-10,3,2,2,1,0,0,0,1,0,0,0,.493,.611,1.104,.352
Apr 17,vs STL,L 5-3,4,0,0,0,0,0,0,1,2,0,0,.473,.569,1.042,.328
Apr 19,vs STL,W 8-5,3,1,1,0,0,0,2,0,0,0,0,.468,.557,1.025,.328
Apr 20,@ COL,W 16-5,5,2,2,1,0,0,1,1,1,0,0,.471,.561,1.032,.333
Apr 21,@ COL,L 5-2,3,0,0,0,0,0,0,1,1,0,0,.461,.536,.997,.319
Apr 22,@ COL,W 9-7,0,0,0,0,0,0,0,0,0,0,0,.467,.536,1.003,.319
Apr 24,@ CLE,W 10-3,Did not play
Apr 25,@ CLE,L 4-1,Did not play
Apr 26,vs MIL,W 1-0,Did not play
Apr 27,vs MIL,W 3-2,Did not play
Apr 28,vs MIL,W 3-0,3,0,0,0,0,0,0,1,1,0,0,.457,.514,.971,.306
Apr 29,vs MIL,W 2-0,4,0,0,0,0,0,0,0,1,0,0,.439,.487,.926,.289
Apr 30,vs COL,W 3-2,3,1,1,0,1,0,0,1,0,0,0,.441,.506,.947,.291
May 1,vs COL,L 3-1,4,0,1,0,0,0,0,0,2,0,0,.434,.494,.928,.289
May 2,vs COL,L 11-2,4,1,1,0,0,1,1,0,1,0,0,.427,.517,.944,.287
May 4,@ STL,L 3-2,5,0,1,1,0,0,0,0,1,0,0,.417,.511,.928,.283
May 5,@ STL,L 8-6,5,0,1,1,0,0,0,0,0,0,0,.408,.505,.913,.278
May 6,@ STL,L 4-3,6,1,1,0,0,1,1,0,2,0,0,.397,.515,.912,.272
May 7,vs MIA,W 14-2,4,3,3,1,0,1,2,1,1,0,0,.412,.561,.973,.290
May 8,vs MIA,W 4-3,2,2,0,0,0,0,0,1,1,0,0,.415,.550,.965,.284
May 9,vs MIA,W 13-4,4,2,2,1,0,1,2,0,1,0,0,.417,.584,1.001,.292
May 11,vs CHW,W 11-2,3,3,2,0,0,1,2,2,0,0,0,.434,.612,1.046,.302
May 12,vs CHW,W 8-4,3,1,0,0,0,0,0,2,0,0,0,.433,.597,1.030,.294
May 13,vs CHW,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.422,.577,.999,.285
May 14,vs ATL,L 6-5,5,1,1,0,0,1,2,0,0,0,0,.415,.586,1.001,.281
May 15,@ ATL,W 3-2,4,0,2,0,0,0,0,1,1,0,1,.421,.583,1.004,.288
May 16,@ ATL,L 4-1,4,0,3,1,0,0,1,0,0,0,0,.429,.596,1.025,.301
May 18,@ CIN,W 8-1,6,1,2,1,0,0,0,0,2,0,0,.425,.592,1.017,.303
May 19,@ CIN,L 5-4,6,0,3,1,0,0,1,0,1,1,0,.428,.595,1.023,.311
May 19,@ CIN,W 10-0,3,1,0,0,0,0,1,2,1,0,0,.427,.583,1.010,.305
May 20,@ CIN,W 6-1,Did not play
May 22,vs CLE,L 10-1,4,0,1,1,0,0,0,1,1,0,0,.426,.581,1.007,.303
May 23,vs CLE,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.418,.566,.984,.296
May 25,vs SF,W 6-2,4,0,2,0,0,0,2,0,1,0,0,.419,.564,.983,.301
May 26,vs SF,L 5-4,4,0,0,0,0,0,0,0,3,0,0,.411,.551,.962,.293
May 27,vs SF,W 8-3,4,1,1,1,0,0,1,1,0,0,0,.411,.550,.961,.292
May 28,@ PIT,W 7-0,5,1,1,0,0,0,0,0,1,0,0,.406,.540,.946,.290
May 29,@ PIT,W 8-6,5,0,1,0,0,0,0,0,2,0,0,.401,.530,.931,.287
May 30,@ PIT,L 2-1,4,0,0,0,0,0,0,1,1,0,0,.396,.519,.915,.281
May 31,@ NYM,W 5-1,4,1,2,1,0,0,0,1,0,0,0,.401,.524,.925,.286
Jun 1,@ NYM,W 7-4,4,0,3,0,0,0,1,1,0,0,1,.409,.528,.937,.295
Jun 2,@ NYM,W 7-1,8,0,1,0,0,0,0,0,4,0,0,.400,.512,.912,.289
Jun 3,@ NYM,W 2-0,Did not play
Jun 5,vs PHI,L 6-1,4,1,2,0,0,0,0,0,1,0,0,.402,.512,.914,.293
Jun 6,vs PHI,W 7-5,3,1,1,1,0,0,0,1,1,1,0,.403,.514,.917,.293
Jun 7,vs PHI,W 4-3,4,0,1,0,0,0,1,0,2,0,0,.401,.509,.910,.292
Jun 8,vs PIT,W 3-1,4,1,3,0,0,0,0,0,1,0,1,.406,.514,.920,.301
