DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs PHI,W 8-5,2,0,1,0,0,0,0,1,0,0,0,.750,.500,1.250,.500
Mar 30,vs PHI,L 5-4,1,1,0,0,0,0,0,0,0,0,0,.667,.333,1.000,.333
Mar 31,vs PHI,W 15-2,Did not play
Apr 2,vs WSH,L 8-1,Did not play
Apr 3,vs WSH,W 13-6,Did not play
Apr 4,vs WSH,W 7-1,Did not play
Apr 6,@ COL,W 8-3,5,1,1,0,0,0,0,0,0,0,0,.455,.250,.705,.250
Apr 7,@ COL,L 3-2,0,0,0,0,0,0,0,1,0,0,0,.500,.250,.750,.250
Apr 8,@ COL,W 4-0,4,0,0,0,0,0,0,0,0,0,0,.375,.167,.542,.167
Apr 9,@ WSH,L 2-0,3,0,1,0,0,0,0,0,0,0,0,.368,.200,.568,.200
Apr 10,@ WSH,L 4-1,1,0,0,0,0,0,0,0,0,0,0,.350,.188,.538,.188
Apr 11,@ WSH,W 5-3,6,2,3,0,0,2,2,0,0,0,0,.385,.545,.930,.273
Apr 13,@ CHC,W 4-0,5,1,1,1,0,0,0,0,1,0,0,.355,.519,.874,.259
Apr 14,@ CHC,L 14-10,3,0,2,0,0,0,1,3,0,0,0,.432,.533,.965,.300
Apr 16,vs PHI,W 2-1,2,0,0,0,0,0,1,0,0,0,0,.400,.500,.900,.281
Apr 17,vs PHI,L 5-1,1,0,0,0,0,0,0,0,0,0,0,.390,.485,.875,.273
Apr 18,vs PHI,W 7-3,4,1,1,0,0,0,1,0,0,0,0,.378,.459,.837,.270
Apr 19,vs NYM,W 12-4,4,3,3,2,0,1,3,1,0,0,0,.420,.610,1.030,.317
Apr 20,vs NYM,L 5-3,4,0,1,0,0,0,1,0,1,0,0,.400,.578,.978,.311
Apr 21,vs NYM,W 4-3,1,0,1,0,0,0,0,0,0,0,0,.411,.587,.998,.326
Apr 23,@ CIN,L 10-4,4,0,0,0,0,0,0,0,0,0,0,.383,.540,.923,.300
Apr 24,@ CIN,L 9-7,5,2,3,0,0,1,2,0,1,0,0,.409,.600,1.009,.327
Apr 25,@ CIN,W 5-4,2,0,1,0,0,0,1,0,1,0,0,.412,.596,1.008,.333
Apr 26,@ CIN,W 7-4,4,0,0,0,0,0,0,0,0,0,0,.389,.557,.946,.311
Apr 27,@ PHI,L 7-3,4,0,0,0,0,0,0,0,1,0,0,.368,.523,.891,.292
Apr 28,@ PHI,W 4-1,Did not play
Apr 29,@ PHI,W 10-1,4,2,1,1,0,0,0,0,1,0,0,.370,.522,.892,.290
May 1,@ NYM,W 3-2,5,0,2,0,0,0,0,0,0,0,0,.372,.514,.886,.297
May 2,@ NYM,W 7-0,Did not play
May 3,@ NYM,W 11-0,5,1,2,0,0,1,2,0,0,0,0,.374,.544,.918,.304
May 4,vs SF,L 9-4,Did not play
May 5,vs SF,L 11-2,4,0,1,0,0,0,0,0,0,0,0,.368,.530,.898,.301
May 6,vs SF,L 4-3,1,0,1,1,0,0,1,0,0,0,0,.375,.548,.923,.310
May 8,@ TB,W 1-0,3,0,0,0,0,0,0,1,0,0,0,.370,.529,.899,.299
May 9,@ TB,W 5-2,Did not play
May 10,@ MIA,W 9-2,4,0,0,0,0,0,0,1,2,0,0,.362,.505,.867,.286
May 11,@ MIA,L 6-3,4,0,0,0,0,0,0,0,0,0,0,.349,.484,.833,.274
May 12,@ MIA,W 10-5,Did not play
May 13,@ MIA,W 4-3,4,1,1,0,0,0,0,0,1,0,0,.345,.475,.820,.273
May 14,@ CHC,W 6-5,Did not play
May 15,vs CHC,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.333,.456,.789,.262
May 16,vs CHC,W 4-1,Did not play
May 18,vs MIA,L 2-0,Did not play
May 19,vs MIA,W 8-1,3,2,1,0,0,1,1,1,0,0,0,.339,.481,.820,.264
May 20,vs MIA,W 10-9,1,1,1,0,0,0,1,0,0,0,0,.344,.486,.830,.271
May 21,@ PHI,L 3-0,4,0,1,0,0,0,0,0,2,0,0,.341,.477,.818,.270
May 22,@ PHI,W 3-1,Did not play
May 23,@ PHI,L 4-0,4,0,0,0,0,0,0,0,0,0,0,.331,.461,.792,.261
May 25,@ BOS,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.321,.445,.766,.252
May 26,@ BOS,L 8-6,5,0,1,1,0,0,1,0,1,0,0,.317,.444,.761,.250
May 27,@ BOS,W 7-1,5,1,3,1,0,0,1,0,1,0,0,.326,.457,.783,.264
May 28,vs NYM,W 4-3,1,0,0,0,0,0,0,0,0,0,0,.324,.454,.778,.262
May 28,vs NYM,L 8-5,4,1,2,1,0,1,2,0,0,0,0,.327,.485,.812,.269
May 29,vs NYM,W 7-6,Did not play
May 30,vs NYM,L 4-1,4,0,0,0,0,0,0,0,0,0,0,.318,.471,.789,.261
May 31,vs WSH,W 4-2,Did not play
Jun 1,vs WSH,W 4-0,3,1,2,0,0,0,0,1,0,0,0,.329,.475,.804,.270
Jun 2,vs WSH,L 5-3,1,0,0,0,0,0,0,0,1,0,0,.327,.472,.799,.268
Jun 3,vs WSH,W 4-2,3,0,0,0,0,0,0,0,2,0,0,.325,.462,.787,.262
Jun 4,@ SD,L 11-4,Did not play
Jun 5,@ SD,W 14-1,6,1,3,1,0,0,2,0,0,0,0,.331,.470,.801,.272
Jun 6,@ SD,L 3-1,Did not play
Jun 8,@ LAD,L 7-3,3,0,1,1,0,0,1,1,0,0,0,.335,.474,.809,.273
Jun 9,@ LAD,W 5-3,Did not play
Jun 10,@ LAD,L 7-2,Did not play
Jun 12,vs NYM,W 8-2,Did not play
Jun 13,vs NYM,W 2-0,3,0,1,0,0,0,0,0,2,0,0,.335,.471,.806,.274
